"gene_id";"logFC";"unshrunk.logFC";"logCPM";"PValue";"FDR";"gene_name"
"ENSG00000164822.5";16,803513739711;37,5225574898271;7,35189585125615;5,62157596641632e-07;0,0101773011296001;"DEFA6"
"ENSG00000149021.7";-11,7608033965069;-34,3622604371926;3,96948257195692;0,000143026810686379;0,539237065695965;"SCGB1A1"
"ENSG00000141574.8";8,65320762162778;9,06848256179995;3,99299598933432;0,000267314494741582;0,539237065695965;"SECTM1"
"ENSG00000250073.3";-4,88316942995725;-4,97101501584385;1,79170070382006;0,000363403074045714;0,539237065695965;"RP11-677M14.3"
"ENSG00000196456.13";5,33652367231981;5,49486090089773;0,838514301755547;0,000419440019612504;0,539237065695965;"ZNF775"
"ENSG00000106538.10";-5,12030932963723;-5,16801653320305;6,66747837857806;0,000473451381605398;0,539237065695965;"RARRES2"
"ENSG00000140945.17";-4,73228680260453;-4,85614275534847;0,599322911215943;0,00056219638878592;0,539237065695965;"CDH13"
"ENSG00000131944.10";-4,17240065707538;-4,20536943429057;1,76070548547378;0,000631838351405921;0,539237065695965;"FAAP24"
"ENSG00000143248.13";-6,0507214328082;-6,27950219105514;2,0896810272813;0,000667561290204312;0,539237065695965;"RGS5"
"ENSG00000175315.3";5,42765142830532;5,54648802955414;4,56693973682383;0,000700921678357554;0,539237065695965;"CST6"
"ENSG00000272218.1";9,93296887838843;32,2495755396321;2,63711334539019;0,00073127521270734;0,539237065695965;"RP11-11N5.3"
"ENSG00000164406.8";-6,56622075313154;-7,14507223733933;0,18490901469237;0,000782511107791612;0,539237065695965;"LEAP2"
"ENSG00000179455.10";5,35422491058515;5,43832641644718;1,75520896096378;0,000807948492276155;0,539237065695965;"MKRN3"
"ENSG00000153291.16";10,2228772690614;31,2412686761733;1,39839312938855;0,000827358473888795;0,539237065695965;"SLC25A27"
"ENSG00000274825.1";-5,29327361812165;-5,4499012995304;0,463468470939805;0,000843223161118173;0,539237065695965;"RP4-616B8.5"
"ENSG00000150893.11";5,83519338841541;5,93157975628302;2,48474381919407;0,000892829465630974;0,539237065695965;"FREM2"
"ENSG00000274422.1";8,86860481457555;9,27024377941076;2,30516384740886;0,000894721548492606;0,539237065695965;"LL22NC03-2H8.5"
"ENSG00000260018.1";-4,1677378539781;-4,22241267982969;1,16290498612333;0,00102300515303456;0,539237065695965;"RP11-505K9.1"
"ENSG00000011465.18";-4,83653376776533;-4,9610673082761;1,49491443572159;0,00103541509288978;0,539237065695965;"DCN"
"ENSG00000172238.6";-4,00097607041464;-4,00271772915867;3,68994152944;0,00109619358306342;0,539237065695965;"ATOH1"
"ENSG00000168140.5";5,05328432289803;5,28301319003088;0,369170554271935;0,00111692070319442;0,539237065695965;"VASN"
"ENSG00000169035.12";5,35078050013488;5,45988278009721;2,58782384393951;0,00125291065794061;0,539237065695965;"KLK7"
"ENSG00000187984.13";-8,41941181538269;-29,7072907259533;0,69267782528291;0,00126235309228808;0,539237065695965;"ANKRD19P"
"ENSG00000268621.6";5,81628885089402;5,82856088466972;6,57402303477202;0,00134319954100923;0,539237065695965;"IGFL2-AS1"
"ENSG00000230533.4";-6,64161088800919;-7,24655133996605;1,0684124011996;0,00137599730006651;0,539237065695965;"RP11-95M15.1"
"ENSG00000137673.9";2,72031589178852;2,72580259283566;8,23218664240073;0,00147689832775383;0,539237065695965;"MMP7"
"ENSG00000178852.16";-3,85764590238778;-3,90133444767868;1,32172265010485;0,00158875240612661;0,539237065695965;"EFCAB13"
"ENSG00000168484.13";-7,7808152036316;-8,4028268570378;2,37297884157082;0,00160835770561216;0,539237065695965;"SFTPC"
"ENSG00000279057.1";-4,01104390426666;-4,07649285482311;0,836638841438287;0,00161095427741801;0,539237065695965;"CTD-3126B10.5"
"ENSG00000204860.5";-4,91382494943275;-5,08694754933343;0,853503257689925;0,00164165017082197;0,539237065695965;"FAM201A"
"ENSG00000019102.12";-3,36264133768017;-3,44499414936381;5,4497953736671;0,00164715648227872;0,539237065695965;"VSIG2"
"ENSG00000181894.15";-5,69533590060642;-5,94879258920143;1,1401408157889;0,00170571559745882;0,539237065695965;"ZNF329"
"ENSG00000259238.1";5,4357641214905;5,64800711800474;-0,0119980279185924;0,00171168619788541;0,539237065695965;"RP11-361D15.2"
"ENSG00000146826.17";-4,18816333956702;-4,21778582127675;1,87867564956492;0,00171411707602528;0,539237065695965;"TRAPPC14"
"ENSG00000235434.1";-8,0251919669797;-29,6087227273548;0,185176057206886;0,00173156597870339;0,539237065695965;"RP11-91K11.2"
"ENSG00000173083.16";4,30771733185661;4,35548192117441;1,89022195128552;0,00173172188874139;0,539237065695965;"HPSE"
"ENSG00000261115.6";-3,7883165982491;-3,88043330602772;-0,0786106592605528;0,0017391657975129;0,539237065695965;"TMEM178B"
"ENSG00000219607.4";-6,21979450224628;-6,57703374307615;0,0170870272140574;0,00174907005623039;0,539237065695965;"PPP1R3G"
"ENSG00000211897.9";-4,26495372212287;-4,2889686251097;6,81917741269744;0,00182015277903228;0,539237065695965;"IGHG3"
"ENSG00000198205.7";-5,01311438006018;-5,12652909623394;1,04876478859141;0,00189032782349735;0,539237065695965;"ZXDA"
"ENSG00000171121.16";-8,38603759869155;-28,9291888963428;0,13009443417702;0,00189386492473363;0,539237065695965;"KCNMB3"
"ENSG00000172137.19";9,73388220928666;31,4549759657844;0,768612513392199;0,00190442055951306;0,539237065695965;"CALB2"
"ENSG00000262213.1";-7,54080314702949;-29,9056287259117;-0,175852209472268;0,00193814353557687;0,539237065695965;"AC144836.1"
"ENSG00000147050.17";3,18612772551243;3,19272823829165;3,58822049939069;0,00194272649138589;0,539237065695965;"KDM6A"
"ENSG00000116991.11";-3,36298425273275;-3,37524609254763;2,79648654234407;0,00195411610100583;0,539237065695965;"SIPA1L2"
"ENSG00000286557.1";-5,75577825681929;-6,07821969832931;0,831030569179271;0,00197051392486188;0,539237065695965;"RP11-744C22.1"
"ENSG00000214290.8";4,44598997321834;4,54281307356151;3,40721859344652;0,00199648294937301;0,539237065695965;"COLCA2"
"ENSG00000140279.13";-3,7000505797625;-3,74609524649093;5,01726191217589;0,0020689482127785;0,539237065695965;"DUOX2"
"ENSG00000122852.15";-7,36997067278006;-7,99613688490393;1,79138713681313;0,00213501723453091;0,539237065695965;"SFTPA1"
"ENSG00000173762.8";-5,63559792444711;-5,80568741264085;0,514300355667252;0,00218983376663594;0,539237065695965;"CD7"
"ENSG00000263466.1";6,44501864047648;7,07705447728936;0,998336253983976;0,00221474342750008;0,539237065695965;"RP1-56K13.2"
"ENSG00000224057.1";7,51243745657536;7,6201913033369;4,52610344921553;0,00225690981184917;0,539237065695965;"EGFR-AS1"
"ENSG00000149503.13";-3,4729764507592;-3,51601524753959;0,841118624939658;0,00228638361436941;0,539237065695965;"INCENP"
"ENSG00000242444.3";-7,63020600257319;-29,8446158885044;-0,753816477876542;0,0023207487416295;0,539237065695965;"RP11-320N7.1"
"ENSG00000206970.1";7,89786047757326;30,5470706145888;-0,619312066849287;0,00232574988385239;0,539237065695965;"RNU6-474P"
"ENSG00000167656.5";11,1242612067224;32,8667824803668;2,46143710507491;0,00235571139624697;0,539237065695965;"LY6D"
"ENSG00000105991.10";4,28777467132525;4,50283114494851;0,126963923124614;0,0023582365504385;0,539237065695965;"HOXA1"
"ENSG00000286585.1";-7,52449271933419;-30,0381003329905;-0,776033595763497;0,00236184685173064;0,539237065695965;"RP11-674E16.6"
"ENSG00000282876.1";7,98172352275551;30,9069279806082;-0,269345412363484;0,00238079646833194;0,539237065695965;"RP1-138B7.7"
"ENSG00000014257.16";-5,27457089601279;-5,39788825762208;1,5171204660638;0,00240212749248874;0,539237065695965;"ACP3"
"ENSG00000090661.12";3,58778969588246;3,64177624972246;0,636459683955608;0,00241460153278683;0,539237065695965;"CERS4"
"ENSG00000272275.1";7,72852924253392;29,9420395089213;0,434188404455732;0,00243083767615578;0,539237065695965;"RP11-791G15.2"
"ENSG00000234028.3";-6,14788444656111;-6,75913505654713;0,757808878978942;0,00246056573128733;0,539237065695965;"EIF2AK3-DT"
"ENSG00000104237.11";4,31453159545595;4,40854542819256;2,34573713279012;0,00248248920459042;0,539237065695965;"RP1"
"ENSG00000134240.12";-4,78073601304016;-4,80271338560778;7,26615595282949;0,00249348578722536;0,539237065695965;"HMGCS2"
"ENSG00000287337.1";-8,1038994206207;-30,429575498212;-0,196169855592974;0,0025882425967575;0,539237065695965;"RP11-506H21.6"
"ENSG00000140057.9";-3,68032845987811;-3,74949030499266;0,985264675034647;0,0025910345720262;0,539237065695965;"AK7"
"ENSG00000275139.1";-5,95399086022422;-6,56625140977638;0,235421836252754;0,00259814793327572;0,539237065695965;"RP1-101D8.1"
"ENSG00000099937.11";-6,08992876451443;-6,42961381758636;0,278154882187761;0,00261987780242136;0,539237065695965;"SERPIND1"
"ENSG00000108576.10";-4,63366622742025;-4,72263155843673;1,43307542005988;0,00266196392104941;0,539237065695965;"SLC6A4"
"ENSG00000196549.13";3,79549730726905;3,8093358531458;3,97679685761637;0,00266348703876513;0,539237065695965;"MME"
"ENSG00000227910.1";-6,18199441481083;-6,78263294275743;-0,58626842337305;0,00267033243066604;0,539237065695965;"RP11-73B2.6"
"ENSG00000203506.5";9,9127664230968;31,112476261994;0,931359973535324;0,0026912960263747;0,539237065695965;"RBMS3-AS2"
"ENSG00000144036.16";3,24434687649548;3,26459324361707;2,05980752509831;0,00271708426958157;0,539237065695965;"EXOC6B"
"ENSG00000286486.1";-5,96161577215066;-6,56755483561985;0,16522196148686;0,00274367048798508;0,539237065695965;"RP11-278H7.6"
"ENSG00000272312.1";9,94733214422848;31,0619254114981;0,917357637618074;0,00274926207293678;0,539237065695965;"RP11-239L20.6"
"ENSG00000234459.1";-7,56825146112787;-29,8539444326154;-0,513861411373271;0,00275382365700818;0,539237065695965;"AC002064.4"
"ENSG00000161944.16";-7,60977994684042;-28,8942234757705;-0,0534344943468524;0,00281816230572428;0,539237065695965;"ASGR2"
"ENSG00000174151.15";-3,44342614512938;-3,51396260705139;0,247430048323066;0,00283797303737568;0,539237065695965;"CYB561D1"
