"","gene_id","gene_name","logFC_MetastasisNodoLinfático_vs_TumorPrimario","logCPM_MetastasisNodoLinfático_vs_TumorPrimario","F_MetastasisNodoLinfático_vs_TumorPrimario","pvalue_MetastasisNodoLinfático_vs_TumorPrimario","FDR_MetastasisNodoLinfático_vs_TumorPrimario"
"ENSG00000280077.1","ENSG00000280077.1","RP11-87H9.4",4.79273338163881,5.21442290026742,22.4765594357335,1.60496400916079e-05,0.11680905363619
"ENSG00000134240.12","ENSG00000134240.12","HMGCS2",-5.43200745377008,6.55579292630717,20.026109573054,4.05015695012892e-05,0.134897767817299
"ENSG00000162896.6","ENSG00000162896.6","PIGR",-4.95937679492557,7.89028854296091,19.8336681831192,4.67501354414222e-05,0.134897767817299
"ENSG00000174992.8","ENSG00000174992.8","ZG16",-6.93650702042835,6.45386867540757,19.1444175070391,5.78670627656965e-05,0.134897767817299
"ENSG00000181894.15","ENSG00000181894.15","ZNF329",-5.85658085985755,1.22327529669278,17.4078800411679,0.000115653419016825,0.229331655107919
"ENSG00000173083.16","ENSG00000173083.16","HPSE",4.35967724633281,1.51993414771505,16.5745725138536,0.000153845210553753,0.229331655107919
"ENSG00000179455.10","ENSG00000179455.10","MKRN3",5.10293067810162,2.27338587441932,16.2733752427126,0.00017583345719808,0.229331655107919
"ENSG00000233382.7","ENSG00000233382.7","NKAPP1",-5.27319292995353,1.71267149272349,16.2606580321716,0.000176876894680742,0.229331655107919
"ENSG00000135424.18","ENSG00000135424.18","ITGA7",-5.68549194067603,1.00232625450002,16.2087263601709,0.000190845661925364,0.229331655107919
"ENSG00000011465.18","ENSG00000011465.18","DCN",-4.85154666147063,1.5397960718442,15.8417138854889,0.000211833731528058,0.229331655107919
"ENSG00000136235.17","ENSG00000136235.17","GPNMB",3.85014229875736,4.06001550396411,15.3499658018048,0.000263336513155638,0.244143820029662
"ENSG00000099999.15","ENSG00000099999.15","RNF215",-4.27640879324912,1.3264540886134,14.8049750700584,0.000321674663131772,0.244143820029662
"ENSG00000250073.3","ENSG00000250073.3","RP11-677M14.3",-4.54591156912921,1.70032704178581,14.7018159230821,0.000333365608756985,0.244143820029662
"ENSG00000122711.9","ENSG00000122711.9","SPINK4",-6.30931290965309,6.54507400111645,14.5692013148956,0.000367917393139819,0.244143820029662
"ENSG00000163684.12","ENSG00000163684.12","RPP14",-4.35619689297513,1.58859814414544,14.0757229186948,0.000430384419919643,0.252632904070924
"ENSG00000166165.13","ENSG00000166165.13","CKB",-1.93146033892185,9.26573894229865,13.9060992126327,0.000479241193686115,0.252632904070924
"ENSG00000179988.15","ENSG00000179988.15","PSTK",4.19309745726178,6.05047054442105,13.5059717490617,0.000551277578178943,0.252632904070924
"ENSG00000235560.4","ENSG00000235560.4","AC002310.12",3.98263970934206,5.15264619818369,13.3899217787015,0.000577983336689039,0.252632904070924
"ENSG00000149503.13","ENSG00000149503.13","INCENP",-3.8482998829061,1.25806768267048,12.8979863558283,0.000723115179164079,0.306491273059636
"ENSG00000103269.14","ENSG00000103269.14","RHBDL1",-4.0754509311463,1.36368620387339,12.7949442842465,0.000747426204081334,0.307477950484871
"ENSG00000135220.11","ENSG00000135220.11","UGT2A3",-4.23069724426709,3.8718455999782,12.3943063195054,0.000879761733070694,0.32623535152529
"ENSG00000240005.6","ENSG00000240005.6","STIM2-AS1",-4.76532030359257,1.67123061598695,12.3352958440278,0.000915565712943926,0.32623535152529
"ENSG00000173467.9","ENSG00000173467.9","AGR3",-4.26206531566226,8.39805670584897,12.3582501094749,0.000918756049770619,0.32623535152529
"ENSG00000114113.6","ENSG00000114113.6","RBP2",-4.20522169095171,3.29709138173724,12.3267797882857,0.000932967331165483,0.32623535152529
"ENSG00000106538.10","ENSG00000106538.10","RARRES2",-4.86244157513044,3.85678784693283,12.1683462451561,0.00101433183319943,0.337796651213343
"ENSG00000140057.9","ENSG00000140057.9","AK7",-3.79708881819878,1.03986435416943,12.0012711600045,0.00107499238754536,0.349672523827836
"ENSG00000256546.2","ENSG00000256546.2","AC156455.1",-4.69677107485403,2.05015811462115,11.7273974443161,0.00122153799296271,0.383711854714673
"ENSG00000144647.6","ENSG00000144647.6","POMGNT2",-4.39949574466862,1.33839539818034,11.6889190106924,0.00124085590526894,0.383711854714673
"ENSG00000108576.10","ENSG00000108576.10","SLC6A4",-4.30468391048658,1.58809890250696,11.5934169751968,0.00128588107570262,0.383711854714673
"ENSG00000139329.5","ENSG00000139329.5","LUM",-4.52979981216555,2.13289417022248,11.574657535941,0.00129255881255499,0.383711854714673
"ENSG00000268621.6","ENSG00000268621.6","IGFL2-AS1",4.59299351765388,6.73508025612341,11.4890428884923,0.00132476769843651,0.383711854714673
"ENSG00000118507.18","ENSG00000118507.18","AKAP7",-4.80442520623158,3.09425428228987,11.5058246308163,0.00134423971409301,0.383711854714673
"ENSG00000224961.3","ENSG00000224961.3","LINC01752",-4.1154008984875,1.40003304200134,11.3110738214032,0.00142828991452339,0.399549820688773
