"gene_id","gene_name","logFC_Colon.Normal","logCPM_Colon.Normal","PValue_Colon.Normal","FDR_Colon.Normal","logFC_Metastasis.Nodo.Linfático","logCPM_Metastasis.Nodo.Linfático","PValue_Metastasis.Nodo.Linfático","FDR_Metastasis.Nodo.Linfático"
"ENSG00000177984.7","LCN15",-18.4927153415769,9.51677183668494,4.79117552973009e-22,1.00336797943608e-17,-4.04762874794258,9.32019262978081,0.180511737947763,0.715018450159124
"ENSG00000133742.14","CA1",10.5164546939726,7.48123600180408,1.90600144920945e-14,1.99577411746721e-10,-2.23567344539105,0.984394933235969,0.122328259608174,0.621956516761681
"ENSG00000125144.14","MT1G",4.62249770366697,10.1957348285852,1.62613883976322e-13,1.13515331941071e-09,-2.60628213482817,6.76133120237688,0.0113898942535862,0.342929371575054
"ENSG00000108244.17","KRT23",-5.39004158538411,9.92431286810482,5.16652677119273e-13,2.70493509105795e-09,0.890129361154757,11.0240718694917,0.130392839763566,0.632597027029419
"ENSG00000169715.15","MT1E",5.42143975385042,9.21157244470492,7.74951855969419e-13,3.24580835354231e-09,-1.35480322100019,5.88429976869321,0.0849081051680425,0.543772275465511
"ENSG00000163586.10","FABP1",-2.60731250868892,12.2214534400922,2.85958135482864e-11,9.98089212213689e-08,-0.812771715258199,12.0178481927876,0.704106507729667,0.992832436539063
"ENSG00000104267.10","CA2",6.20050096675138,8.10489553495088,1.56233367072285e-09,4.67405596175398e-06,-0.306204545194775,3.90450897887157,0.73844517388085,0.997524250873524
"ENSG00000148346.12","LCN2",3.11611728756765,10.6125507954766,2.96518099857114e-09,7.7621025590096e-06,-0.630100775493567,10.1107790694465,0.649103816034147,0.981487203308694
"ENSG00000125148.7","MT2A",3.66664893584561,9.9223278619453,7.2263958725517e-09,1.68150202625531e-05,-0.499993583817217,7.79840645697774,0.365259265288738,0.886954888447615
"ENSG00000188257.12","PLA2G2A",6.87117545342505,8.53458952132933,9.62445140168782e-08,0.000201555261254146,0.000499074880472286,7.49960946116914,0.998847044376066,1
"ENSG00000205364.4","MT1M",7.23991133195211,6.8369994892728,3.5356519501693e-07,0.000673123846731322,-2.47480387274022,1.47736976103623,0.0455089041156418,0.45487507434819
"ENSG00000162896.6","PIGR",4.28974992577807,10.6223110144507,7.78791686120384e-07,0.00135912129089442,-4.41226989197576,8.07588998754072,0.0653641896855143,0.506358682458095
