,proba_m1,proba_m2,bayes_factor,scale1,scale2,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,comparison,group1,group2
ENSG00000148344.11,0.8338,0.16620000000000001,1.6128016348501624,0.000120021985,9.3990275e-06,12.092857142857143,0.7523364485981309,0.4642857142857143,0.0630841121495327,0.907859196213859,0.09778777715596036,Metastasis Nodo Linfático vs Tumor Primario,Metastasis Nodo Linfático,Tumor Primario
ENSG00000165949.12,0.805,0.19499999999999995,1.4178426799951271,0.008020935,0.0030084457,1137.0142857142857,255.9626168224299,0.9928571428571429,0.9088785046728972,100.89359632312812,32.71488447334863,Metastasis Nodo Linfático vs Tumor Primario,Metastasis Nodo Linfático,Tumor Primario
ENSG00000126709.16,0.7996,0.20040000000000002,1.3837961960215899,0.0005493804,0.000106541214,40.50714285714286,5.509345794392523,0.7428571428571429,0.25934579439252337,3.7760772548907156,0.6000440438055807,Metastasis Nodo Linfático vs Tumor Primario,Metastasis Nodo Linfático,Tumor Primario
ENSG00000106211.10,0.7904,0.2096,1.3273381589286704,0.0054108114,0.0022193675,770.8928571428571,211.0607476635514,0.9857142857142858,0.8714953271028038,71.8640050137492,26.88233371386276,Metastasis Nodo Linfático vs Tumor Primario,Metastasis Nodo Linfático,Tumor Primario
ENSG00000147872.10,0.7784,0.22160000000000002,1.256366543719179,0.0010216958,0.00044954068,119.91428571428571,40.14018691588785,0.9571428571428572,0.6565420560747663,10.8151625448823,4.227214903152489,Metastasis Nodo Linfático vs Tumor Primario,Metastasis Nodo Linfático,Tumor Primario
ENSG00000268621.6,0.7736,0.22640000000000005,1.228751566567023,0.0014866056,1.1115909e-05,152.2,0.3808411214953271,0.6428571428571429,0.1542056074766355,17.688991685858966,0.058749445706143086,Metastasis Nodo Linfático vs Tumor Primario,Metastasis Nodo Linfático,Tumor Primario
ENSG00000144366.16,0.7658,0.23419999999999996,1.1847455582392699,0.00029759208,1.3491359e-05,13.2,1.1238317757009346,0.4142857142857143,0.06775700934579439,1.0839163733381179,0.1350362555414067,Metastasis Nodo Linfático vs Tumor Primario,Metastasis Nodo Linfático,Tumor Primario
ENSG00000181019.13,0.765,0.235,1.1802902902010817,0.0019988914,0.0011057523,234.47857142857143,91.84579439252336,0.9785714285714285,0.8387850467289719,21.21393251896543,10.432330158542753,Metastasis Nodo Linfático vs Tumor Primario,Metastasis Nodo Linfático,Tumor Primario
ENSG00000107159.13,0.7626,0.23740000000000006,1.1669871362379314,4.042359e-05,1.0473526e-05,4.642857142857143,1.0070093457943925,0.14285714285714285,0.04205607476635514,0.3213434114209098,0.09009950990621167,Metastasis Nodo Linfático vs Tumor Primario,Metastasis Nodo Linfático,Tumor Primario
ENSG00000214049.8,0.7626,0.23740000000000006,1.1669871362379314,0.0006901725,0.00012132077,91.98571428571428,11.156542056074766,0.75,0.40420560747663553,8.272278827964781,0.9321257766324063,Metastasis Nodo Linfático vs Tumor Primario,Metastasis Nodo Linfático,Tumor Primario
