Z_11,gene,abs_loading,factor
0.47398427,ENSG00000204389.10,0.47398427,Z_11
0.34191307,ENSG00000168243.11,0.34191307,Z_11
-0.30877465,ENSG00000100097.12,0.30877465,Z_11
0.28636038,ENSG00000104450.13,0.28636038,Z_11
-0.28147554,ENSG00000007306.15,0.28147554,Z_11
-0.27815667,ENSG00000104419.17,0.27815667,Z_11
-0.277865,ENSG00000211592.8,0.277865,Z_11
0.27292377,ENSG00000285219.2,0.27292377,Z_11
-0.27024934,ENSG00000171431.4,0.27024934,Z_11
-0.26518404,ENSG00000150782.12,0.26518404,Z_11
0.26170948,ENSG00000206828.1,0.26170948,Z_11
-0.26149645,ENSG00000135926.15,0.26149645,Z_11
0.2613938,ENSG00000144354.14,0.2613938,Z_11
0.25945568,ENSG00000132792.19,0.25945568,Z_11
0.25920781,ENSG00000163950.13,0.25920781,Z_11
0.2583166,ENSG00000165672.7,0.2583166,Z_11
0.25431708,ENSG00000157456.8,0.25431708,Z_11
-0.25314984,ENSG00000117472.10,0.25314984,Z_11
-0.24936165,ENSG00000159713.11,0.24936165,Z_11
-0.24889228,ENSG00000134531.10,0.24889228,Z_11
0.24766384,ENSG00000133119.13,0.24766384,Z_11
0.2445355,ENSG00000170312.16,0.2445355,Z_11
0.24305747,ENSG00000188257.12,0.24305747,Z_11
-0.24146879,ENSG00000163975.12,0.24146879,Z_11
0.2350655,ENSG00000122952.17,0.2350655,Z_11
-0.23496015,ENSG00000002726.21,0.23496015,Z_11
0.23213744,ENSG00000106628.12,0.23213744,Z_11
0.23159268,ENSG00000196305.19,0.23159268,Z_11
-0.22681631,ENSG00000173467.9,0.22681631,Z_11
-0.22406375,ENSG00000129521.15,0.22406375,Z_11
-0.22343288,ENSG00000140297.13,0.22343288,Z_11
-0.22301452,ENSG00000139289.14,0.22301452,Z_11
-0.21667479,ENSG00000141741.12,0.21667479,Z_11
0.21648726,ENSG00000125740.14,0.21648726,Z_11
-0.21195902,ENSG00000079112.10,0.21195902,Z_11
-0.21193191,ENSG00000128951.14,0.21193191,Z_11
-0.21163537,ENSG00000188643.11,0.21163537,Z_11
0.2111565,ENSG00000173110.8,0.2111565,Z_11
-0.21052411,ENSG00000106258.15,0.21052411,Z_11
-0.20991759,ENSG00000105205.7,0.20991759,Z_11
0.2077985,ENSG00000171456.20,0.2077985,Z_11
-0.20689747,ENSG00000134827.8,0.20689747,Z_11
-0.20672522,ENSG00000112773.16,0.20672522,Z_11
-0.20620672,ENSG00000180964.17,0.20620672,Z_11
-0.20576268,ENSG00000129538.14,0.20576268,Z_11
0.20365787,ENSG00000169288.18,0.20365787,Z_11
0.2027651,ENSG00000051108.15,0.2027651,Z_11
-0.19977748,ENSG00000287331.1,0.19977748,Z_11
0.19878435,ENSG00000172016.16,0.19878435,Z_11
0.19760686,ENSG00000163931.16,0.19760686,Z_11
0.19733794,ENSG00000065154.12,0.19733794,Z_11
0.19712573,ENSG00000136104.21,0.19712573,Z_11
0.19624013,ENSG00000151490.15,0.19624013,Z_11
-0.1940281,ENSG00000196352.16,0.1940281,Z_11
-0.19275585,ENSG00000196954.14,0.19275585,Z_11
-0.19251296,ENSG00000125775.15,0.19251296,Z_11
-0.19236004,ENSG00000266088.6,0.19236004,Z_11
0.19129653,ENSG00000148773.14,0.19129653,Z_11
0.19116418,ENSG00000117724.13,0.19116418,Z_11
0.19055422,ENSG00000075218.19,0.19055422,Z_11
-0.19047353,ENSG00000278505.5,0.19047353,Z_11
-0.18846546,ENSG00000198786.2,0.18846546,Z_11
-0.18799697,ENSG00000115641.19,0.18799697,Z_11
-0.1860552,ENSG00000079385.23,0.1860552,Z_11
0.185863,ENSG00000137574.11,0.185863,Z_11
0.18412761,ENSG00000124299.15,0.18412761,Z_11
0.183119,ENSG00000117523.17,0.183119,Z_11
0.18068378,ENSG00000198467.16,0.18068378,Z_11
0.18028526,ENSG00000065361.17,0.18028526,Z_11
0.17970236,ENSG00000184220.12,0.17970236,Z_11
0.1790663,ENSG00000185950.9,0.1790663,Z_11
-0.17727673,ENSG00000288057.1,0.17727673,Z_11
0.1757253,ENSG00000153234.15,0.1757253,Z_11
-0.17541379,ENSG00000079459.13,0.17541379,Z_11
-0.1753598,ENSG00000159182.5,0.1753598,Z_11
-0.17504951,ENSG00000180861.9,0.17504951,Z_11
0.17499493,ENSG00000130520.11,0.17499493,Z_11
0.17495094,ENSG00000161981.11,0.17495094,Z_11
0.17341475,ENSG00000134779.15,0.17341475,Z_11
0.17240293,ENSG00000172766.19,0.17240293,Z_11
0.171805,ENSG00000117399.14,0.171805,Z_11
0.17075275,ENSG00000143416.21,0.17075275,Z_11
-0.17064485,ENSG00000164266.11,0.17064485,Z_11
0.16891184,ENSG00000204574.14,0.16891184,Z_11
0.16863978,ENSG00000168496.4,0.16863978,Z_11
0.16771226,ENSG00000056736.10,0.16771226,Z_11
0.16767375,ENSG00000167325.15,0.16767375,Z_11
-0.1672579,ENSG00000206503.13,0.1672579,Z_11
-0.1671395,ENSG00000127324.9,0.1671395,Z_11
0.16591227,ENSG00000104537.17,0.16591227,Z_11
-0.16586392,ENSG00000104714.14,0.16586392,Z_11
0.16574113,ENSG00000148229.13,0.16574113,Z_11
0.16512163,ENSG00000107581.13,0.16512163,Z_11
-0.16427074,ENSG00000089063.15,0.16427074,Z_11
0.16352639,ENSG00000119403.15,0.16352639,Z_11
0.16268246,ENSG00000081041.9,0.16268246,Z_11
0.16242914,ENSG00000001626.16,0.16242914,Z_11
-0.16057037,ENSG00000135549.15,0.16057037,Z_11
-0.16039737,ENSG00000196126.11,0.16039737,Z_11
-0.1599665,ENSG00000015475.19,0.1599665,Z_11
