Z_12,gene,abs_loading,factor
-0.30166113,ENSG00000184292.7,0.30166113,Z_12
-0.27762747,ENSG00000137563.13,0.27762747,Z_12
-0.2710143,ENSG00000159182.5,0.2710143,Z_12
-0.26971468,ENSG00000077152.11,0.26971468,Z_12
-0.26895502,ENSG00000136159.4,0.26895502,Z_12
-0.26562238,ENSG00000136802.12,0.26562238,Z_12
-0.26201597,ENSG00000198786.2,0.26201597,Z_12
-0.2597359,ENSG00000177984.7,0.2597359,Z_12
-0.25021988,ENSG00000115641.19,0.25021988,Z_12
-0.232624,ENSG00000164104.12,0.232624,Z_12
-0.22784549,ENSG00000104714.14,0.22784549,Z_12
-0.21859829,ENSG00000137547.9,0.21859829,Z_12
-0.21295628,ENSG00000175063.17,0.21295628,Z_12
-0.20952092,ENSG00000166165.13,0.20952092,Z_12
-0.20650211,ENSG00000115414.21,0.20650211,Z_12
-0.20403759,ENSG00000251562.8,0.20403759,Z_12
-0.20381296,ENSG00000112773.16,0.20381296,Z_12
-0.20290425,ENSG00000114346.14,0.20290425,Z_12
-0.20141524,ENSG00000108848.16,0.20141524,Z_12
-0.1985446,ENSG00000154978.13,0.1985446,Z_12
-0.19801444,ENSG00000078401.7,0.19801444,Z_12
-0.19736427,ENSG00000244509.4,0.19736427,Z_12
-0.19656938,ENSG00000128050.9,0.19656938,Z_12
-0.19520566,ENSG00000136108.15,0.19520566,Z_12
-0.19430883,ENSG00000203760.9,0.19430883,Z_12
-0.18240754,ENSG00000015413.9,0.18240754,Z_12
-0.1752275,ENSG00000108244.17,0.1752275,Z_12
-0.17202167,ENSG00000111196.10,0.17202167,Z_12
-0.171154,ENSG00000119969.15,0.171154,Z_12
-0.17056495,ENSG00000101361.17,0.17056495,Z_12
-0.16951114,ENSG00000106541.12,0.16951114,Z_12
-0.16798533,ENSG00000042493.16,0.16798533,Z_12
-0.16711035,ENSG00000085231.14,0.16711035,Z_12
-0.16641265,ENSG00000122952.17,0.16641265,Z_12
-0.16457188,ENSG00000172053.18,0.16457188,Z_12
-0.16417883,ENSG00000164611.13,0.16417883,Z_12
-0.16381194,ENSG00000167920.10,0.16381194,Z_12
-0.16357306,ENSG00000196352.16,0.16357306,Z_12
-0.16232856,ENSG00000137575.12,0.16232856,Z_12
-0.16179778,ENSG00000178057.15,0.16179778,Z_12
-0.16128519,ENSG00000080824.19,0.16128519,Z_12
-0.15930675,ENSG00000164934.14,0.15930675,Z_12
-0.15538266,ENSG00000132002.9,0.15538266,Z_12
-0.15485743,ENSG00000158417.11,0.15485743,Z_12
-0.15396178,ENSG00000127324.9,0.15396178,Z_12
-0.15394425,ENSG00000172016.16,0.15394425,Z_12
-0.15346982,ENSG00000148700.15,0.15346982,Z_12
-0.15243188,ENSG00000135336.16,0.15243188,Z_12
-0.15178561,ENSG00000137673.9,0.15178561,Z_12
-0.15087497,ENSG00000119326.15,0.15087497,Z_12
