Z_3,gene,abs_loading,factor
0.2891026,ENSG00000173467.9,0.2891026,Z_3
0.28186977,ENSG00000184292.7,0.28186977,Z_3
0.26798025,ENSG00000117472.10,0.26798025,Z_3
0.26738474,ENSG00000104765.16,0.26738474,Z_3
0.26120713,ENSG00000168374.11,0.26120713,Z_3
0.24283573,ENSG00000164251.5,0.24283573,Z_3
0.23836306,ENSG00000145384.4,0.23836306,Z_3
0.23444363,ENSG00000177984.7,0.23444363,Z_3
0.2333557,ENSG00000079112.10,0.2333557,Z_3
0.22487119,ENSG00000134531.10,0.22487119,Z_3
0.22403349,ENSG00000183844.17,0.22403349,Z_3
0.22288407,ENSG00000137563.13,0.22288407,Z_3
0.20745155,ENSG00000204385.13,0.20745155,Z_3
0.20269884,ENSG00000115641.19,0.20269884,Z_3
0.1952883,ENSG00000242247.11,0.1952883,Z_3
0.18941355,ENSG00000168938.6,0.18941355,Z_3
0.18705848,ENSG00000170540.15,0.18705848,Z_3
0.18466932,ENSG00000163220.11,0.18466932,Z_3
0.18393622,ENSG00000140297.13,0.18393622,Z_3
0.17966643,ENSG00000125378.16,0.17966643,Z_3
0.1792872,ENSG00000164266.11,0.1792872,Z_3
0.17686404,ENSG00000224057.1,0.17686404,Z_3
0.17509113,ENSG00000135245.10,0.17509113,Z_3
0.17430761,ENSG00000015413.9,0.17430761,Z_3
0.17236897,ENSG00000120756.13,0.17236897,Z_3
0.17199339,ENSG00000136826.15,0.17199339,Z_3
0.16858576,ENSG00000196126.11,0.16858576,Z_3
0.16544163,ENSG00000148346.12,0.16544163,Z_3
0.16534936,ENSG00000135919.14,0.16534936,Z_3
0.1652922,ENSG00000079385.23,0.1652922,Z_3
0.16506799,ENSG00000105388.16,0.16506799,Z_3
0.16502532,ENSG00000234745.13,0.16502532,Z_3
0.16427173,ENSG00000148180.21,0.16427173,Z_3
0.16316055,ENSG00000163586.10,0.16316055,Z_3
0.16233005,ENSG00000198692.10,0.16233005,Z_3
0.16216537,ENSG00000089472.17,0.16216537,Z_3
0.16101336,ENSG00000173110.8,0.16101336,Z_3
0.16077188,ENSG00000171431.4,0.16077188,Z_3
0.16009855,ENSG00000137673.9,0.16009855,Z_3
0.15822254,ENSG00000057294.16,0.15822254,Z_3
0.15712583,ENSG00000181019.13,0.15712583,Z_3
0.15554394,ENSG00000173334.4,0.15554394,Z_3
0.15476152,ENSG00000204397.9,0.15476152,Z_3
0.15464573,ENSG00000121579.13,0.15464573,Z_3
0.15416828,ENSG00000122711.9,0.15416828,Z_3
0.15375182,ENSG00000133318.14,0.15375182,Z_3
0.15284233,ENSG00000131746.13,0.15284233,Z_3
0.15056305,ENSG00000110958.16,0.15056305,Z_3
0.15031701,ENSG00000106052.14,0.15031701,Z_3
0.14970523,ENSG00000110911.17,0.14970523,Z_3
