patient,region_long,LDVAE_1,LDVAE_2,LDVAE_3,LDVAE_4,LDVAE_5,LDVAE_6,LDVAE_7,LDVAE_8,LDVAE_9,LDVAE_10,LDVAE_11,LDVAE_12,LDVAE_13,LDVAE_14,LDVAE_15,LDVAE_16,LDVAE_17,LDVAE_18,LDVAE_19,LDVAE_20
CRC03,Metastasis Nodo Linfático,-0.19462448,2.9852247,2.075985,-0.6064823,0.7361817,-0.7297788,1.4554021,1.7418697,-2.2640362,-0.71622765,0.34355268,-1.4396348,-0.20132506,-1.5161684,0.7942127,2.3957825,-1.5107625,0.73888624,1.7829741,-0.064722836
CRC03,Tumor Primario,0.9047714,0.77245253,2.946581,-1.8735526,2.438645,-1.4405215,1.9019892,2.2159085,-3.3273258,-1.0991914,-1.4243388,-1.2292998,0.20524424,-2.472613,-0.23680325,-0.18302831,-2.376951,1.194635,2.3729577,-1.6542048
CRC04,Metastasis Nodo Linfático,1.8795117,-1.272392,0.5050441,-0.79349345,0.53277755,-1.5219417,-0.38345793,0.74904,-1.803512,1.0095714,-2.4635923,0.05490039,0.36845392,0.10823903,-0.008483547,-1.8722411,-0.1828892,-0.05068416,-0.6163936,-1.7570761
CRC04,Tumor Primario,0.72951657,-0.3577641,0.49204943,-0.21827735,0.30443776,-0.77181345,-0.060860462,0.25238532,-0.9629543,0.8563607,-0.9402791,-0.025074372,-0.15506023,0.12995045,0.27411216,-0.4739309,-0.39494815,-0.005610037,-0.05808556,-1.0024772
CRC06,Metastasis Nodo Linfático,0.6902394,-0.6108156,0.6809895,-0.89426947,-0.30900207,-1.5081944,-0.10877934,0.5669304,-0.44310686,-0.5250055,-0.46980357,0.917468,0.23634326,1.3495214,-0.23428631,-1.2276055,-0.60160923,-0.84591335,1.2902105,-0.238567
CRC06,Tumor Primario,0.5319387,-0.05075895,0.64226854,-1.0118661,-0.57427794,-1.7672215,-0.07986226,0.94345623,-1.3631232,-1.3127867,-0.78345656,0.6405999,0.76242507,1.0255929,-0.061276022,-0.5325763,-0.21930952,-0.7035161,1.271294,-0.7199632
CRC09,Metastasis Nodo Linfático,,,,,,,,,,,,,,,,,,,,
CRC09,Tumor Primario,0.68923753,-0.66895175,1.5188323,-0.8903415,-0.114776656,-1.7550858,0.68518496,1.4700772,-2.3250597,-2.114544,-1.1065005,0.23236799,1.3334988,0.39777052,0.9290619,-0.09753728,-0.3763482,0.31458062,1.2704535,-1.3102003
CRC10,Metastasis Nodo Linfático,1.5077046,-1.308179,-0.4007656,0.6236797,0.61991954,-1.701699,-1.0809065,-0.07175151,-1.1616772,-1.3935153,-3.3941665,-2.7528918,1.0498161,-0.58874935,-2.4879537,-0.6016608,1.9104846,1.2619026,-2.3840704,-0.41340774
CRC10,Tumor Primario,1.3392056,-1.2769488,-0.19195272,0.29446563,0.6251952,-1.9669724,-1.0023856,0.08047577,-1.5206949,-1.5217882,-3.2559571,-2.8875084,1.0701932,-0.5171688,-2.6734843,-0.53226405,1.8282808,1.1390976,-2.0379791,-0.6816705
CRC11,Metastasis Nodo Linfático,0.28329948,-0.40325886,1.1652349,-1.1024699,1.4034867,-0.65250385,0.16127233,0.698062,-1.3239172,0.1685848,-0.13606063,0.8863051,0.2016765,-0.44357347,0.27557787,-0.55206037,-1.6435729,-0.2887488,0.5645199,-0.45425797
CRC11,Tumor Primario,0.47623816,-0.69929934,1.3582261,-1.0891984,1.0195497,-0.8237718,0.31681073,0.8105733,-1.2021537,-0.7114637,-0.32566845,0.5402797,0.7161782,-0.35037035,0.4128034,-1.1442933,-1.7836171,-0.117950365,0.9266485,-0.78903836
