,LDVAE_1,LDVAE_2,LDVAE_3,LDVAE_4,LDVAE_5,LDVAE_6,LDVAE_7,LDVAE_8,LDVAE_9,LDVAE_10,LDVAE_11,LDVAE_12,LDVAE_13,LDVAE_14,LDVAE_15,LDVAE_16,LDVAE_17,LDVAE_18,LDVAE_19,LDVAE_20,region_long,patient
scTrioSeq2Rna_CRC11_LN1_361,1.5655209,-1.5571125,1.1430688,-2.7094483,1.4457223,-1.4020772,0.15224922,1.0930388,-0.9925139,1.5770822,0.058834493,1.7231636,-0.41780484,0.25534576,-0.82424104,-1.0625306,-2.1075497,-1.0609185,1.9308525,-1.5387383,Metastasis Nodo Linfático,CRC11
scTrioSeq2Rna_CRC11_PT4_716,-2.1358213,0.7094501,0.94159377,0.866547,0.04167217,-0.008835971,-0.43448332,0.12387675,-1.4877985,-0.29104114,-0.12358928,-1.016325,0.41537488,-0.44048214,0.45933494,0.8733395,-0.8513735,0.36468,-0.95464134,0.8609291,Tumor Primario,CRC11
scTrioSeq2Rna_CRC04_LN2_494,2.034195,-1.7424855,0.13290465,-0.7550495,0.18977082,-1.3537536,-0.44683132,0.7134709,-0.91106987,1.1005025,-1.8744576,0.9319041,-0.13841176,0.39274067,0.056128472,-1.7742206,-0.22312897,-0.318903,-0.19498974,-1.6769543,Metastasis Nodo Linfático,CRC04
scTrioSeq2Rna_CRC03_PT2_160,0.7702147,1.0188658,0.57338774,-0.92901677,2.1020954,0.35499373,0.8632094,0.2929055,-0.65436447,1.231571,0.38136852,-0.24423969,-0.94330853,-0.7830606,0.9712833,-0.45819628,-1.7674892,-0.024445891,1.9350563,-0.513555,Tumor Primario,CRC03
scTrioSeq2Rna_CRC03_PT1_116,0.9084215,1.2879899,3.8941102,-4.4765344,2.6788414,-3.4995046,1.8858173,3.6756186,-6.1842365,-0.72774196,-0.91503817,-0.22103554,0.38436127,-3.0272143,-1.1454012,0.99210846,-3.8718405,0.15815514,3.966076,-2.0012064,Tumor Primario,CRC03
scTrioSeq2Rna_CRC04_LN1_378,1.0634396,-0.9793293,0.17898428,-0.2729571,0.056060016,-0.96563333,-1.0669248,0.027334332,-1.0847993,1.6801182,-2.631871,-1.0851371,0.2572589,-0.23125398,-0.3818354,-1.7883908,0.91401994,-0.063812554,-1.2551954,-1.1880357,Metastasis Nodo Linfático,CRC04
scTrioSeq2Rna_CRC11_LN1_385,0.601161,-0.570543,0.19400811,-0.2030487,0.94234365,0.15247983,0.058033466,-0.25627777,0.7449784,0.81950593,0.3291199,1.5612018,-0.85712165,0.5340726,0.008275628,-1.0060207,-1.0446339,-0.86526436,0.93009293,0.3311598,Metastasis Nodo Linfático,CRC11
scTrioSeq2Rna_CRC11_PT1_451,0.17635936,-0.07208109,1.9941651,-0.67815405,1.0835435,-2.1358159,0.18047619,1.1963842,-2.6970975,-2.3750618,-1.3909469,-0.75378495,1.8836795,-1.2865925,0.778476,-1.0557798,-1.4030964,0.94300306,0.36021256,-0.87637955,Tumor Primario,CRC11
scTrioSeq2Rna_CRC11_PT4_704,-0.33981985,0.61279696,1.6425554,-0.6291017,0.62057275,-1.4226966,0.30038506,1.0581808,-2.040838,-1.9960277,0.020372033,-0.08020592,1.074492,-0.96834415,0.38627812,0.096107006,-1.3911519,0.21559685,0.85451865,-0.48213083,Tumor Primario,CRC11
scTrioSeq2Rna_CRC09_PT4_530,-0.13259143,0.5186457,0.08339268,-0.7042666,-2.2500496,-1.6216862,0.20600069,0.82230216,-1.0292941,-1.0892278,0.91733027,1.5654366,-0.38852435,2.6713455,-0.19354081,1.1531961,0.17455932,-1.6256356,1.4983381,0.59150755,Tumor Primario,CRC09
scTrioSeq2Rna_CRC11_PT4_744,0.36231136,-1.8647609,1.4788736,-1.5742664,0.6499197,-0.9997547,-0.06716558,0.35924655,-0.18740547,-0.26230395,0.48581958,1.8979881,0.73155046,0.22776869,0.40846646,-1.6143583,-2.3617954,-1.0441611,1.3161072,-0.71258384,Tumor Primario,CRC11
scTrioSeq2Rna_CRC04_PT2_555,-0.01376456,0.1082654,1.2060199,-0.6977822,0.47321075,-0.85771006,0.12888998,0.8545502,-2.255258,-0.3996619,-0.8265559,-0.25952518,0.5150254,-0.73405737,0.4618608,0.2225503,-0.633158,0.17483765,0.06968331,-0.9724534,Tumor Primario,CRC04
scTrioSeq2Rna_CRC11_PT3_776,1.0081825,-1.7185049,0.5536152,-1.2305379,1.1848686,0.1443975,0.12645537,0.14952296,0.47999212,0.65006894,0.41915864,1.8679695,-0.23682213,0.5125583,0.62054217,-1.753317,-2.0015552,-0.8839173,1.369892,-0.8134106,Tumor Primario,CRC11
scTrioSeq2Rna_CRC11_PT4_725,-1.750171,0.7025641,1.9219803,0.39060184,-0.00028198957,-1.1491084,0.28968644,1.0537302,-2.7985187,-1.6843312,-1.1272309,-2.0088327,1.1725826,-0.9142377,0.99045616,0.7093459,-0.73293275,0.88567305,-0.5042234,-0.70630985,Tumor Primario,CRC11
scTrioSeq2Rna_CRC03_PT2_148,-0.7842632,2.2841353,1.472216,0.8531226,1.717087,0.7904987,1.1641634,0.13743782,-1.764251,0.81296235,-0.5358469,-1.6466682,-1.2043128,-2.1640334,1.1805935,0.95361197,-1.8409185,1.2141709,0.14330798,-0.42123443,Tumor Primario,CRC03
scTrioSeq2Rna_CRC09_PT4_550,-0.1368568,-0.5210919,1.3802911,-0.85461265,-1.1703695,-1.6492975,1.7488234,1.3867779,-2.7933393,-3.9676542,-0.4416259,1.0610307,1.3782579,1.4703557,1.3293543,1.1442472,-0.5467672,-0.30449864,2.1011438,-0.43289083,Tumor Primario,CRC09
scTrioSeq2Rna_CRC06_PT4_303,-0.11543816,-0.21727741,0.30826402,-0.8401132,-0.5644517,-1.302789,0.4349929,1.1813016,-0.18938285,-1.0634993,-0.29466724,1.4121221,-0.1702179,1.9502876,0.9423417,0.13400644,-0.124578595,-1.0752214,2.324317,-0.89884764,Tumor Primario,CRC06
scTrioSeq2Rna_CRC10_LN1_046,2.3296356,-1.4063754,-0.7646739,0.8873415,0.14436382,-2.4240777,-1.3381752,-0.38801274,-1.0963236,-1.8903565,-3.9441712,-2.9745123,1.1660787,-0.091823995,-3.5963233,-0.16141409,3.1946294,1.2624084,-3.1589847,-0.33393413,Metastasis Nodo Linfático,CRC10
scTrioSeq2Rna_CRC09_PT1_260,-0.050664365,-1.333133,0.746941,0.08764839,0.4596731,-0.23890263,0.69397825,1.0105262,-0.078020155,-0.8881496,0.15453416,1.3837873,-0.6501859,0.9916057,1.6090704,0.055572927,-0.854224,0.14660525,1.7124666,-1.0717814,Tumor Primario,CRC09
scTrioSeq2Rna_CRC11_PT1_428,1.3137556,-1.7886786,0.614074,-1.2989311,0.74360055,-0.11271739,0.43742985,0.560157,0.46657932,-1.2465123,0.022925138,1.8091569,0.08517969,0.14355421,0.18920752,-1.8033496,-1.7446442,-0.13734913,1.4696606,-0.8410749,Tumor Primario,CRC11
scTrioSeq2Rna_CRC10_LN1_006,1.949632,-1.4305248,0.50574315,-0.033993125,0.89275855,-2.1494348,-0.7436899,0.62192553,-2.1578226,-2.7417703,-3.591849,-2.4716308,1.7648333,-1.4530244,-2.596431,-1.0527384,1.4036,1.6633594,-2.4520707,-1.0555503,Metastasis Nodo Linfático,CRC10
scTrioSeq2Rna_CRC09_PT3_496,2.0482125,-0.9179154,1.6108581,-0.6588661,0.35083348,-2.4839587,0.57350534,1.4351292,-2.7745786,-3.0715547,-2.0266674,-0.43600923,2.6679454,0.27632028,1.3307707,-1.2463459,-0.12726331,1.1608377,1.2879852,-1.8713133,Tumor Primario,CRC09
scTrioSeq2Rna_CRC03_PT4_233,-0.34523872,3.0950027,3.1128473,-1.5350378,0.30245095,-2.273842,2.1862338,1.7380974,-3.5407515,-0.55191123,0.31483942,-1.3505061,-0.90997785,-0.7734669,-1.0112555,1.8774441,-1.5068254,0.9908154,2.227148,-0.35356003,Tumor Primario,CRC03
scTrioSeq2Rna_CRC03_PT1_144,-0.8592269,1.8264096,2.2904634,-0.19845146,1.8041201,0.43128863,2.1817238,0.85779124,-1.5243549,-0.08567089,-0.508025,-1.8029742,-1.2586312,-2.6790557,-0.27137268,1.4523106,-1.5838666,1.2398535,1.7825683,-0.79772216,Tumor Primario,CRC03
scTrioSeq2Rna_CRC06_PT4_333,0.49226844,0.1447041,0.30570865,-0.5603655,-0.75296116,-0.43314618,0.48912817,0.4511904,-0.0919199,-0.73995996,0.1802738,1.4515541,-0.0018321276,1.6296513,0.4641984,-1.3173275,-0.5184229,-0.7765242,1.3727285,0.2922344,Tumor Primario,CRC06
scTrioSeq2Rna_CRC11_LN1_334,1.6430353,-1.1973889,1.0488513,-1.3742113,1.5742743,-0.748812,-0.12951344,0.8376526,-1.3713024,-0.3357166,-0.8198369,0.93222356,0.8841951,-0.5136369,0.7412957,-1.7463416,-1.7294347,-0.3466077,0.57121956,-1.2132492,Metastasis Nodo Linfático,CRC11
scTrioSeq2Rna_CRC10_PT1_155,1.1509777,-2.091032,0.738086,-0.879507,0.9028384,-2.7633193,-0.9152522,1.1023889,-2.2487357,-2.1564937,-3.132352,-2.4859095,1.2376573,-1.4103224,-3.3358865,-0.75631845,1.0767713,1.056262,-1.1580483,-1.2971992,Tumor Primario,CRC10
scTrioSeq2Rna_CRC09_PT3_489,-0.016893387,-0.9299193,0.08089626,-0.401684,-0.9212452,-0.84359103,0.65150934,0.91641754,-0.18512666,-0.006093204,-0.35525078,0.7967242,-0.5700361,1.6992836,0.7966747,-0.49038076,0.46371347,-0.49965817,1.2333432,-1.5306308,Tumor Primario,CRC09
scTrioSeq2Rna_CRC11_PT4_736,-0.102200925,-0.415038,0.5144142,-0.7370092,0.7858972,-0.25904483,-0.406954,-0.3942714,0.0381397,0.7089688,0.72200495,1.3756766,-0.04053116,0.7294743,0.2000978,-1.025435,-1.5371554,-0.9724807,0.48010314,-0.1555028,Tumor Primario,CRC11
scTrioSeq2Rna_CRC06_PT4_294,0.64674866,-0.8919713,1.2164001,-1.1802137,-0.09179199,-1.356219,0.38061565,1.2450528,-0.7856692,-1.3684301,-0.7005175,1.1026175,0.7101637,0.67144066,0.60868716,-1.0561241,-1.0994728,-0.5592878,2.1400633,-1.0756919,Tumor Primario,CRC06
scTrioSeq2Rna_CRC11_PT1_454,-0.02310276,-0.48184305,0.7302861,-0.75259393,0.56102043,0.28381032,0.3637368,0.120089054,-0.26390302,0.2913253,0.026924372,0.67867166,0.12554353,-0.25839585,0.31233037,-0.8055978,-1.116921,-0.43229377,0.7947215,-0.13998449,Tumor Primario,CRC11
scTrioSeq2Rna_CRC06_LN1_039,0.6950133,-0.36341166,0.87639403,-1.4182782,-0.47870338,-2.5187771,-0.09731975,1.0487492,-1.7326744,-1.6391814,-0.80155593,0.65886843,0.9748714,0.67763555,-0.61402166,-0.4133407,-0.452604,-0.9119823,1.3649052,-0.34110564,Metastasis Nodo Linfático,CRC06
scTrioSeq2Rna_CRC04_LN1_358,1.6705757,-1.5658555,1.0026944,-0.3803795,-0.09258187,-0.86271805,0.20408887,0.31877583,-1.0554394,-0.24900794,-2.3078203,-0.5920823,0.17186862,0.12831822,-1.1915374,-1.8005513,0.10582554,-0.25567088,-0.98935425,-1.0617425,Metastasis Nodo Linfático,CRC04
scTrioSeq2Rna_CRC03_PT3_252,0.41405725,1.772543,1.5972847,-1.0673571,1.5420792,0.28953868,2.2344012,1.2971418,-1.1329209,-0.13342625,-0.29012638,-1.1042771,-0.7443445,-1.8574085,-0.44541854,1.222903,-1.0117633,0.7029097,2.8827953,-0.343049,Tumor Primario,CRC03
scTrioSeq2Rna_CRC03_PT3_277,0.3229282,0.93538463,1.8280922,-1.7567573,1.3578856,-0.35375422,1.979847,1.3800862,-1.7970822,-0.15365535,-0.377881,-0.47558182,-0.13302472,-1.8212237,0.14401367,0.16261536,-1.0216043,0.21250516,2.800016,-1.071065,Tumor Primario,CRC03
scTrioSeq2Rna_CRC10_LN1_039,0.9513241,-1.3266447,-0.33827507,0.7223263,0.4798965,-1.5655382,-0.8519425,-0.0052248836,-1.1034397,-1.8607523,-3.1073492,-2.9564538,0.8653784,-0.8051072,-2.7049847,0.010380805,1.9537337,1.299601,-2.0905256,-0.32999426,Metastasis Nodo Linfático,CRC10
scTrioSeq2Rna_CRC11_PT1_441,-0.47484842,-0.6067696,0.88958895,-0.39336604,0.90305847,-0.3074966,0.49363977,0.3565007,-0.63221955,-1.8391373,0.30227265,1.1893015,0.36780167,-0.63138086,0.90910625,-0.16329515,-1.9388721,0.37850714,1.2877661,-0.23662001,Tumor Primario,CRC11
scTrioSeq2Rna_CRC09_PT3_484,1.7324935,-1.1413872,1.1273497,-0.8069772,0.0039486885,-2.570455,0.31638896,1.6702409,-2.4938838,-3.1402278,-2.0448835,-0.34842885,2.6030478,0.36017457,1.2195692,-1.1503184,0.1987142,0.9264164,1.0635661,-1.9168236,Tumor Primario,CRC09
scTrioSeq2Rna_CRC03_PT3_265,0.050720274,2.1820974,0.83372664,0.059884965,1.4580259,1.0443138,1.5061438,0.48092574,-0.68978584,0.877144,0.043097615,-1.2050717,-0.9897192,-1.6008847,0.47949323,1.0082499,-1.0854952,0.8406478,1.4638153,-0.16732186,Tumor Primario,CRC03
