,Z_0,Z_1,Z_2,Z_3,Z_4,Z_5,Z_6,Z_7,Z_8,Z_9,Z_10,Z_11,Z_12,Z_13,Z_14,Z_15,Z_16,Z_17,Z_18,Z_19
ENSG00000187608.10,0.05839754,-0.051271483,0.039761726,-0.042023033,0.0038836417,-0.030128183,0.024250763,0.01879518,-0.054812968,-0.008673046,0.02441805,-0.044049118,-0.007568211,0.055405572,-0.004544377,-0.02717705,-0.035674933,0.05902803,0.046130538,-0.003127194
ENSG00000131591.18,-0.0074036526,0.019175002,0.099721655,0.03327876,0.059105348,-0.063974775,-0.020795774,0.002674668,-0.069536544,-0.06653668,0.009802046,-0.01820734,0.03533383,-0.05839997,0.076698765,-0.04544429,0.055804342,-0.018816078,-0.04516297,-0.065135
ENSG00000169962.5,0.06375895,-0.1116486,0.01199749,0.040137194,0.09554957,0.018409703,0.0381947,0.007548567,-0.06426242,-0.1334153,-0.00044740035,0.08205821,-0.025509857,-0.12681365,0.04296556,-0.07028269,0.04271506,-0.09313454,-0.011900279,0.007992708
ENSG00000221978.12,0.0627981,0.06494809,-0.054161265,-0.074649744,0.07094829,0.04545653,-0.004699768,0.024566434,-0.12321833,-0.051532753,-0.076696455,0.0059816106,-0.0070874994,0.00047727095,-0.006152955,-0.07693704,-0.0787851,0.038220078,-0.027148074,0.053961944
ENSG00000224870.7,0.034832984,-0.072517395,-0.037074786,-0.0056604827,0.06970444,-0.07446835,-0.04653637,0.017722752,0.021227002,0.05273909,-0.084627114,-0.07157571,0.07438937,-0.034523156,-0.005709946,-0.026194695,-0.07583012,0.0052499175,-0.046008673,-0.07344431
ENSG00000130762.15,0.13471481,-0.012801591,-0.049970977,-0.011462747,0.050492633,0.020295288,0.010275308,0.085887395,0.012225117,0.057920054,0.042202815,0.059326075,0.12327175,0.012818764,-0.03325123,-0.102343984,-0.0038040276,0.034152906,0.021997117,-0.10926098
ENSG00000162591.16,-0.04511212,0.045562934,0.05677752,-0.004714519,0.022439826,-0.08823589,0.103980504,-0.022481993,-0.13021818,-0.087602384,0.04366665,0.055718355,-0.026593601,0.052624337,-0.07755616,0.0017596337,0.030729467,0.038536843,0.0052384515,-0.079581335
ENSG00000158109.15,0.03333678,-0.12391031,-0.03389192,0.009692742,-0.025087671,-0.058949117,-0.07788529,-0.01990687,0.0030857804,-0.08486636,-0.046562634,-0.09100525,0.11246249,0.012745153,-0.040253058,0.03010066,-0.111009076,-0.016466418,0.044530757,0.008838245
ENSG00000116213.16,0.055784315,-0.07637367,0.011867839,-0.0313971,0.08308073,0.050741456,0.090297244,-0.015780972,0.024270466,-0.06314844,-0.040937178,0.021498507,-0.021045217,-0.09991307,0.05759174,-0.116452664,0.028524473,0.07499929,-0.003854384,-0.014954982
ENSG00000130764.10,-0.028286953,-0.033142116,0.036799133,-0.06711924,0.06054697,-0.091573246,0.0684406,0.055330545,0.009046322,0.03840886,0.012484354,-0.05277715,-0.015065208,-0.051918413,0.0071341223,-0.07946463,-0.061773036,0.07062544,-0.05645374,0.021152303
ENSG00000116198.14,0.107977144,0.046976786,-0.010205303,-0.04037095,0.08952908,-0.09023093,0.012246652,-0.05144846,-0.036736917,-0.024069505,0.013482523,-0.018971592,-0.016884621,0.036945738,0.06127631,0.029365962,-0.06424498,0.05087987,0.021630464,-0.09012116
ENSG00000169598.17,-0.036729477,0.0016899101,0.04546414,-0.06636384,0.019621927,-0.0781808,0.047433376,0.08079686,-0.028753936,-0.05554865,0.033396173,-0.016615814,0.007118568,-0.06827501,-0.0034465091,0.028379835,-0.04714425,0.031075142,-0.018503606,0.046898488
ENSG00000131697.18,0.01923818,-0.06495046,0.079560146,-0.06477656,0.0608898,0.018712373,-0.04951822,-0.054491352,-0.092709474,-0.04889041,-0.05317779,0.034269225,0.011822886,-0.025552405,-0.07516163,0.03447184,-0.104024746,-0.05144515,-0.052982636,0.0084876325
ENSG00000158286.13,-0.0081382925,-0.0108424695,-0.021987867,-0.09032799,0.010921542,0.045436796,0.031246837,0.03203494,-0.1074693,-0.00838717,0.020368405,-0.02088165,-0.035126504,-0.10045238,0.06869391,-0.08532987,-0.056486618,-0.06188477,0.04534557,-0.024706915
ENSG00000158292.7,-0.030490672,-0.0533701,-0.010204116,-0.067774534,0.0004172806,-0.05968585,0.036786553,0.05864319,-0.06281816,-0.07510232,-0.04647476,0.010564984,0.0031083927,0.024810962,0.0072031305,0.03457383,0.03350887,0.0041253776,0.028318772,-0.027122721
ENSG00000069812.11,0.13461246,-0.008810683,0.021409785,-0.036356322,-0.03418783,0.047149926,0.026678124,-0.014033969,0.05386469,-0.098486,0.01595174,-0.004553414,0.098022826,0.041030433,-0.07045696,0.05589547,-0.095492885,0.026362708,0.15417342,-0.036483828
ENSG00000171680.23,0.045081902,-0.044403683,0.038996395,-0.025094327,-0.023136346,0.03738397,0.04937642,0.008055789,-0.07933872,0.032888398,-0.07822103,-0.048121188,-0.01786079,-0.04996983,0.04521892,-0.010104167,-0.0036157386,0.047407977,0.066981696,-0.050093096
ENSG00000162408.11,0.06171188,-0.023897886,0.088569485,-0.0075881975,0.05848781,0.07140092,0.0162203,-0.038816135,0.022115191,-0.12734285,-0.087901324,0.05361708,-0.032008246,0.06453527,-0.019474026,0.004721502,-0.11633141,-0.0846573,0.059093714,-0.07633572
ENSG00000204859.13,-0.036071472,-0.030499648,0.049238607,-0.05463362,0.076487415,0.02837538,-0.04107864,0.07237192,-0.07426457,0.018139632,-0.059651952,0.050265603,0.0564873,-0.013817916,0.01986201,0.0098357685,-0.06218813,-0.017383518,0.009850597,0.009111473
ENSG00000162413.16,-0.051666036,-0.028925907,0.08631721,-0.01978459,-0.031596795,0.02537001,-0.008703714,-0.008662683,-0.041030455,-0.06605727,-0.14988747,-0.01840849,0.113673836,0.037655354,0.06440268,-0.026760621,-0.09523057,-0.04137074,0.018028397,0.053972352
ENSG00000041988.15,0.13883801,-0.052134622,0.003022594,-0.06354159,-0.034391567,0.046448845,-0.07576364,-0.0005808525,-0.008039118,-0.069116995,0.01248043,0.02400179,0.11689743,-0.029225342,0.020820012,-0.013151708,-0.109914176,-0.09729215,0.022613505,-0.0066840765
ENSG00000116285.13,-0.08923655,0.06912486,0.13891532,0.05048254,0.08704719,-0.031909734,0.02923132,0.13690482,-0.09303924,-0.012838027,0.031824935,-0.034172233,-0.044917885,-0.14595632,0.027742116,0.07787379,0.056750454,0.007240214,-0.039169185,0.021435754
ENSG00000074800.16,-0.069617696,-0.0603831,-0.055163436,0.00782072,-0.04646988,0.002694556,-0.036381464,-0.09800211,0.16451395,0.043806236,0.12572233,0.04369473,0.017351842,-0.07495057,-0.034439027,-0.07750938,-0.11803285,-0.051497627,0.020305458,0.02176019
ENSG00000198793.13,-0.02626748,-0.09246435,-0.026559738,-0.1202532,-0.017502096,-0.11122087,-0.009655483,-0.034006305,0.024955362,-0.06631153,0.0237094,-0.03465338,0.09269109,-0.029412199,0.040598605,-0.0103473,-0.050381046,0.07576872,-0.0025738871,0.0029473437
ENSG00000120942.14,0.09607993,-0.04664751,0.08193301,-0.047252476,0.024623891,0.03295603,-0.02035503,0.008472217,-0.069167055,0.06623641,0.030028515,0.064641625,0.028258499,0.02001048,0.048811916,-0.020494696,-0.06484334,0.06644172,0.038470693,-0.013004874
