Z_0,gene,abs_loading,factor,Z_1,Z_2,Z_3,Z_4,Z_5,Z_6,Z_7,Z_8,Z_9,Z_10,Z_11,Z_12,Z_13,Z_14,Z_15,Z_16,Z_17,Z_18,Z_19
0.3376459,ENSG00000211677.2,0.3376459,Z_0,,,,,,,,,,,,,,,,,,,
-0.3168893,ENSG00000125740.14,0.3168893,Z_0,,,,,,,,,,,,,,,,,,,
0.3137096,ENSG00000122952.17,0.3137096,Z_0,,,,,,,,,,,,,,,,,,,
-0.30033293,ENSG00000135916.16,0.30033293,Z_0,,,,,,,,,,,,,,,,,,,
0.29060444,ENSG00000160551.12,0.29060444,Z_0,,,,,,,,,,,,,,,,,,,
0.2844784,ENSG00000211592.8,0.2844784,Z_0,,,,,,,,,,,,,,,,,,,
0.27573404,ENSG00000173110.8,0.27573404,Z_0,,,,,,,,,,,,,,,,,,,
-0.2728989,ENSG00000118971.9,0.2728989,Z_0,,,,,,,,,,,,,,,,,,,
0.25846392,ENSG00000144485.11,0.25846392,Z_0,,,,,,,,,,,,,,,,,,,
0.25549644,ENSG00000204642.14,0.25549644,Z_0,,,,,,,,,,,,,,,,,,,
0.25140277,ENSG00000163950.13,0.25140277,Z_0,,,,,,,,,,,,,,,,,,,
-0.24633501,ENSG00000165813.20,0.24633501,Z_0,,,,,,,,,,,,,,,,,,,
-0.24504161,ENSG00000137648.19,0.24504161,Z_0,,,,,,,,,,,,,,,,,,,
0.24352835,ENSG00000084073.10,0.24352835,Z_0,,,,,,,,,,,,,,,,,,,
0.2422797,ENSG00000125378.16,0.2422797,Z_0,,,,,,,,,,,,,,,,,,,
-0.24157336,ENSG00000122711.9,0.24157336,Z_0,,,,,,,,,,,,,,,,,,,
0.23397365,ENSG00000141736.14,0.23397365,Z_0,,,,,,,,,,,,,,,,,,,
-0.23212475,ENSG00000163586.10,0.23212475,Z_0,,,,,,,,,,,,,,,,,,,
-0.23117849,ENSG00000163694.15,0.23117849,Z_0,,,,,,,,,,,,,,,,,,,
0.226506,ENSG00000115414.21,0.226506,Z_0,,,,,,,,,,,,,,,,,,,
0.2240816,ENSG00000183844.17,0.2240816,Z_0,,,,,,,,,,,,,,,,,,,
-0.21912196,ENSG00000114354.15,0.21912196,Z_0,,,,,,,,,,,,,,,,,,,
-0.21416517,ENSG00000173334.4,0.21416517,Z_0,,,,,,,,,,,,,,,,,,,
-0.21220626,ENSG00000120756.13,0.21220626,Z_0,,,,,,,,,,,,,,,,,,,
-0.20728812,ENSG00000079459.13,0.20728812,Z_0,,,,,,,,,,,,,,,,,,,
-0.20585355,ENSG00000160180.17,0.20585355,Z_0,,,,,,,,,,,,,,,,,,,
-0.20578669,ENSG00000173702.7,0.20578669,Z_0,,,,,,,,,,,,,,,,,,,
0.20530295,ENSG00000076248.11,0.20530295,Z_0,,,,,,,,,,,,,,,,,,,
0.19967607,ENSG00000129538.14,0.19967607,Z_0,,,,,,,,,,,,,,,,,,,
-0.19693069,ENSG00000196352.16,0.19693069,Z_0,,,,,,,,,,,,,,,,,,,
0.1965104,ENSG00000156587.16,0.1965104,Z_0,,,,,,,,,,,,,,,,,,,
0.19612208,ENSG00000204389.10,0.19612208,Z_0,,,,,,,,,,,,,,,,,,,
-0.19493666,ENSG00000089472.17,0.19493666,Z_0,,,,,,,,,,,,,,,,,,,
0.19483946,ENSG00000166579.16,0.19483946,Z_0,,,,,,,,,,,,,,,,,,,
0.19220763,ENSG00000026103.22,0.19220763,Z_0,,,,,,,,,,,,,,,,,,,
0.19036406,ENSG00000211896.7,0.19036406,Z_0,,,,,,,,,,,,,,,,,,,
-0.19035764,ENSG00000176658.17,0.19035764,Z_0,,,,,,,,,,,,,,,,,,,
-0.19001165,ENSG00000204574.14,0.19001165,Z_0,,,,,,,,,,,,,,,,,,,
-0.18814933,ENSG00000112773.16,0.18814933,Z_0,,,,,,,,,,,,,,,,,,,
-0.18647607,ENSG00000136628.18,0.18647607,Z_0,,,,,,,,,,,,,,,,,,,
-0.18640089,ENSG00000104765.16,0.18640089,Z_0,,,,,,,,,,,,,,,,,,,
-0.18637227,ENSG00000135926.15,0.18637227,Z_0,,,,,,,,,,,,,,,,,,,
0.18425584,ENSG00000131746.13,0.18425584,Z_0,,,,,,,,,,,,,,,,,,,
0.18348823,ENSG00000006327.14,0.18348823,Z_0,,,,,,,,,,,,,,,,,,,
0.18321697,ENSG00000088992.18,0.18321697,Z_0,,,,,,,,,,,,,,,,,,,
0.18264663,ENSG00000184220.12,0.18264663,Z_0,,,,,,,,,,,,,,,,,,,
0.18262081,ENSG00000177984.7,0.18262081,Z_0,,,,,,,,,,,,,,,,,,,
0.18209104,ENSG00000198959.12,0.18209104,Z_0,,,,,,,,,,,,,,,,,,,
0.18204746,ENSG00000114115.10,0.18204746,Z_0,,,,,,,,,,,,,,,,,,,
-0.18194526,ENSG00000105559.12,0.18194526,Z_0,,,,,,,,,,,,,,,,,,,
,ENSG00000268621.6,0.38200882,Z_1,-0.38200882,,,,,,,,,,,,,,,,,,
,ENSG00000172016.16,0.33178237,Z_1,0.33178237,,,,,,,,,,,,,,,,,,
,ENSG00000171202.7,0.32119375,Z_1,-0.32119375,,,,,,,,,,,,,,,,,,
,ENSG00000124299.15,0.3094062,Z_1,0.3094062,,,,,,,,,,,,,,,,,,
,ENSG00000114315.4,0.27914366,Z_1,0.27914366,,,,,,,,,,,,,,,,,,
,ENSG00000111665.12,0.27523553,Z_1,-0.27523553,,,,,,,,,,,,,,,,,,
,ENSG00000129538.14,0.26789916,Z_1,-0.26789916,,,,,,,,,,,,,,,,,,
,ENSG00000167920.10,0.26758796,Z_1,-0.26758796,,,,,,,,,,,,,,,,,,
,ENSG00000006042.12,0.2658548,Z_1,-0.2658548,,,,,,,,,,,,,,,,,,
,ENSG00000104419.17,0.26333484,Z_1,0.26333484,,,,,,,,,,,,,,,,,,
,ENSG00000211677.2,0.25573102,Z_1,0.25573102,,,,,,,,,,,,,,,,,,
,ENSG00000166920.13,0.2532811,Z_1,-0.2532811,,,,,,,,,,,,,,,,,,
,ENSG00000135245.10,0.25037774,Z_1,-0.25037774,,,,,,,,,,,,,,,,,,
,ENSG00000128951.14,0.24907033,Z_1,-0.24907033,,,,,,,,,,,,,,,,,,
,ENSG00000124486.14,0.24694785,Z_1,-0.24694785,,,,,,,,,,,,,,,,,,
,ENSG00000171345.13,0.23644885,Z_1,0.23644885,,,,,,,,,,,,,,,,,,
,ENSG00000131746.13,0.23643713,Z_1,-0.23643713,,,,,,,,,,,,,,,,,,
,ENSG00000089685.15,0.23641108,Z_1,-0.23641108,,,,,,,,,,,,,,,,,,
,ENSG00000069482.7,0.23592302,Z_1,-0.23592302,,,,,,,,,,,,,,,,,,
,ENSG00000206828.1,0.2329713,Z_1,-0.2329713,,,,,,,,,,,,,,,,,,
,ENSG00000163950.13,0.22956719,Z_1,-0.22956719,,,,,,,,,,,,,,,,,,
,ENSG00000244509.4,0.22836648,Z_1,0.22836648,,,,,,,,,,,,,,,,,,
,ENSG00000177984.7,0.22773989,Z_1,0.22773989,,,,,,,,,,,,,,,,,,
,ENSG00000166165.13,0.22432002,Z_1,0.22432002,,,,,,,,,,,,,,,,,,
,ENSG00000114354.15,0.22397128,Z_1,0.22397128,,,,,,,,,,,,,,,,,,
,ENSG00000198467.16,0.22185792,Z_1,-0.22185792,,,,,,,,,,,,,,,,,,
,ENSG00000099901.17,0.22162762,Z_1,-0.22162762,,,,,,,,,,,,,,,,,,
,ENSG00000168955.4,0.22070833,Z_1,-0.22070833,,,,,,,,,,,,,,,,,,
,ENSG00000204642.14,0.2195323,Z_1,-0.2195323,,,,,,,,,,,,,,,,,,
,ENSG00000147889.18,0.21823943,Z_1,-0.21823943,,,,,,,,,,,,,,,,,,
,ENSG00000175063.17,0.21710208,Z_1,-0.21710208,,,,,,,,,,,,,,,,,,
,ENSG00000198786.2,0.21614401,Z_1,0.21614401,,,,,,,,,,,,,,,,,,
,ENSG00000188373.5,0.21578602,Z_1,0.21578602,,,,,,,,,,,,,,,,,,
,ENSG00000183844.17,0.21530828,Z_1,0.21530828,,,,,,,,,,,,,,,,,,
,ENSG00000204899.6,0.21214378,Z_1,-0.21214378,,,,,,,,,,,,,,,,,,
,ENSG00000141736.14,0.21184823,Z_1,-0.21184823,,,,,,,,,,,,,,,,,,
,ENSG00000160551.12,0.2112084,Z_1,-0.2112084,,,,,,,,,,,,,,,,,,
,ENSG00000102738.8,0.21086195,Z_1,-0.21086195,,,,,,,,,,,,,,,,,,
