,scVI_1,scVI_2,scVI_3,scVI_4,scVI_5,scVI_6,scVI_7,scVI_8,scVI_9,scVI_10,scVI_11,scVI_12,scVI_13,scVI_14,scVI_15,scVI_16,scVI_17,scVI_18,scVI_19,scVI_20
scTrioSeq2Rna_CRC11_LN1_361,0.08421087,-1.1868211,0.28805238,-0.05617796,-0.10313665,-0.4231495,0.05089259,0.19157441,1.9122196,0.32281697,-0.4509381,0.017423928,1.2109995,0.17572668,0.81042635,-0.37786925,0.42360863,-0.916495,0.9316256,-0.25078106
scTrioSeq2Rna_CRC11_PT4_716,0.39054966,2.03595,-0.3832507,1.1155272,1.9175078,-0.110200495,-1.351354,1.3232365,-0.69050515,3.3140504,-0.4346851,-2.201536,0.5540355,2.1507812,-1.3235855,0.49749845,-0.7452489,0.05255358,-0.2533362,2.7921124
scTrioSeq2Rna_CRC04_LN2_494,-0.2341361,-1.1209953,-0.20578945,-0.31622934,0.3063075,-0.5044496,0.4972015,0.24559033,0.50827163,-0.6809193,0.911682,0.9062204,0.90807897,0.60090494,0.56758606,0.44546056,0.48867896,0.43779165,0.53165096,0.5370792
scTrioSeq2Rna_CRC03_PT2_160,-1.8609648,-1.0020548,0.10227668,-1.0103015,0.85557485,-0.6584009,-1.3368257,1.1002339,2.2801805,1.3217711,-1.4818652,0.87311476,0.54726607,-1.938624,-1.2809159,1.1544147,-1.7285142,0.50445056,-1.1070932,-0.16120055
scTrioSeq2Rna_CRC03_PT1_116,0.6313629,-1.1915178,0.7299949,-0.5395696,-0.5140073,0.9136075,0.5737511,-2.0640693,-0.6379448,1.2606521,0.07537508,0.2906213,-2.0950797,0.87758666,-0.97809684,-0.13463601,-0.40587187,0.30116332,1.1103852,-1.4156415
scTrioSeq2Rna_CRC04_LN1_378,0.67020774,-0.46184587,-1.1985786,-0.41338232,0.96471906,0.44402826,1.0278296,-0.005415559,-0.74563015,-0.13709128,1.7241994,0.29709977,0.28252083,0.70932794,1.6026051,1.1992209,-1.4334371,0.113122255,0.0897603,0.1113766
scTrioSeq2Rna_CRC11_LN1_385,-0.48144084,0.5594311,0.13731283,1.8910474,1.4975702,-2.0418584,0.26568893,-2.2681758,-0.6577202,-2.0227413,-3.22161,-0.64370316,1.5413737,-0.18673271,2.1476524,0.9809144,0.16669261,1.0045646,-0.18391818,-0.5206142
scTrioSeq2Rna_CRC11_PT1_451,2.2822008,0.43965518,0.66247725,2.7000906,-1.5916754,-0.41926715,-0.6535479,0.7105549,-1.5406185,0.81949544,-0.67286706,-1.0616095,0.3238656,0.26793253,-1.455809,-1.5008147,0.18241572,0.6062388,1.5264025,1.4340391
scTrioSeq2Rna_CRC11_PT4_704,-0.76292145,1.3946633,0.9310527,0.59565437,-1.1142211,0.09197262,0.6046834,-1.8239146,0.12982473,2.213144,1.4427611,-0.0562945,0.22400326,-0.9125743,-0.5867268,-1.0799675,0.95342445,-0.6873535,1.6574037,1.8817323
scTrioSeq2Rna_CRC09_PT4_530,-0.9120416,-0.7717847,-0.20723164,0.7078859,-0.060462616,1.3776345,-0.4488485,0.37200212,0.30183443,-0.25876933,2.0422306,-0.9133937,-0.6426851,-0.32312065,0.45450795,-1.1962514,1.2909749,0.22086614,-0.4348179,-1.0053365
scTrioSeq2Rna_CRC11_PT4_744,0.98588955,0.13658261,0.14655066,0.26265818,-1.9779763,-0.58777034,-0.69675386,0.08338253,-0.045706093,-0.2235372,0.85685635,-0.95228165,2.040135,0.5471172,1.596679,0.003643155,-0.058425725,0.13440736,-0.3787964,0.24651285
scTrioSeq2Rna_CRC04_PT2_555,0.1844275,-1.0621094,0.25280976,0.6723442,-0.4895612,0.11932054,0.3415351,-0.45684496,0.062436327,-0.814881,1.3846718,0.22806492,0.3008163,-0.15223765,-0.36570358,0.380628,0.6339613,0.19649914,0.84248644,0.023061872
scTrioSeq2Rna_CRC11_PT3_776,-0.51727784,-1.2047104,0.89513254,0.007328488,-0.56121296,-0.36544243,0.08892274,-0.16295972,-0.04496199,1.3250191,0.29503942,0.16474825,1.74084,-0.67536366,1.1301813,0.11201088,0.0759514,0.85841054,1.0488104,-0.52209276
scTrioSeq2Rna_CRC11_PT4_725,1.662545,3.1863678,0.34358066,0.9399224,-1.7114277,1.622985,0.09273034,-0.045300364,-2.770901,1.6156752,1.7150838,-0.0534966,-1.1552415,-1.2163484,-1.1667284,1.0267336,-0.6787747,0.5841415,-0.033127487,-0.74980795
scTrioSeq2Rna_CRC03_PT2_148,-1.3523442,-0.30673873,0.8776709,-0.39453697,-0.6966742,-0.63585806,1.1701294,-1.213401,0.48836434,0.063942194,-1.4979124,0.26318035,-0.52629024,0.49772894,-1.4034708,2.1590612,-0.33108425,-0.69051427,-0.25687796,0.47770268
scTrioSeq2Rna_CRC09_PT4_550,-0.76416457,1.4150124,0.19085282,-1.2082291,1.0409316,0.75161755,-1.7832465,0.6857717,-2.5789022,2.0066674,0.13355505,-3.480683,-1.0012045,1.6052773,0.67766726,1.2627139,0.69151306,-0.67578304,0.17618492,-3.3038254
scTrioSeq2Rna_CRC06_PT4_303,-0.90944314,-1.0665635,-2.0669262,1.7544378,0.22663172,-0.96958137,-0.6101316,-0.6578039,-0.2336941,-0.13555801,-1.50071,-0.43982798,0.31179583,0.93613744,-0.69927883,-1.8542211,1.5199237,0.59184235,-0.1391018,-1.5199126
scTrioSeq2Rna_CRC10_LN1_046,-1.0850735,-0.23699772,-0.4113158,-1.9722385,-0.44034964,0.28201497,0.7204951,-0.6172962,-0.5842471,-1.86331,-0.015794277,0.18356985,-0.31678456,-0.2882048,0.07754922,-1.8317385,-1.0413462,-0.7031523,0.74632967,0.30517212
scTrioSeq2Rna_CRC09_PT1_260,-0.44573402,-1.1181749,0.9029543,-0.16870189,-0.8508646,-0.7225008,-0.48105705,-0.7304754,-0.41079888,-0.6715257,0.11812925,-0.6530271,1.0846562,0.35770407,-0.31051296,-0.20568961,1.5625024,-0.1593251,-1.1683688,0.25519246
scTrioSeq2Rna_CRC11_PT1_428,-0.7691977,0.117872,-0.065727234,0.9718563,-0.13003963,-0.5205895,-0.51095915,-0.13486028,-0.32738635,-0.26125318,0.34816426,0.57481295,1.8748051,-0.16808128,1.1961365,-0.20455289,0.76158464,0.27278772,-0.0033741593,0.29157963
scTrioSeq2Rna_CRC10_LN1_006,0.13410759,0.030140996,-0.93334246,-1.1226904,0.5497812,1.8647888,0.44634897,0.093908995,-0.13690948,-0.8052505,0.8803636,0.18731838,-0.15017074,-0.61784303,0.34343946,-0.33473474,-0.8035562,-0.4486767,0.48797143,2.2234297
