Z_11,gene,abs_loading,factor
-0.4110667,ENSG00000145287.11,0.4110667,Z_11
-0.36521655,ENSG00000204389.10,0.36521655,Z_11
-0.34351686,ENSG00000124102.5,0.34351686,Z_11
-0.3402635,ENSG00000185950.9,0.3402635,Z_11
-0.3103508,ENSG00000172831.14,0.3103508,Z_11
-0.30334872,ENSG00000079385.23,0.30334872,Z_11
-0.29074875,ENSG00000196950.14,0.29074875,Z_11
-0.28440973,ENSG00000078401.7,0.28440973,Z_11
-0.28204155,ENSG00000111725.11,0.28204155,Z_11
-0.2812553,ENSG00000181392.17,0.2812553,Z_11
-0.27586263,ENSG00000198142.5,0.27586263,Z_11
-0.2720305,ENSG00000285219.2,0.2720305,Z_11
-0.27014807,ENSG00000125740.14,0.27014807,Z_11
-0.26454407,ENSG00000118507.18,0.26454407,Z_11
-0.2639157,ENSG00000169248.13,0.2639157,Z_11
-0.2591963,ENSG00000104419.17,0.2591963,Z_11
-0.2525276,ENSG00000102780.17,0.2525276,Z_11
-0.24162237,ENSG00000023909.10,0.24162237,Z_11
-0.23934911,ENSG00000167600.14,0.23934911,Z_11
-0.23076627,ENSG00000164120.14,0.23076627,Z_11
-0.22490735,ENSG00000089327.15,0.22490735,Z_11
-0.22397467,ENSG00000135926.15,0.22397467,Z_11
-0.22200404,ENSG00000211892.4,0.22200404,Z_11
-0.21776147,ENSG00000067082.15,0.21776147,Z_11
-0.21672659,ENSG00000124486.14,0.21672659,Z_11
-0.2156924,ENSG00000182747.5,0.2156924,Z_11
-0.21382073,ENSG00000118322.14,0.21382073,Z_11
-0.20991749,ENSG00000184012.14,0.20991749,Z_11
-0.20862833,ENSG00000204287.14,0.20862833,Z_11
-0.20700638,ENSG00000177189.14,0.20700638,Z_11
-0.20595543,ENSG00000105559.12,0.20595543,Z_11
-0.20043643,ENSG00000164266.11,0.20043643,Z_11
-0.19797204,ENSG00000021355.13,0.19797204,Z_11
-0.19481939,ENSG00000166619.15,0.19481939,Z_11
-0.19400603,ENSG00000154380.17,0.19400603,Z_11
-0.19354093,ENSG00000157399.17,0.19354093,Z_11
-0.19161426,ENSG00000124107.5,0.19161426,Z_11
-0.18951298,ENSG00000133606.11,0.18951298,Z_11
-0.18917783,ENSG00000167797.8,0.18917783,Z_11
-0.18818325,ENSG00000165474.8,0.18818325,Z_11
-0.1881376,ENSG00000138032.21,0.1881376,Z_11
-0.18804769,ENSG00000126003.7,0.18804769,Z_11
-0.18758133,ENSG00000239839.7,0.18758133,Z_11
-0.1863598,ENSG00000174109.5,0.1863598,Z_11
-0.1857866,ENSG00000151715.8,0.1857866,Z_11
-0.18531136,ENSG00000141574.8,0.18531136,Z_11
-0.18513551,ENSG00000141429.14,0.18513551,Z_11
-0.1846995,ENSG00000168374.11,0.1846995,Z_11
-0.18287301,ENSG00000157110.16,0.18287301,Z_11
-0.1824784,ENSG00000083857.14,0.1824784,Z_11
