Z_18,gene,abs_loading,factor
0.5547128,ENSG00000164822.5,0.5547128,Z_18
0.42736188,ENSG00000181392.17,0.42736188,Z_18
0.3437074,ENSG00000196126.11,0.3437074,Z_18
0.32786414,ENSG00000245532.9,0.32786414,Z_18
0.31568852,ENSG00000285219.2,0.31568852,Z_18
0.30757332,ENSG00000141574.8,0.30757332,Z_18
0.28854874,ENSG00000162896.6,0.28854874,Z_18
0.27409223,ENSG00000174992.8,0.27409223,Z_18
0.27028215,ENSG00000154380.17,0.27028215,Z_18
0.2636011,ENSG00000006282.21,0.2636011,Z_18
0.2571741,ENSG00000164816.8,0.2571741,Z_18
0.25509852,ENSG00000150687.12,0.25509852,Z_18
0.23775105,ENSG00000134827.8,0.23775105,Z_18
0.23697028,ENSG00000088992.18,0.23697028,Z_18
0.23548009,ENSG00000196187.12,0.23548009,Z_18
0.23440279,ENSG00000150782.12,0.23440279,Z_18
0.23118305,ENSG00000080608.10,0.23118305,Z_18
0.22971399,ENSG00000145632.15,0.22971399,Z_18
0.22923659,ENSG00000135968.21,0.22923659,Z_18
0.22624063,ENSG00000107669.18,0.22624063,Z_18
0.22493324,ENSG00000100453.13,0.22493324,Z_18
0.22250444,ENSG00000163975.12,0.22250444,Z_18
0.22057122,ENSG00000182240.16,0.22057122,Z_18
0.21854545,ENSG00000133193.12,0.21854545,Z_18
0.21787919,ENSG00000120137.7,0.21787919,Z_18
0.216202,ENSG00000198695.2,0.216202,Z_18
0.2158293,ENSG00000197930.13,0.2158293,Z_18
0.21554416,ENSG00000173432.12,0.21554416,Z_18
0.21416242,ENSG00000170946.15,0.21416242,Z_18
0.21091062,ENSG00000169908.12,0.21091062,Z_18
0.20733933,ENSG00000157637.13,0.20733933,Z_18
0.20457427,ENSG00000101935.11,0.20457427,Z_18
0.20396002,ENSG00000172667.11,0.20396002,Z_18
0.20087369,ENSG00000198876.13,0.20087369,Z_18
0.20064636,ENSG00000287331.1,0.20064636,Z_18
0.2003097,ENSG00000185269.12,0.2003097,Z_18
0.19892982,ENSG00000013810.21,0.19892982,Z_18
0.19752793,ENSG00000134757.5,0.19752793,Z_18
0.1958722,ENSG00000239839.7,0.1958722,Z_18
0.1945809,ENSG00000204397.9,0.1945809,Z_18
0.19222157,ENSG00000241224.8,0.19222157,Z_18
0.1920348,ENSG00000158417.11,0.1920348,Z_18
0.19185397,ENSG00000065150.21,0.19185397,Z_18
0.1917956,ENSG00000102780.17,0.1917956,Z_18
0.18879436,ENSG00000130529.16,0.18879436,Z_18
0.18859789,ENSG00000118507.18,0.18859789,Z_18
0.187907,ENSG00000182580.3,0.187907,Z_18
0.18517181,ENSG00000242247.11,0.18517181,Z_18
0.184978,ENSG00000140450.9,0.184978,Z_18
0.18490754,ENSG00000136986.10,0.18490754,Z_18
