patient,region_long,LDVAE_1,LDVAE_2,LDVAE_3,LDVAE_4,LDVAE_5,LDVAE_6,LDVAE_7,LDVAE_8,LDVAE_9,LDVAE_10,LDVAE_11,LDVAE_12,LDVAE_13,LDVAE_14,LDVAE_15,LDVAE_16,LDVAE_17,LDVAE_18,LDVAE_19,LDVAE_20
CRC03,Metastasis Nodo Linfático,0.119555235,2.657505,2.3146412,-1.2749392,-2.3228707,1.3474687,-0.1684956,-0.3448226,1.1004896,0.6910177,2.1837459,-0.8311608,1.916936,-0.9088937,-1.4953189,1.0094436,0.58734584,0.20345195,0.3899927,1.8970735
CRC03,Tumor Primario,-0.2875619,2.3883157,2.6915429,0.90989447,-2.5063593,-1.0579455,0.77774864,1.2608131,0.6334254,-0.8341554,0.1880594,-0.2374843,2.7402585,-1.9226038,-0.20758665,-0.44908482,1.7243154,0.16210258,1.8589247,1.7339655
CRC04,Metastasis Nodo Linfático,-1.1795712,-1.231265,2.2074819,1.0313296,-0.78253025,-0.5415879,1.0620565,1.0655335,-1.1325935,-0.996246,0.39707667,-0.1664442,0.40210825,-0.4204389,2.1429348,-1.2612809,0.5435738,0.3218549,1.501266,0.7859726
CRC04,Tumor Primario,0.1885592,-0.98676914,1.1308998,1.0703355,-0.62061316,-0.3909972,0.24881043,0.6951968,-0.266296,-0.2529423,-0.114584394,0.44984195,0.58938575,-0.35566843,0.25278372,-0.32330972,0.44358146,-0.114091925,0.5018,0.1265252
CRC06,Metastasis Nodo Linfático,-0.23438057,-0.9892291,0.6236009,1.6196553,-0.1864043,-0.034760576,-0.13158922,1.3225006,-1.5530132,-1.1761,-0.61106414,0.6195826,0.064267926,-0.05130761,1.1723582,-0.44692606,0.757864,-0.021524658,0.6388936,1.0892667
CRC06,Tumor Primario,-1.4713199,-0.24030308,0.7752281,1.7133199,-0.61623627,-0.04425583,0.1202307,0.87487847,-1.0556628,-1.2035356,-0.4069111,-0.081576094,0.41659802,0.102056295,1.3317058,-0.2119569,0.5736731,0.12194084,1.1034807,1.8431646
CRC09,Metastasis Nodo Linfático,,,,,,,,,,,,,,,,,,,,
CRC09,Tumor Primario,-1.8999634,0.5612698,1.2507805,1.2960576,-1.8434638,-0.3463967,0.7298443,1.4188067,-1.0106158,-1.0442133,-0.8110457,-0.9137954,0.6486744,-0.026299382,1.265616,-0.51247346,1.378578,-0.16109432,0.9414205,1.3055456
CRC10,Metastasis Nodo Linfático,-2.6078715,0.37950552,0.87614954,-1.0187047,-2.9285593,0.22581564,-0.5576044,-0.11771478,-0.94136995,-1.7661052,-2.6761866,1.5134009,0.8264288,0.2966195,3.522003,-1.98275,0.9561037,-0.619614,1.9408354,-0.012748473
CRC10,Tumor Primario,-2.0936224,0.7296708,0.4955987,-1.03015,-2.285596,0.4532054,-0.71849924,-0.3080424,-0.24462424,-1.5045949,-2.3195498,1.5039448,1.0590855,0.105148315,3.3088093,-1.536279,0.82919466,-0.59321606,1.9622248,-0.18483691
CRC11,Metastasis Nodo Linfático,-0.038455818,0.07277357,1.343553,1.0942227,-0.55007386,-0.28839552,0.6525417,1.2917398,-0.022666385,-0.31971982,0.29964378,-0.47459835,0.88853884,-0.47132832,0.09763597,-0.10357815,0.75404704,0.11346973,0.6596448,0.765154
CRC11,Tumor Primario,-0.6378229,-0.5081973,1.2971582,1.2883866,-0.89264745,-0.74739444,0.6878744,1.6522907,-0.56894076,-0.50547117,-0.56233376,-0.22909944,0.47617012,-0.26871184,0.5411681,-0.50092953,1.044846,-0.10854386,0.80797213,0.6641016
