,LDVAE_1,LDVAE_2,LDVAE_3,LDVAE_4,LDVAE_5,LDVAE_6,LDVAE_7,LDVAE_8,LDVAE_9,LDVAE_10,LDVAE_11,LDVAE_12,LDVAE_13,LDVAE_14,LDVAE_15,LDVAE_16,LDVAE_17,LDVAE_18,LDVAE_19,LDVAE_20,region_long,patient
scTrioSeq2Rna_CRC11_LN1_361,1.7153165,-1.6866835,1.2545068,3.338197,0.8949025,-0.24031079,-0.17145598,2.3312674,0.19779849,-0.35245037,0.46028197,1.1539602,0.6525824,-1.9488864,-0.25274634,0.53766716,1.3203232,0.28274274,1.4852211,0.48078912,Metastasis Nodo Linfático,CRC11
scTrioSeq2Rna_CRC11_PT4_716,-1.5302445,2.1740592,2.6066434,-0.16864371,-1.9181488,0.6262321,0.8537103,0.17281532,1.8631294,0.999573,0.8793405,-2.9500117,1.3281838,0.87595034,1.2141275,-0.10291374,1.4504514,-0.31494236,0.8300818,0.3608814,Tumor Primario,CRC11
scTrioSeq2Rna_CRC04_LN2_494,-0.9895568,-2.0149143,1.850975,0.7868783,-0.05999899,-1.0791032,0.6844543,1.0348053,-1.2964649,-1.001103,0.6367327,0.34403998,-0.38208532,-0.35835075,1.729805,-1.4175887,0.39865458,-0.05344776,0.69873714,-0.14360493,Metastasis Nodo Linfático,CRC04
scTrioSeq2Rna_CRC03_PT2_160,2.4331207,1.0600085,1.4255576,0.80751115,-0.9247452,-1.0006076,-0.5434053,0.7149925,0.43733537,-0.08907652,0.78187996,0.91811115,2.2068844,-1.4882038,-1.8941325,-0.25545013,1.5053334,-0.13993703,-1.0980263,-0.5032334,Tumor Primario,CRC03
scTrioSeq2Rna_CRC03_PT1_116,0.93911016,4.037724,4.2524557,2.549882,-1.7528787,-1.4569545,1.6238481,2.8120646,2.342006,-1.2669021,2.909598,-0.35075343,4.2931128,-4.3261642,0.37661844,-0.06776577,3.1497443,0.6201559,3.6062894,3.1695342,Tumor Primario,CRC03
scTrioSeq2Rna_CRC04_LN1_378,-1.4227318,-0.87480146,1.7661204,-0.18708211,-1.3273699,0.8098314,0.7029582,0.09141362,-1.1685245,-0.32446074,1.0535555,-1.4137175,0.56149244,0.29859513,2.7637882,-0.686254,0.12945724,0.9887929,1.8928254,1.2036314,Metastasis Nodo Linfático,CRC04
scTrioSeq2Rna_CRC11_LN1_385,1.0991383,-1.63775,0.6766566,0.77992076,0.407332,-0.5101508,-0.5106443,1.5675206,-1.0045488,-0.23907518,-0.62375385,1.0781136,-0.42806596,-0.33885312,-0.028375983,-0.11173701,0.7509552,0.2725585,-0.2923758,-0.46240968,Metastasis Nodo Linfático,CRC11
scTrioSeq2Rna_CRC11_PT1_451,-1.245792,2.0265806,1.9268365,0.16419774,-2.1798754,-1.6201789,1.6485549,1.0879674,0.5408286,-1.014921,-0.31239182,-1.5610582,1.7464219,-0.5888095,1.1708603,-1.1542742,1.7944455,-0.3392037,1.0337373,0.70524675,Tumor Primario,CRC11
scTrioSeq2Rna_CRC11_PT4_704,-0.9623138,1.1506627,0.76084113,0.43664628,-1.5417769,-0.15884745,0.48027897,0.8457109,0.5518452,-0.18175769,-0.26650804,-0.5550786,0.5381018,0.0015697479,-0.23401994,0.03601253,0.81789386,-0.06313667,0.731475,1.1358163,Tumor Primario,CRC11
scTrioSeq2Rna_CRC09_PT4_530,-0.7140199,0.5164353,0.07063913,1.5290551,0.9608894,1.4906458,-0.84911025,1.243618,-0.17642462,-0.5872687,0.7619607,-0.32499015,-0.05608815,0.048266053,1.1622257,1.0527836,0.5454248,0.4270646,1.4228749,1.6574683,Tumor Primario,CRC09
