,Z_0,Z_1,Z_2,Z_3,Z_4,Z_5,Z_6,Z_7,Z_8,Z_9,Z_10,Z_11,Z_12,Z_13,Z_14,Z_15,Z_16,Z_17,Z_18,Z_19
ENSG00000187608.10,-0.08296629,-0.16625337,-0.04004147,0.15412997,-0.1522711,0.13215652,0.07520266,-0.050479744,0.050199267,-0.030460045,-0.06551029,-0.04910373,0.07668552,-0.05108129,-0.03530243,-0.13650413,-0.019783543,0.024653727,0.012846066,-0.0042926664
ENSG00000131591.18,0.05303604,0.018603694,0.09843609,-0.048953783,-0.0717173,-0.008910394,0.045274343,-0.020614913,-0.05848202,0.0031278902,-0.008826743,-0.057106983,-0.026835771,0.007918698,0.05450157,-0.093979076,0.098557875,-0.0054251244,0.086255185,0.04372653
ENSG00000169962.5,-0.058574636,0.045253713,-0.06182578,0.07629043,-0.041136917,0.016984008,-0.05881471,0.076314814,0.0013708309,-0.072443545,0.04079966,-0.013610036,0.031765413,-0.054348104,-0.0025860812,-0.07515211,0.10896946,-0.050602607,0.039543964,0.036120083
ENSG00000221978.12,0.03573657,0.054827414,0.054388266,-0.007225626,-0.008413137,0.024265874,0.035955966,0.05824949,-0.038757928,0.0033689153,-0.075107455,-0.036260072,0.06886456,0.008378548,0.10631807,-0.06406703,-0.03295689,0.0052194213,0.013801399,0.11973737
ENSG00000224870.7,-0.07615679,0.07261761,0.019907968,0.042449694,-0.013843856,-0.0073072454,-0.027551861,0.0015638915,-0.17306083,-0.21356596,0.010730074,0.12435879,-0.021312755,0.009102982,-0.053974386,0.04919678,-0.037732717,0.13042496,0.15959357,-0.024019526
ENSG00000130762.15,0.005057362,0.05697188,0.08265481,0.014968629,-0.06850002,-0.0894632,-0.049649294,0.13288131,-0.0629703,-0.11021384,0.044493977,0.053706285,0.045456316,0.041344143,-0.009804333,-0.04099359,-0.060875967,0.09228464,-0.027662827,0.07785408
ENSG00000162591.16,-0.052702475,-0.099016696,0.025013447,0.01590482,-0.10376543,0.050301734,0.1171284,0.013250678,-0.10076145,0.00071710674,0.072651416,-0.010390292,0.025194675,0.001059309,-0.0023794414,-0.013674391,0.00049796,0.042829443,0.10978661,0.0675394
ENSG00000158109.15,-0.08927695,-0.036177427,0.0034614652,0.026297234,-0.11115074,-0.08199346,0.048965663,0.0145768,-0.05600397,-0.07885612,0.008186326,-0.0040581934,-0.055421848,-0.0040224413,0.03516573,0.038327727,0.047994472,0.034534022,-0.030847775,0.05902576
ENSG00000116213.16,0.061683387,-0.05695991,-0.011449982,-0.04558624,-0.09965109,0.030267335,0.10963714,0.004524947,0.024704333,-0.008027903,-0.06767714,-0.013239459,-0.0058071357,-0.035120532,-0.0253482,-0.12265157,0.1329189,-0.0025299569,0.08440795,0.06605709
ENSG00000130764.10,-0.088540256,0.029218512,-0.046654247,0.11020928,-0.1006928,-0.06305233,-0.0646268,0.038804997,-0.10092416,0.00873841,0.026696922,-0.08065597,0.06973732,-0.12651828,0.023518102,-0.03424531,0.01877373,-0.06776322,-0.061695147,-0.05933309
