Z_0,gene,abs_loading,factor,Z_1,Z_2,Z_3,Z_4,Z_5,Z_6,Z_7,Z_8,Z_9,Z_10,Z_11,Z_12,Z_13,Z_14,Z_15,Z_16,Z_17,Z_18,Z_19
-0.3979357,ENSG00000148346.12,0.3979357,Z_0,,,,,,,,,,,,,,,,,,,
-0.3891348,ENSG00000160551.12,0.3891348,Z_0,,,,,,,,,,,,,,,,,,,
-0.33308157,ENSG00000091138.13,0.33308157,Z_0,,,,,,,,,,,,,,,,,,,
-0.33221138,ENSG00000086548.9,0.33221138,Z_0,,,,,,,,,,,,,,,,,,,
-0.30080897,ENSG00000115009.13,0.30080897,Z_0,,,,,,,,,,,,,,,,,,,
-0.29823864,ENSG00000137648.19,0.29823864,Z_0,,,,,,,,,,,,,,,,,,,
0.29150873,ENSG00000164611.13,0.29150873,Z_0,,,,,,,,,,,,,,,,,,,
-0.27021873,ENSG00000214078.13,0.27021873,Z_0,,,,,,,,,,,,,,,,,,,
-0.26599598,ENSG00000131504.17,0.26599598,Z_0,,,,,,,,,,,,,,,,,,,
0.265364,ENSG00000129195.16,0.265364,Z_0,,,,,,,,,,,,,,,,,,,
-0.26363096,ENSG00000162981.14,0.26363096,Z_0,,,,,,,,,,,,,,,,,,,
0.2600353,ENSG00000117318.9,0.2600353,Z_0,,,,,,,,,,,,,,,,,,,
-0.25492764,ENSG00000198959.12,0.25492764,Z_0,,,,,,,,,,,,,,,,,,,
0.25473177,ENSG00000159182.5,0.25473177,Z_0,,,,,,,,,,,,,,,,,,,
0.24878208,ENSG00000120708.17,0.24878208,Z_0,,,,,,,,,,,,,,,,,,,
0.24871373,ENSG00000117448.14,0.24871373,Z_0,,,,,,,,,,,,,,,,,,,
-0.24827254,ENSG00000118322.14,0.24827254,Z_0,,,,,,,,,,,,,,,,,,,
0.24811392,ENSG00000100453.13,0.24811392,Z_0,,,,,,,,,,,,,,,,,,,
0.2475642,ENSG00000105559.12,0.2475642,Z_0,,,,,,,,,,,,,,,,,,,
-0.24714087,ENSG00000044115.21,0.24714087,Z_0,,,,,,,,,,,,,,,,,,,
-0.24688129,ENSG00000168679.18,0.24688129,Z_0,,,,,,,,,,,,,,,,,,,
-0.24570073,ENSG00000167920.10,0.24570073,Z_0,,,,,,,,,,,,,,,,,,,
-0.24486479,ENSG00000250786.2,0.24486479,Z_0,,,,,,,,,,,,,,,,,,,
0.24478732,ENSG00000132780.17,0.24478732,Z_0,,,,,,,,,,,,,,,,,,,
0.24280527,ENSG00000168003.18,0.24280527,Z_0,,,,,,,,,,,,,,,,,,,
-0.24201792,ENSG00000260239.2,0.24201792,Z_0,,,,,,,,,,,,,,,,,,,
0.23795411,ENSG00000019582.16,0.23795411,Z_0,,,,,,,,,,,,,,,,,,,
-0.23643726,ENSG00000133606.11,0.23643726,Z_0,,,,,,,,,,,,,,,,,,,
0.23520449,ENSG00000100526.20,0.23520449,Z_0,,,,,,,,,,,,,,,,,,,
0.23285022,ENSG00000142856.17,0.23285022,Z_0,,,,,,,,,,,,,,,,,,,
0.23192352,ENSG00000137807.16,0.23192352,Z_0,,,,,,,,,,,,,,,,,,,
-0.23136625,ENSG00000164822.5,0.23136625,Z_0,,,,,,,,,,,,,,,,,,,
0.23108554,ENSG00000174695.10,0.23108554,Z_0,,,,,,,,,,,,,,,,,,,
-0.22956187,ENSG00000148450.13,0.22956187,Z_0,,,,,,,,,,,,,,,,,,,
-0.22871824,ENSG00000172831.14,0.22871824,Z_0,,,,,,,,,,,,,,,,,,,
-0.2264451,ENSG00000100994.12,0.2264451,Z_0,,,,,,,,,,,,,,,,,,,
-0.22533552,ENSG00000150782.12,0.22533552,Z_0,,,,,,,,,,,,,,,,,,,
0.22529885,ENSG00000106211.10,0.22529885,Z_0,,,,,,,,,,,,,,,,,,,
0.22429875,ENSG00000085231.14,0.22429875,Z_0,,,,,,,,,,,,,,,,,,,
-0.22312453,ENSG00000097033.14,0.22312453,Z_0,,,,,,,,,,,,,,,,,,,
-0.22294718,ENSG00000164120.14,0.22294718,Z_0,,,,,,,,,,,,,,,,,,,
0.22284797,ENSG00000114115.10,0.22284797,Z_0,,,,,,,,,,,,,,,,,,,
-0.22277847,ENSG00000125740.14,0.22277847,Z_0,,,,,,,,,,,,,,,,,,,
-0.22243169,ENSG00000084234.18,0.22243169,Z_0,,,,,,,,,,,,,,,,,,,
-0.22120865,ENSG00000124762.14,0.22120865,Z_0,,,,,,,,,,,,,,,,,,,
-0.22070704,ENSG00000030582.18,0.22070704,Z_0,,,,,,,,,,,,,,,,,,,
0.21952,ENSG00000143228.13,0.21952,Z_0,,,,,,,,,,,,,,,,,,,
-0.21894774,ENSG00000145384.4,0.21894774,Z_0,,,,,,,,,,,,,,,,,,,
0.21855085,ENSG00000178999.13,0.21855085,Z_0,,,,,,,,,,,,,,,,,,,
-0.21837783,ENSG00000146676.10,0.21837783,Z_0,,,,,,,,,,,,,,,,,,,
,ENSG00000019582.16,0.5339386,Z_1,-0.5339386,,,,,,,,,,,,,,,,,,
,ENSG00000169248.13,0.5043487,Z_1,-0.5043487,,,,,,,,,,,,,,,,,,
,ENSG00000137673.9,0.47562853,Z_1,-0.47562853,,,,,,,,,,,,,,,,,,
,ENSG00000196126.11,0.4676202,Z_1,-0.4676202,,,,,,,,,,,,,,,,,,
,ENSG00000183844.17,0.43176374,Z_1,-0.43176374,,,,,,,,,,,,,,,,,,
,ENSG00000198142.5,0.37379727,Z_1,0.37379727,,,,,,,,,,,,,,,,,,
,ENSG00000174992.8,0.33319244,Z_1,-0.33319244,,,,,,,,,,,,,,,,,,
,ENSG00000164266.11,0.33193022,Z_1,0.33193022,,,,,,,,,,,,,,,,,,
,ENSG00000135968.21,0.32327825,Z_1,0.32327825,,,,,,,,,,,,,,,,,,
,ENSG00000116285.13,0.31411394,Z_1,0.31411394,,,,,,,,,,,,,,,,,,
,ENSG00000285219.2,0.31326312,Z_1,-0.31326312,,,,,,,,,,,,,,,,,,
,ENSG00000176485.13,0.31162116,Z_1,-0.31162116,,,,,,,,,,,,,,,,,,
,ENSG00000168003.18,0.31099978,Z_1,-0.31099978,,,,,,,,,,,,,,,,,,
,ENSG00000161981.11,0.30172423,Z_1,-0.30172423,,,,,,,,,,,,,,,,,,
,ENSG00000205277.10,0.3007069,Z_1,-0.3007069,,,,,,,,,,,,,,,,,,
,ENSG00000129824.16,0.30034783,Z_1,0.30034783,,,,,,,,,,,,,,,,,,
,ENSG00000122952.17,0.2992418,Z_1,-0.2992418,,,,,,,,,,,,,,,,,,
,ENSG00000188959.10,0.29878733,Z_1,-0.29878733,,,,,,,,,,,,,,,,,,
,ENSG00000198959.12,0.29687306,Z_1,-0.29687306,,,,,,,,,,,,,,,,,,
