,scVI_1,scVI_2,scVI_3,scVI_4,scVI_5,scVI_6,scVI_7,scVI_8,scVI_9,scVI_10,scVI_11,scVI_12,scVI_13,scVI_14,scVI_15,scVI_16,scVI_17,scVI_18,scVI_19,scVI_20
scTrioSeq2Rna_CRC11_LN1_361,-0.09268013,0.2505267,-1.3595155,-0.1837931,0.077201486,1.4179099,-0.17420252,0.04629612,0.4218269,-0.46541923,0.4945051,0.82418406,0.10634853,0.021583512,0.28026837,-1.1290579,0.3503462,-0.5060978,0.6511303,-0.048641533
scTrioSeq2Rna_CRC11_PT4_716,-1.0171355,-0.19858515,-0.7846383,-0.10895589,-0.9728404,-4.151392,-2.6905832,-0.5514554,0.19757664,2.2452729,-1.896203,2.369999,0.02617532,-1.2477942,-1.2861261,-0.06038916,-0.5659205,0.4791595,-0.40073588,-0.0131574925
scTrioSeq2Rna_CRC04_LN2_494,-0.23438735,0.21970657,-0.6316163,-0.069212705,0.42628795,0.7815736,0.1498963,0.7499864,0.53547895,-0.17342883,0.7334864,0.68039846,-0.46689516,0.66586524,0.035814703,-0.31533244,0.8490633,0.07533735,0.12827381,-0.03095428
scTrioSeq2Rna_CRC03_PT2_160,0.7881079,-1.7781061,0.34219685,0.14657873,-1.7919381,1.082892,-1.5411528,0.9002079,-1.1903892,-0.82559234,-0.8405299,0.8635309,-0.30430245,-0.6599455,-0.5411902,-2.1265059,0.012545966,-0.46179977,1.3083823,-0.010963922
scTrioSeq2Rna_CRC03_PT1_116,0.833318,-1.4570391,2.057366,0.91867423,0.5946145,1.1183718,0.649145,-1.7304804,1.5781286,-0.15843654,-0.042690635,-0.10698432,0.70985544,0.86669147,0.36708027,0.2910279,-1.2554533,0.794106,-0.4705678,0.14588603
scTrioSeq2Rna_CRC04_LN1_378,-0.8138993,0.24890664,1.1104242,-0.44999242,0.42535633,-1.4747479,0.30827335,0.46554798,0.9781485,0.22519538,0.079277396,0.8650732,-0.4527672,1.6342678,-1.0482942,0.79453754,0.3162855,1.4813782,0.2362815,-1.0397091
scTrioSeq2Rna_CRC11_LN1_385,-0.34476197,1.2376214,0.081029326,2.698604,1.4764341,-0.40200198,0.30007794,0.4947915,1.3509207,-2.0419781,-0.3902539,-1.1945727,-0.36664212,-2.0204005,0.8537341,-0.049477935,-0.5799035,1.5374182,0.07515985,-0.8458484
scTrioSeq2Rna_CRC11_PT1_451,0.09429008,0.55005264,0.70474577,0.09410674,-0.92768025,-0.9718838,-1.2947749,-1.5374899,-0.6156862,0.6726582,0.9324488,-1.4041094,1.3817786,-0.7113968,0.06319928,0.18964463,-1.1111513,3.585919,-0.07782024,0.30707505
scTrioSeq2Rna_CRC11_PT4_704,-0.20179887,-0.94904935,-0.7479226,-0.16646606,0.34407693,0.7642164,-0.6048043,-0.23840725,0.9127829,1.2012776,0.66439503,0.013587624,0.2984416,-1.8230183,-1.0872865,1.6011877,-0.11127285,-2.0458298,0.8175634,1.2185298
scTrioSeq2Rna_CRC09_PT4_530,-0.07646036,0.5123677,1.2037493,0.9462827,1.126238,-0.708799,-0.73398197,-0.01505053,0.9572497,0.6445418,1.0769931,-0.11651926,-0.002071768,-0.40748417,0.7392649,-0.7535775,0.95588326,0.2686914,-0.17222193,-0.19283675
scTrioSeq2Rna_CRC11_PT4_744,0.90935874,-0.12468669,0.0011718422,0.38290194,0.72885334,0.0021148324,-0.702024,-0.52781475,0.025228798,0.012299895,2.1473258,2.094996,-0.88125014,-0.33633876,1.4122968,0.7408714,1.2230512,0.27372965,0.6981085,0.98743385
scTrioSeq2Rna_CRC04_PT2_555,-0.3701563,-0.21817034,0.20801602,0.31254542,0.8343477,0.5176357,-0.4082081,0.16278958,0.92494667,0.12794843,1.1900789,-0.4806319,0.28535983,-0.270494,-0.5245261,-1.0230621,-0.5116187,-0.11146775,-0.076287895,0.49612352
scTrioSeq2Rna_CRC11_PT3_776,0.3030541,0.01832375,0.10460557,0.3564093,1.1632274,1.1256485,-0.5112756,0.32533705,-0.22431445,-0.57408136,-0.2426281,-0.17047065,-1.5083461,0.72715205,0.0873639,0.36953664,1.7502985,-0.26938072,1.0703056,-0.09096461
scTrioSeq2Rna_CRC11_PT4_725,-0.7160982,-0.5601159,1.2605606,-0.9432518,1.2153138,0.15383023,1.1007996,-1.399848,0.36493373,1.8530397,0.47133678,-1.8810093,-0.3207183,-0.81951725,-2.2320187,0.65040815,0.1648941,2.0733194,-0.8440459,-0.23673485
scTrioSeq2Rna_CRC03_PT2_148,-0.3403663,-0.7775359,0.014768362,-0.14865547,-0.2549477,0.42076087,-0.6735418,1.764119,-1.5942807,-0.6713287,0.078689694,0.9242557,-0.2952612,-1.06224,-0.6107975,0.82161033,-1.6617737,-0.9944211,0.34475514,0.23290466
scTrioSeq2Rna_CRC09_PT4_550,0.9988713,-2.1342962,0.67733103,1.1057255,-0.22858992,-0.4618392,-1.1602106,-1.3645675,-0.82547075,-0.6999641,-0.15013897,-1.1236353,0.15094754,2.0755253,-0.35659373,3.2087662,2.6138504,0.19556007,0.4965112,-0.1649035
scTrioSeq2Rna_CRC06_PT4_303,-0.19643062,0.8503933,-0.76219857,0.2836752,0.6175454,1.4856894,-0.7085411,-0.70138836,-0.75892574,-0.5971616,2.3061936,-2.0417457,-0.37104636,0.3394575,1.6521535,0.26158506,-0.74871415,0.26579085,-0.09356478,0.16426207
scTrioSeq2Rna_CRC10_LN1_046,1.8478703,0.4923931,0.5741032,0.238745,-0.09499523,0.6691327,0.9354986,1.2555658,0.79776883,1.1604087,-0.73458195,0.67237914,1.1423086,0.13988657,0.3163281,0.8068061,0.11994051,-0.1887854,0.39689764,-0.35872984
