Z_19,gene,abs_loading,factor
-0.35848063,ENSG00000198786.2,0.35848063,Z_19
-0.32043082,ENSG00000165280.18,0.32043082,Z_19
-0.29317597,ENSG00000173467.9,0.29317597,Z_19
-0.29073676,ENSG00000172172.8,0.29073676,Z_19
-0.24112071,ENSG00000185201.17,0.24112071,Z_19
-0.23350808,ENSG00000164934.14,0.23350808,Z_19
-0.23339361,ENSG00000165949.12,0.23339361,Z_19
-0.22325155,ENSG00000019582.16,0.22325155,Z_19
-0.21831462,ENSG00000155090.15,0.21831462,Z_19
-0.21575713,ENSG00000141741.12,0.21575713,Z_19
-0.21222095,ENSG00000120708.17,0.21222095,Z_19
-0.21117336,ENSG00000169908.12,0.21117336,Z_19
-0.20842297,ENSG00000121858.11,0.20842297,Z_19
-0.20130917,ENSG00000197019.5,0.20130917,Z_19
-0.19960648,ENSG00000117318.9,0.19960648,Z_19
-0.19850448,ENSG00000053747.17,0.19850448,Z_19
-0.1963036,ENSG00000187840.5,0.1963036,Z_19
-0.19322847,ENSG00000198788.9,0.19322847,Z_19
-0.19117999,ENSG00000158825.6,0.19117999,Z_19
-0.18942283,ENSG00000169223.15,0.18942283,Z_19
-0.18500355,ENSG00000137673.9,0.18500355,Z_19
-0.18216,ENSG00000148180.21,0.18216,Z_19
-0.17843354,ENSG00000250722.6,0.17843354,Z_19
-0.17030358,ENSG00000141753.7,0.17030358,Z_19
-0.1702777,ENSG00000173156.7,0.1702777,Z_19
-0.16778347,ENSG00000017797.13,0.16778347,Z_19
-0.16670991,ENSG00000134193.15,0.16670991,Z_19
-0.16552348,ENSG00000179674.4,0.16552348,Z_19
-0.16523485,ENSG00000072274.13,0.16523485,Z_19
-0.16471842,ENSG00000168209.6,0.16471842,Z_19
-0.1634614,ENSG00000147400.10,0.1634614,Z_19
-0.16339472,ENSG00000133872.14,0.16339472,Z_19
-0.16337226,ENSG00000117448.14,0.16337226,Z_19
-0.16246866,ENSG00000117472.10,0.16246866,Z_19
-0.16245644,ENSG00000187608.10,0.16245644,Z_19
-0.16070028,ENSG00000164266.11,0.16070028,Z_19
-0.16047545,ENSG00000287331.1,0.16047545,Z_19
-0.16038512,ENSG00000206503.13,0.16038512,Z_19
-0.15819119,ENSG00000140297.13,0.15819119,Z_19
-0.1577874,ENSG00000214160.10,0.1577874,Z_19
-0.1574193,ENSG00000158417.11,0.1574193,Z_19
-0.15676723,ENSG00000134057.15,0.15676723,Z_19
-0.1555946,ENSG00000197279.5,0.1555946,Z_19
-0.15462355,ENSG00000080824.19,0.15462355,Z_19
-0.15235393,ENSG00000119185.13,0.15235393,Z_19
-0.15215127,ENSG00000197457.10,0.15215127,Z_19
-0.15172112,ENSG00000065548.18,0.15172112,Z_19
-0.15110034,ENSG00000126709.16,0.15110034,Z_19
-0.15106276,ENSG00000180628.15,0.15106276,Z_19
-0.15040797,ENSG00000156804.7,0.15040797,Z_19
