patient,region_long,LDVAE_1,LDVAE_2,LDVAE_3,LDVAE_4,LDVAE_5,LDVAE_6,LDVAE_7,LDVAE_8,LDVAE_9,LDVAE_10,LDVAE_11,LDVAE_12,LDVAE_13,LDVAE_14,LDVAE_15,LDVAE_16,LDVAE_17,LDVAE_18,LDVAE_19,LDVAE_20
CRC03,Metastasis Nodo Linfático,0.55361503,2.5937896,0.9686486,0.29989356,-0.30646396,0.31398195,0.21380681,-0.49527663,-0.71788675,-2.2654297,2.8344662,0.90996313,-0.09332812,1.5338404,0.26335782,0.8874608,-0.518054,-3.7960358,1.5791707,-0.5534117
CRC03,Tumor Primario,-0.4703656,1.343238,1.981738,-0.822187,-1.3510271,0.14418213,-1.6457963,1.02263,1.0321606,-2.3377175,2.1804261,-0.10554056,1.0222108,2.480718,2.405288,0.3170659,-0.8334837,-2.9701812,0.4504776,0.19150545
CRC04,Metastasis Nodo Linfático,-0.6825862,-2.4074278,0.5020233,-0.07350309,0.31136808,-0.7439847,-0.965239,2.5270815,1.0852987,0.8370308,-1.1065619,-0.09403026,0.60345536,1.7260641,1.4172139,-0.76978433,-1.1107641,-0.014435689,-0.38287476,0.3826675
CRC04,Tumor Primario,0.22569741,-0.6186104,0.43860528,0.2133845,0.14611053,-0.042053305,-0.15253562,0.79737467,-0.14760943,-0.23781413,-0.89002264,-0.1974214,0.62176794,0.51433533,0.2632476,-0.39697632,-0.41671902,0.09067046,-0.33532852,0.38522428
CRC06,Metastasis Nodo Linfático,-0.6721241,-1.8365161,-0.3494662,0.25691152,-0.6990078,0.13031636,-0.104488775,0.6005221,0.24368505,-0.2960565,-0.62069345,-0.4090222,-0.023983143,0.4699541,0.26821157,0.12612355,-0.40586385,0.30606785,-1.788884,0.37186316
CRC06,Tumor Primario,-0.6265143,-1.9527956,0.027822075,-0.07504611,-1.4019369,-0.02866986,0.031911395,0.63093853,0.23448679,-0.79583687,0.2952379,0.13214746,-0.29569873,1.3017486,0.67270947,0.20818955,-1.4863906,0.059886977,-1.6203163,0.5032975
CRC09,Metastasis Nodo Linfático,,,,,,,,,,,,,,,,,,,,
CRC09,Tumor Primario,-0.22268747,-1.3578359,0.3211559,-1.5358514,-2.200043,-0.12917495,-0.0100843785,0.4745366,1.0283114,-1.1513162,1.0009109,0.9138548,0.15961958,1.478119,1.2931207,-0.5407458,-1.4759148,0.032780435,-0.5571892,0.9945416
CRC10,Metastasis Nodo Linfático,0.7053575,-1.3679769,-1.1493665,-1.993958,-0.29172957,-0.7778479,0.024528388,3.2615435,0.9856829,2.0315487,3.894442,-0.94845617,0.15504265,0.9986372,2.2570386,-2.648128,-1.1236688,0.8921796,2.1230383,0.30396324
CRC10,Tumor Primario,0.6430777,-0.9726204,-1.0092173,-1.9153498,0.010875801,-0.78889585,0.07287906,2.887173,0.66515017,1.8025593,4.1603913,-1.3133917,-0.21877667,0.76918924,2.3908482,-2.3779776,-1.0235765,0.9639766,2.174841,0.028735762
CRC11,Metastasis Nodo Linfático,-0.3041341,-0.021535387,0.49872157,-0.24505511,-0.59264445,0.19530417,-0.68918806,0.6592976,0.7710266,-0.51346105,-1.1149074,0.24717514,0.16580456,0.42284518,0.505638,-0.26143667,-0.068733126,-0.56284183,-0.218265,0.35149282
CRC11,Tumor Primario,-0.4015781,-0.8070512,0.44252774,-0.4332943,-1.0523555,0.08642915,-0.62866986,0.62920713,0.676862,-0.7191936,-0.6436082,0.4681829,0.593731,0.48771712,0.4619996,-0.72792566,-0.22890326,-0.56696546,-0.73263913,0.7644748
