,LDVAE_1,LDVAE_2,LDVAE_3,LDVAE_4,LDVAE_5,LDVAE_6,LDVAE_7,LDVAE_8,LDVAE_9,LDVAE_10,LDVAE_11,LDVAE_12,LDVAE_13,LDVAE_14,LDVAE_15,LDVAE_16,LDVAE_17,LDVAE_18,LDVAE_19,LDVAE_20,region_long,patient,batch
scTrioSeq2Rna_CRC11_LN1_361,0.0007067323,-0.54215324,1.295398,1.2291021,0.7241263,-0.064763606,-0.6403548,0.077984214,0.05208391,-0.644832,-1.3065922,-1.0574002,0.8943977,-0.16669393,-0.42393494,0.58166754,0.5613543,-0.52661955,-2.3554382,1.0207253,Metastasis Nodo Linfático,CRC11,SmartSeq2
scTrioSeq2Rna_CRC11_PT4_716,0.64197683,0.6984967,0.39777595,-2.267099,-1.4842762,-0.40310812,0.81983393,-1.6594481,0.12149376,0.26443028,0.1794613,3.1041882,-1.0129781,1.146385,1.071337,-1.4322906,-1.0610784,0.07262111,2.8238876,-0.17042917,Tumor Primario,CRC11,SmartSeq2
scTrioSeq2Rna_CRC04_LN2_494,-0.8983133,-2.0572484,0.31557232,0.82415533,0.9365557,-0.58389413,-0.9212858,2.0955162,0.73059124,0.46116835,-1.8381312,-0.86286324,1.0428314,1.1303878,0.5684609,-0.51175916,-0.46633053,0.003819108,-0.95502144,0.4791934,Metastasis Nodo Linfático,CRC04,SmartSeq2
scTrioSeq2Rna_CRC03_PT2_160,0.6156781,2.4951844,0.83633655,0.20750624,0.52627736,0.6334819,-0.4628684,-0.48720646,-1.0392314,-1.5221124,0.32112783,-0.8720469,1.2968962,1.1763203,0.6530841,1.0891597,1.2434579,-0.90775967,-0.17631698,-0.31913948,Tumor Primario,CRC03,SmartSeq2
scTrioSeq2Rna_CRC03_PT1_116,-1.6635104,1.8276134,4.595279,-0.62658894,-0.9724349,-0.3261739,-2.216373,0.23788726,1.8019891,-3.522741,2.9071374,-0.8168345,0.77174824,4.6174164,4.945992,2.7644563,-2.0944839,-4.955509,-0.16719294,0.25122088,Tumor Primario,CRC03,SmartSeq2
scTrioSeq2Rna_CRC04_LN1_378,-0.047643542,-2.5507126,-0.1659295,-0.29516363,0.933668,-1.3097689,-0.43856782,2.7750158,1.522759,2.581468,-1.4827166,0.73428357,-0.1142481,1.6234732,2.0004537,-1.2501802,-1.40948,0.38585317,0.6422565,-0.9511227,Metastasis Nodo Linfático,CRC04,SmartSeq2
scTrioSeq2Rna_CRC11_LN1_385,-0.14303821,0.038530767,-0.7037995,0.32013106,0.023962975,0.5213526,0.22127098,0.26583612,-0.051211655,-0.04905808,-1.4837255,-0.3869543,0.25373966,-0.9862109,-0.8322845,0.27843046,1.3003834,0.21650636,-0.6598566,0.23266572,Metastasis Nodo Linfático,CRC11,SmartSeq2
scTrioSeq2Rna_CRC11_PT1_451,-0.2055282,-0.4148314,1.4213104,-3.0475883,-1.6538805,-0.5739157,-1.2619503,0.9993855,1.5746727,-0.71149755,0.70165604,1.1765784,1.0959384,2.5132458,2.832062,-1.8270712,-1.6704298,-0.6606417,1.3849702,0.9855524,Tumor Primario,CRC11,SmartSeq2
scTrioSeq2Rna_CRC11_PT4_704,-0.40851736,0.059944272,0.57568806,-0.91625106,-1.1368085,0.30240408,-0.39966255,-0.23177415,0.55075115,-1.3744078,-0.039468884,1.5617337,-0.029034674,0.97777843,0.6075352,-0.30673742,-0.6303153,-1.2577307,-0.012646019,0.48764068,Tumor Primario,CRC11,SmartSeq2
scTrioSeq2Rna_CRC09_PT4_530,-0.40113425,-1.8528924,-0.29314882,0.6372872,-0.85918415,0.39605838,1.3121068,-0.7610235,0.3962199,-0.37478304,0.6220167,-0.45006728,-2.5094454,1.1174052,0.44707972,2.489146,-1.1257437,0.59806323,-1.742799,-0.81969464,Tumor Primario,CRC09,SmartSeq2
scTrioSeq2Rna_CRC11_PT4_744,-1.3425606,-0.2722684,0.232207,0.75315815,-0.17880368,0.37795508,-0.94159645,0.24726367,0.5742869,-1.0553243,-1.0499202,-0.5179914,0.5027831,-0.6189853,-0.342256,0.112862766,0.7729753,-0.14448571,-1.5410504,0.76106423,Tumor Primario,CRC11,SmartSeq2
scTrioSeq2Rna_CRC04_PT2_555,0.055737913,-0.09365338,0.9306627,-0.65173304,-0.49026203,-0.22001368,-0.11811012,0.24866033,0.08775717,-0.4689319,-0.020546556,0.90081215,0.28358024,0.9785197,0.7155251,-0.26020956,-0.8813275,-0.67035925,0.4412202,0.3614257,Tumor Primario,CRC04,SmartSeq2
