,Z_0,Z_1,Z_2,Z_3,Z_4,Z_5,Z_6,Z_7,Z_8,Z_9,Z_10,Z_11,Z_12,Z_13,Z_14,Z_15,Z_16,Z_17,Z_18,Z_19
ENSG00000187608.10,-0.2588364,-0.074080504,-0.17253023,0.17636266,0.059118353,-0.17878786,-0.23386881,-0.08093281,-0.046523545,-0.110293455,-0.10676333,0.050804574,0.18393764,-0.070619576,0.061269857,-0.23156835,-0.26607063,0.04435155,0.054005533,-0.16245644
ENSG00000131591.18,-0.037967555,0.0058542793,-0.015010063,-0.10878617,0.038043033,0.04643647,-0.043764926,-0.023657309,-0.01201393,-0.03629545,-0.0352122,0.06317617,0.049255565,0.114987575,-0.047360074,-0.0524134,-0.06586371,-0.019877747,-0.09442486,0.13557671
ENSG00000169962.5,0.059120454,-0.019736303,0.11931968,0.06259031,-0.11161972,-0.017694661,-0.07611346,0.10190971,0.120187886,0.028587183,-0.025909176,-0.07917198,-0.02435067,-0.013972371,0.009518079,-0.054675445,0.0139552085,0.03083578,-0.036732495,0.06737394
ENSG00000221978.12,0.032625854,-0.069365956,-0.038511686,-0.0752331,-0.028505884,0.08545036,0.009383844,0.017284611,-0.024724146,0.016133768,0.06904157,-0.10028301,0.038996436,0.044236932,0.036550235,-0.010522736,-0.10729727,0.031056752,-0.08606923,0.073668465
ENSG00000224870.7,-0.08251421,0.0061906655,0.07570792,-0.058491513,-0.05564681,0.014771724,0.015849857,0.029525418,0.05539597,0.017579347,0.028824206,-0.059714958,0.09049575,0.03458559,-0.00966004,-0.056591246,-0.08025903,0.029361952,0.002280879,-0.044797435
ENSG00000130762.15,-0.081497006,0.021638986,0.034790494,0.020649793,-0.025485883,0.051396877,-0.09036413,-0.0050317156,-0.03921464,-0.034396324,0.035817023,0.051977288,0.00048033663,0.047134418,0.09533586,-0.034766767,-0.102061555,-0.00057600584,0.029938847,0.019932691
ENSG00000162591.16,-0.024950115,-0.096152686,0.10866918,0.0069433553,-0.025972743,-0.05131885,-0.114274666,0.03327224,0.03537677,-0.08382625,0.013915707,-0.0230601,-0.067181244,-0.063582115,0.089676976,-0.018120766,0.019770935,0.046790186,0.014385095,0.07178582
ENSG00000158109.15,-0.09204939,0.0012292705,0.081686325,0.042886026,-0.12674028,-0.08550978,-0.024377158,-0.035398692,0.035814714,0.022527289,0.10815772,-0.08589887,0.03989581,-0.014438956,-0.033219535,-0.10506429,-0.03356907,0.005303932,0.025803356,0.022558874
ENSG00000116213.16,-0.03456665,0.027001116,0.10344367,0.011222144,-0.12034586,-0.099047944,-0.13662396,-0.029529164,-0.031858236,-0.09404034,-0.045082476,-9.40995e-06,0.0090506,-0.013156199,0.008935556,0.0111929905,-0.055881828,0.052841652,-0.039614547,0.043705177
ENSG00000130764.10,-0.03615714,-0.016107274,0.047147986,-0.01606826,-0.02057368,-0.05860889,0.0005210361,0.085029416,-0.011400114,-0.043424256,-0.072021306,-0.029555235,0.09675799,0.0069543826,0.094990775,0.047214665,-0.06964539,-0.0692315,0.062480345,0.032043308
ENSG00000116198.14,-0.05460791,-0.018462718,0.09052553,-0.026030838,-0.014140674,0.07080581,0.013292416,-0.001917056,-0.001879401,-0.04156244,0.110652514,-0.034560468,0.029145315,-0.005301468,0.05968117,-0.015850734,-0.06553614,-0.0336228,0.052573428,0.02908334
ENSG00000169598.17,-0.021956546,-0.029013418,0.04059839,-0.036964227,0.008650337,0.03211173,-0.12939236,0.021975722,-0.027201582,-0.10162729,0.022660974,0.034251306,0.136494,0.09382555,-0.0026950445,0.02471732,0.042369973,0.060418524,0.050095163,0.11517291
ENSG00000131697.18,-0.082072854,-0.0097200945,-0.049066514,-0.0930506,0.050233692,-0.084825166,0.046726733,-0.005963509,0.048549496,-0.11803192,-0.02963211,-0.0005976909,0.015507381,0.06449595,-0.019791482,-0.097066745,-0.04032649,-0.11633739,-0.05816379,0.011638395
ENSG00000158286.13,0.0011575102,-0.020550316,0.058700394,-0.120853,0.023103287,-0.038103238,0.016319947,0.033243366,-0.039667506,-0.033122458,0.06876074,0.08405301,0.031408887,0.09803228,-0.0020301044,0.008008172,-0.08184252,-0.04375578,-0.009066567,-0.04596807
ENSG00000158292.7,0.0018662725,-0.0425588,0.06423429,0.028063836,-0.08220044,-0.061827384,-0.013421732,0.06661439,-0.036639202,0.0059344806,0.010692695,0.0027075,0.031969786,0.075425625,0.048107825,0.0048169205,-0.07388515,-0.03297253,0.05730642,-0.012083613
ENSG00000069812.11,-0.008589817,-0.019949509,0.11098881,-0.0039746524,-0.036411144,-0.097033374,0.034874313,0.015688596,0.11358468,0.019497868,0.0013328472,-0.039609265,-0.017019093,0.11111452,-0.038678326,-0.03604842,-0.077969074,-0.009711825,0.03161358,-0.021331713
ENSG00000171680.23,0.008038131,-0.071803965,0.036830813,-0.0041992515,-0.03074496,0.007563806,0.016776472,0.09584659,-0.056669846,-0.002717905,0.043317378,0.08082745,0.020948717,0.016799426,0.062037565,-0.0592175,-0.0428616,-0.05763839,-0.058085747,0.0128983315
ENSG00000162408.11,-0.073978685,0.03370024,0.09686147,-0.11266422,-0.029253047,-0.10508257,-0.12387347,-0.010375655,0.084666684,-0.019495897,-0.037374772,-0.055717196,0.014984495,0.0385387,-0.01754623,0.0332196,0.03646414,0.060344644,0.019839427,0.10714202
ENSG00000204859.13,-0.05337687,-0.041216128,-0.0031635817,-0.04866776,-0.0738111,-0.0409157,-0.07478529,-0.042950474,-0.042594388,-0.09260439,0.04462421,0.01497424,0.028549766,0.048499808,0.081146404,-0.010106489,-0.0050317054,0.017681094,-0.003075714,-0.008835456
ENSG00000162413.16,0.035564773,-0.09051114,0.039053414,-0.08357037,-0.09828928,0.05907376,-0.08933203,0.04790521,-0.020387052,0.049435966,-0.032366667,-0.02563226,0.031965107,-0.04251588,0.053301547,-0.016774168,-0.082683735,0.037645124,-0.07877987,0.0065007824
ENSG00000041988.15,-0.0044909967,-0.04365742,0.09686093,-0.09883032,-0.045575634,-0.024549287,-0.06650919,0.00879873,0.10617011,-0.07564245,0.0034028303,0.071548104,0.014205896,-0.009638323,-0.014683837,0.058697466,0.007598621,0.070677176,0.007163554,0.086035565
ENSG00000116285.13,-0.07795576,0.0076366905,0.09124921,-0.10000733,-0.08702337,-0.13028504,0.0093080485,-0.20713606,0.13983966,-0.051487453,0.173798,-0.047678523,0.19436698,0.0062571354,-0.12785092,0.116009496,0.1596984,-0.13277565,0.24207594,0.06294734
ENSG00000074800.16,-0.06786935,0.11161224,-0.06304901,-0.048247445,-0.025361605,0.013929049,-0.025076795,0.0614537,-0.09800228,0.07498307,-0.120401695,-0.0053605447,-0.052551992,-0.008015954,-0.058324657,0.09389141,0.13371173,0.0046305447,-0.06220696,-0.06769651
ENSG00000198793.13,-0.04474561,-0.07725837,0.03591376,-0.0012939513,0.034172844,0.041913863,-0.014191624,0.08545758,-0.040848944,0.038282614,0.011125442,-0.056488518,0.055633485,0.06323965,0.081040055,-0.07174456,-0.04187056,0.027804745,-0.087656245,0.009791404
ENSG00000120942.14,-0.02930574,-0.048981085,0.037028708,-0.04609089,-0.04484353,0.068551466,-0.07957169,-0.025175497,0.0226584,0.011464801,0.025813436,0.045567043,0.07399616,-0.034576207,0.09107929,0.0014660641,-0.046115432,-0.06595078,0.021522718,0.0031222403
ENSG00000116661.11,-0.062040325,0.014101299,-0.07108457,0.022214152,0.048887726,-0.066110425,-0.13650902,-0.03340123,0.019095737,-0.06190466,0.038054854,0.0955397,-0.024702923,0.101859145,0.1557356,-0.07113257,-0.007230201,0.06590773,0.03460031,0.10427937
ENSG00000132879.14,-0.02676309,-0.04708277,0.03975508,-0.047768895,-0.07161146,-0.017538577,0.008262489,0.06693654,0.06785395,0.038873106,0.020512879,-0.037473314,-0.027157892,0.0691054,-0.00990493,-0.029703014,-0.055765953,0.007357666,-0.003224973,-0.017391834
ENSG00000116663.11,0.012232804,-0.07616505,-0.04361858,-0.019510617,0.005801706,0.03328709,-0.06763545,0.01616953,-0.0106724575,-0.036767755,-0.08881345,-0.041444454,0.05564442,0.0838652,0.016982924,-0.11217582,-0.1282333,0.028757567,0.0069620013,0.06655069
ENSG00000011021.23,-0.027411573,-0.039492086,0.040408302,0.011511717,0.01122138,0.06551345,0.0033107782,-0.059046265,0.1147214,0.042869877,0.1314735,-0.026025448,0.14242814,-0.005455895,0.061884742,-0.010182567,-0.14475147,0.038569473,0.033848338,-0.02757586
ENSG00000116685.16,-0.07033304,-0.052717738,0.07010427,-0.027932249,0.020922432,0.04797222,0.02765385,0.08771518,-0.024237128,-0.078933075,0.021169115,-0.006161237,0.010717804,0.074503295,0.07265796,0.0052914442,-0.04547517,0.043208513,-0.04368976,-0.04580709
ENSG00000083444.17,0.009570621,-0.017054485,0.07226877,-0.02629534,-0.038119346,-0.03337242,-0.086023815,0.010823533,0.033217877,-0.031644206,-0.0074242996,0.03825266,0.027207466,0.03584742,0.06246118,0.014964705,-0.027716564,-0.038208865,0.004980257,-0.0074737347
ENSG00000116688.18,0.056940947,-0.024567459,0.022332376,-0.067351274,-0.08856827,-0.033040352,-0.02673524,-0.047746476,0.03745232,0.006426137,0.044290397,0.058192622,0.013954254,0.10824115,0.032583628,-0.059377667,0.012790639,-0.031216206,0.0003291326,-0.004233737
ENSG00000028137.19,0.06092427,-0.1072262,0.058843475,-0.019527538,-0.11403096,-0.07873671,-0.0289068,-0.061388806,0.07946616,-0.0826422,-0.045176864,-0.052416462,0.09514479,-0.056385387,-0.0001566978,0.04636077,-0.019151231,0.041987445,-0.046305425,0.091871865
ENSG00000171729.14,-0.13481003,0.0113341985,0.0073014987,-0.050249655,0.0008870378,0.10722634,-0.074005336,0.17230429,0.16625693,-0.0740597,0.10022086,0.0029005997,0.06599048,-0.058368687,-0.06196836,0.028401084,0.07692331,-0.01004571,-0.011848085,-0.06649139
ENSG00000116786.13,0.04191503,-0.025300536,-0.04729518,-0.033099055,-0.08262249,-0.05919027,0.045460556,0.16016847,0.02826208,-0.07120617,0.00014533667,-0.0614834,0.02700621,-0.042667087,-0.04805724,-0.036422785,-0.096041866,-0.022252327,0.017336786,0.100919195
