,scVI_1,scVI_2,scVI_3,scVI_4,scVI_5,scVI_6,scVI_7,scVI_8,scVI_9,scVI_10,scVI_11,scVI_12,scVI_13,scVI_14,scVI_15,scVI_16,scVI_17,scVI_18,scVI_19,scVI_20
scTrioSeq2Rna_CRC11_LN1_361,-1.0238217,-0.4387845,-0.10177603,1.00654,-0.13116843,0.80394924,0.09488839,-0.97529805,0.0014067888,0.16653538,0.84525293,-0.24723932,1.3190489,-0.2753142,0.10598999,-1.2369235,0.7935067,-0.9910238,0.41728294,0.5751021
scTrioSeq2Rna_CRC11_PT4_716,0.37912548,-0.26316318,0.88302886,2.0736873,-1.5715847,-0.3354692,-0.9710201,2.1163626,0.26192212,-1.5335832,-0.8222701,-0.38605607,-1.6936153,0.9144223,-1.0202899,3.9280407,-1.6737953,-1.9174178,-1.6934361,2.2207508
scTrioSeq2Rna_CRC04_LN2_494,-0.46637726,-0.26986054,0.3827195,-0.13506499,-0.7532729,0.34720045,-0.28927955,-0.91111743,-1.4048862,0.121851265,0.43730292,-0.16461849,0.29835862,-0.74430305,0.82213897,0.3282523,-0.047797143,0.5670018,-0.35977256,0.7781088
scTrioSeq2Rna_CRC03_PT2_160,0.43005973,-1.2717206,0.76664776,-0.6152001,0.69492674,-1.20994,-0.06547896,-0.092592925,1.0913776,1.8662635,0.28661793,-0.04925619,-0.4617535,-2.379304,0.44807702,-2.43762,2.846983,-0.812624,-0.11980459,-1.2666607
scTrioSeq2Rna_CRC03_PT1_116,-0.49337345,1.3280604,1.2961766,-0.013795167,2.1111598,-0.98884743,-0.55716044,0.23272637,0.91605055,-0.11961025,-1.1777258,2.4816875,0.21366358,0.9904865,-1.0435652,0.3229621,0.44709614,-1.6010144,0.92588025,-0.021667838
scTrioSeq2Rna_CRC04_LN1_378,-0.09331003,0.96930104,-0.17549714,0.046368763,0.94407314,-0.45916712,-1.1447321,-0.5948221,-1.4949923,0.7062911,-0.25258237,0.41086408,-0.70969677,-1.9325174,0.6174845,0.6062226,-0.41201073,0.45406312,-0.07177794,1.5976006
scTrioSeq2Rna_CRC11_LN1_385,0.7306974,1.6957855,-0.32298514,1.0926504,-0.926977,-0.056546524,-0.2946861,-0.6612671,2.6599379,1.1923532,-0.983625,-2.2625299,1.3547742,-1.2077507,1.455009,-1.6896832,-0.08139682,-0.27531552,-1.5182412,-0.9937989
scTrioSeq2Rna_CRC11_PT1_451,1.9605576,1.8134503,-1.8121629,0.42613223,-0.5946071,-1.9153925,-1.8043016,1.1433077,-0.6899238,0.21805638,-2.1773584,-1.3097048,-0.34562695,1.9352424,-0.738479,0.37630206,-0.54095423,0.35236096,0.071985185,-1.232693
scTrioSeq2Rna_CRC11_PT4_704,0.8131001,0.48487145,0.7270487,-2.4168458,-1.9422884,-1.0285997,-0.2853094,0.7489785,0.55870736,0.3035394,0.76777947,0.038088262,0.9798541,2.034515,-1.2093741,1.6465904,1.9755311,0.9122099,0.24840736,-0.13452208
scTrioSeq2Rna_CRC09_PT4_530,-0.4068682,-0.62166345,0.020112813,-1.1132855,2.0113869,0.22241929,-0.39632353,0.09861307,0.11267054,-0.4917131,0.5058809,-0.5009638,1.6482798,0.21111977,-0.51505923,1.3417666,-2.045353,-1.3302267,0.43968672,0.6366973
scTrioSeq2Rna_CRC11_PT4_744,-1.3033856,-0.14344895,-0.2203531,-0.3069292,-0.67866266,1.3002125,-0.9950312,-0.77666736,-0.19237196,-0.27464694,-0.7368601,-0.39856666,1.0986414,0.1329906,0.44941133,2.0329468,-0.17870176,-2.2453456,0.4867949,0.23526067
scTrioSeq2Rna_CRC04_PT2_555,-0.3644266,0.28434432,0.7061937,0.54099214,-0.55392224,-0.19244073,-0.09624863,-0.012146324,-1.1203079,0.24534285,0.21655387,-0.1463291,1.1575531,-0.58458555,-1.033874,0.49563563,-0.09266102,0.72146946,-0.0853785,0.7772546
scTrioSeq2Rna_CRC11_PT3_776,-0.36077222,0.6670942,-0.66573405,-0.78086764,0.25598556,0.18258324,-0.49614343,-1.08785,0.0771718,0.8858886,0.13070923,-1.7353545,1.1241839,-0.7374232,1.0173159,-0.17338964,1.2321782,-0.14812124,0.052535295,0.15232152
scTrioSeq2Rna_CRC11_PT4_725,0.8089155,2.2869937,-0.42391977,-0.003932208,-0.55740654,-1.5181923,-0.62668437,1.3003962,-0.14974904,0.2581842,-1.6629848,-2.0561132,-1.0338663,1.2524168,-2.3386636,0.716987,-1.8284067,-0.9248185,0.54271084,0.5223078
scTrioSeq2Rna_CRC03_PT2_148,-0.37402126,-1.3042626,0.86711013,1.3668497,0.26739532,-0.5732322,1.2426301,1.1632621,-1.1206908,-0.0029190183,-0.108517766,1.4278097,-0.0733583,0.14058036,0.116657674,-0.6312857,1.7725717,0.5020366,0.54879874,-0.47444016
scTrioSeq2Rna_CRC09_PT4_550,0.8055351,0.4439817,0.96701753,-0.9610219,2.974879,-0.11595136,-1.8498684,-1.3009914,1.0095598,-1.0761516,1.129119,-2.1653404,-1.9203967,1.1381239,-1.5875597,1.1685938,-1.6265851,0.02162385,-2.1029959,-2.1927476
scTrioSeq2Rna_CRC06_PT4_303,0.7003746,-0.7207727,-0.8116262,0.2846036,0.023105055,0.7386272,1.3971933,0.42304254,0.60496867,1.3430542,0.52587557,-0.88365495,1.1739494,0.62336886,0.8543884,-0.1434528,-2.2900267,-0.062122703,1.0324998,-2.241698
scTrioSeq2Rna_CRC10_LN1_046,-0.64557266,-1.6257532,-0.7982577,-0.8089315,-0.09188968,0.16762343,-0.44436452,-0.18845817,0.5878593,0.38157314,-0.37770838,1.3789732,0.2186315,-0.96935475,-0.37542236,-1.7806083,-2.2293515,1.088018,-0.15007359,-0.054351628
scTrioSeq2Rna_CRC09_PT1_260,1.7111455,-1.797111,0.38649228,-0.1631023,-0.5251687,0.7413517,-0.518071,-0.13932148,-0.5318525,0.16991633,0.42767876,-0.30066204,1.4433793,1.1484385,0.6969752,0.52158505,-0.45570266,-0.61908805,-0.79803836,-0.3661757
scTrioSeq2Rna_CRC11_PT1_428,0.8990989,0.6575578,0.23134936,0.30236694,-0.57920516,0.50148237,-0.11418315,-0.811795,-0.37897563,0.14856642,1.3839407,-1.5436599,0.74612904,-0.18174887,0.2080968,0.16042787,-0.0022448897,0.52675176,0.3092308,0.3154043
scTrioSeq2Rna_CRC10_LN1_006,-0.39803064,0.67326623,-1.2538537,-0.37959895,-0.30497134,0.03357449,0.08137196,0.13201585,0.54680645,0.16856956,-0.49457842,1.858981,0.3249349,-0.28481597,-0.60030377,-0.25849977,-1.1196449,2.1246085,-0.44848657,1.8611526
