,proba_m1,proba_m2,bayes_factor,scale1,scale2,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,comparison,group1,group2
ENSG00000148344.11,0.839,0.16100000000000003,1.6508062912898949,0.00012644491,1.0428965e-05,12.092857142857143,0.7523364485981309,0.4642857142857143,0.0630841121495327,0.907859196213859,0.09778777715596036,Metastasis Nodo Linfático vs Tumor Primario,Metastasis Nodo Linfático,Tumor Primario
ENSG00000165949.12,0.8166,0.1834,1.4934797767833832,0.008164981,0.003406329,1137.0142857142857,255.9626168224299,0.9928571428571429,0.9088785046728972,100.89359632312812,32.71488447334863,Metastasis Nodo Linfático vs Tumor Primario,Metastasis Nodo Linfático,Tumor Primario
ENSG00000126709.16,0.8018,0.19820000000000004,1.3975825403303712,0.0006965247,8.4027975e-05,40.50714285714286,5.509345794392523,0.7428571428571429,0.25934579439252337,3.7760772548907156,0.6000440438055807,Metastasis Nodo Linfático vs Tumor Primario,Metastasis Nodo Linfático,Tumor Primario
ENSG00000169035.12,0.7892,0.2108,1.3201099227139834,6.254873e-05,6.251102e-07,5.4,0.09579439252336448,0.19285714285714287,0.014018691588785047,0.6023494091470741,0.00967086981843209,Metastasis Nodo Linfático vs Tumor Primario,Metastasis Nodo Linfático,Tumor Primario
ENSG00000268621.6,0.7876,0.21240000000000003,1.3105190230130086,0.0016110197,1.05078025e-05,152.2,0.3808411214953271,0.6428571428571429,0.1542056074766355,17.688991685858966,0.058749445706143086,Metastasis Nodo Linfático vs Tumor Primario,Metastasis Nodo Linfático,Tumor Primario
ENSG00000106211.10,0.7856,0.21440000000000003,1.2986042939309432,0.0063155144,0.0025093358,770.8928571428571,211.0607476635514,0.9857142857142858,0.8714953271028038,71.8640050137492,26.88233371386276,Metastasis Nodo Linfático vs Tumor Primario,Metastasis Nodo Linfático,Tumor Primario
ENSG00000143412.10,0.7848,0.21519999999999995,1.293861046237224,5.7863064e-05,3.2159678e-06,6.521428571428571,0.2757009345794392,0.29285714285714287,0.035046728971962614,0.5590964487435207,0.037066942970693975,Metastasis Nodo Linfático vs Tumor Primario,Metastasis Nodo Linfático,Tumor Primario
ENSG00000115267.9,0.777,0.22299999999999998,1.2482685469344932,0.00021153633,2.8495213e-05,17.428571428571427,2.7336448598130842,0.45714285714285713,0.17990654205607476,1.441914126801659,0.31500753806456766,Metastasis Nodo Linfático vs Tumor Primario,Metastasis Nodo Linfático,Tumor Primario
ENSG00000107159.13,0.7726,0.22740000000000005,1.2230508378836804,2.315012e-05,7.2588273e-06,4.642857142857143,1.0070093457943925,0.14285714285714285,0.04205607476635514,0.3213434114209098,0.09009950990621167,Metastasis Nodo Linfático vs Tumor Primario,Metastasis Nodo Linfático,Tumor Primario
ENSG00000214049.8,0.771,0.22899999999999998,1.2139663393111373,0.0010105375,0.000107733234,91.98571428571428,11.156542056074766,0.75,0.40420560747663553,8.272278827964781,0.9321257766324063,Metastasis Nodo Linfático vs Tumor Primario,Metastasis Nodo Linfático,Tumor Primario
ENSG00000184489.13,0.7676,0.23240000000000005,1.1948087091541482,0.00024921788,6.2096755e-05,25.485714285714284,5.067757009345795,0.6,0.22897196261682243,2.043794112646018,0.5275528138646964,Metastasis Nodo Linfático vs Tumor Primario,Metastasis Nodo Linfático,Tumor Primario
ENSG00000095321.18,0.766,0.23399999999999999,1.1858610247026784,0.00013185511,2.485174e-05,11.92142857142857,1.4369158878504673,0.45,0.12850467289719625,1.296298954450102,0.190134034656518,Metastasis Nodo Linfático vs Tumor Primario,Metastasis Nodo Linfático,Tumor Primario
