Z_18,gene,abs_loading,factor
0.29082802,ENSG00000251562.8,0.29082802,Z_18
0.28090957,ENSG00000130164.14,0.28090957,Z_18
0.27426487,ENSG00000117523.17,0.27426487,Z_18
0.24854282,ENSG00000211897.9,0.24854282,Z_18
0.2470158,ENSG00000178878.13,0.2470158,Z_18
0.2298484,ENSG00000173467.9,0.2298484,Z_18
0.22259308,ENSG00000211896.7,0.22259308,Z_18
0.22196423,ENSG00000114315.4,0.22196423,Z_18
0.21738212,ENSG00000159182.5,0.21738212,Z_18
0.20347157,ENSG00000134057.15,0.20347157,Z_18
0.19974042,ENSG00000211592.8,0.19974042,Z_18
0.1945744,ENSG00000089685.15,0.1945744,Z_18
0.18885265,ENSG00000017483.15,0.18885265,Z_18
0.18856645,ENSG00000177984.7,0.18856645,Z_18
0.18424064,ENSG00000243709.1,0.18424064,Z_18
0.18289317,ENSG00000179674.4,0.18289317,Z_18
0.18180172,ENSG00000129521.15,0.18180172,Z_18
0.18110223,ENSG00000129824.16,0.18110223,Z_18
0.17733131,ENSG00000112208.11,0.17733131,Z_18
0.17653145,ENSG00000113810.16,0.17653145,Z_18
0.17555735,ENSG00000112739.17,0.17555735,Z_18
0.17509389,ENSG00000164379.7,0.17509389,Z_18
0.17380962,ENSG00000151500.15,0.17380962,Z_18
0.17221136,ENSG00000198786.2,0.17221136,Z_18
0.17158398,ENSG00000132424.17,0.17158398,Z_18
0.16989113,ENSG00000203727.4,0.16989113,Z_18
0.1674363,ENSG00000176907.5,0.1674363,Z_18
0.16724429,ENSG00000166165.13,0.16724429,Z_18
0.16690423,ENSG00000132434.10,0.16690423,Z_18
0.16650842,ENSG00000168955.4,0.16650842,Z_18
0.16504672,ENSG00000118523.6,0.16504672,Z_18
0.1637334,ENSG00000163166.15,0.1637334,Z_18
0.1597832,ENSG00000158417.11,0.1597832,Z_18
0.1581832,ENSG00000073067.14,0.1581832,Z_18
0.15774097,ENSG00000198937.9,0.15774097,Z_18
0.15199985,ENSG00000164062.13,0.15199985,Z_18
0.15150854,ENSG00000287831.1,0.15150854,Z_18
0.15015349,ENSG00000198692.10,0.15015349,Z_18
0.14956331,ENSG00000145632.15,0.14956331,Z_18
0.1489089,ENSG00000163435.16,0.1489089,Z_18
0.1477029,ENSG00000100941.9,0.1477029,Z_18
0.14712027,ENSG00000162772.17,0.14712027,Z_18
0.14701994,ENSG00000078674.18,0.14701994,Z_18
0.14643306,ENSG00000089048.15,0.14643306,Z_18
0.14603235,ENSG00000139289.14,0.14603235,Z_18
0.14444897,ENSG00000164615.6,0.14444897,Z_18
0.14359178,ENSG00000117318.9,0.14359178,Z_18
0.14208098,ENSG00000158050.5,0.14208098,Z_18
0.1415936,ENSG00000109787.13,0.1415936,Z_18
0.14028221,ENSG00000173145.11,0.14028221,Z_18
