patient,region_long,LDVAE_1,LDVAE_2,LDVAE_3,LDVAE_4,LDVAE_5,LDVAE_6,LDVAE_7,LDVAE_8,LDVAE_9,LDVAE_10,LDVAE_11,LDVAE_12,LDVAE_13,LDVAE_14,LDVAE_15,LDVAE_16,LDVAE_17,LDVAE_18,LDVAE_19,LDVAE_20
CRC03,Metastasis Nodo Linfático,-2.232007,2.6849375,2.8699346,0.5070843,1.4778402,1.114919,-0.6557046,-0.14085126,-0.073465854,-1.247755,-0.23757666,-0.41013587,-1.3798108,-0.76157147,-0.25716597,-1.8945335,-0.7893862,0.035046995,2.895673,-0.6464007
CRC03,Tumor Primario,-2.5635393,-0.39669836,2.743598,2.5984073,2.9825535,1.4381216,1.55067,-1.6414727,1.8248127,0.9941544,-1.4870746,-0.38012302,-1.2374182,-1.635182,-1.3237553,-1.516103,-2.0994494,-2.0031214,1.8491775,0.8350483
CRC04,Metastasis Nodo Linfático,-1.595537,-1.0727278,0.21350542,0.89225173,1.6528002,-0.46910307,1.2395298,-0.33512396,1.6819266,1.5053171,-1.3620915,0.23465133,-0.1323905,-1.106971,-1.5462598,0.2862769,0.48825234,-0.4949127,-0.10799955,2.207426
CRC04,Tumor Primario,-0.81399375,-0.52272135,0.5933499,0.60138404,0.9148602,-0.11699983,0.84083325,-0.21847342,1.5078441,0.36877653,-0.23419645,-0.12116966,0.123787984,-0.76313496,-0.47739094,-0.38064206,-0.48199242,0.014823652,0.030260265,0.8744255
CRC06,Metastasis Nodo Linfático,-0.27612257,0.032004684,0.23859186,0.5229661,1.7526382,-0.32908556,1.4181323,0.16192345,2.033481,1.3309361,-0.5210103,0.031191045,0.10378078,-0.76640636,-0.36027527,1.012595,-0.5323649,0.01829561,-0.41293287,0.94366777
CRC06,Tumor Primario,-0.96571237,-0.30089426,1.8941996,0.57836056,2.8888419,-0.053214584,0.9192372,-0.5659228,1.9462751,1.9096788,-1.1819186,-0.015876742,-1.0859759,-1.6576529,-0.63144225,1.8029456,-0.3470859,0.06113948,-0.463482,1.498813
CRC09,Metastasis Nodo Linfático,,,,,,,,,,,,,,,,,,,,
CRC09,Tumor Primario,-1.2025585,-0.24596061,2.6506815,0.40324393,2.4843554,-0.32525066,1.5593739,-0.81660384,1.323645,1.3499697,-1.1256846,-8.766726e-05,-1.101042,-0.87191874,-0.76857585,0.7218414,-1.1799648,-0.550788,-0.72203493,1.8297683
CRC10,Metastasis Nodo Linfático,-0.640726,0.5949497,1.2468219,-0.6128987,2.1167135,-0.25910428,2.2620077,-0.58148426,-1.78082,2.8174376,-0.59959406,0.14326434,-2.8862517,-0.82161343,-1.7105457,-1.3544115,0.9578561,-1.2775118,-0.9517283,2.4514644
CRC10,Tumor Primario,-0.5498112,0.75209,1.6241684,-0.68422914,2.047451,0.048246328,1.552055,-0.6478153,-1.6481743,2.4682767,-0.26352668,0.046213187,-2.4431906,-0.97420603,-1.5256999,-1.4748468,1.0242023,-0.94555414,-0.49457,2.1193047
CRC11,Metastasis Nodo Linfático,-0.92179286,-0.55054194,-0.16550282,1.5085998,1.5647371,0.5508015,0.9781526,-0.72130764,1.5932215,0.70179546,-0.7316058,-0.26147115,0.007333942,-0.9837353,-0.4590757,0.49798203,-1.0748515,-0.7136527,0.33644024,0.35896978
CRC11,Tumor Primario,-0.7938929,-0.83188385,0.4931691,1.2103755,2.128502,0.31408998,1.7527126,-0.6475813,1.6857184,1.256012,-1.0168673,0.028264886,-0.6414277,-0.65633345,-0.7109422,0.6830176,-1.1461856,-0.75330937,-0.5511966,1.1520168
