,Z_0,Z_1,Z_2,Z_3,Z_4,Z_5,Z_6,Z_7,Z_8,Z_9,Z_10,Z_11,Z_12,Z_13,Z_14,Z_15,Z_16,Z_17,Z_18,Z_19
ENSG00000187608.10,0.061081268,-0.13916212,-0.12864006,0.03721184,-0.08443944,0.13270772,-0.006149636,-0.0019144535,0.1999894,0.056716025,-0.09628177,-0.12843896,0.06348208,-0.0043988037,0.07978399,-0.011802453,0.07923692,-0.0943746,-0.035142455,0.17495954
ENSG00000131591.18,-0.086445875,-0.06787068,-0.040049035,0.046189286,0.100545906,-0.0031499306,0.030931374,-0.043456405,0.025988972,0.023394052,0.008272944,0.02854322,-0.026955923,-0.022791263,0.043500405,0.018367393,-0.016856667,-0.0872546,0.021005994,-0.02564476
ENSG00000169962.5,-0.018271632,-0.009559686,-0.037810516,0.10571365,0.088356204,0.06874063,0.049482394,-0.052532896,0.08269031,-0.027283488,-0.034405433,-0.033140197,0.064041175,-0.072883874,-0.028086606,-0.019042917,-0.039323226,0.058430787,-0.07587479,0.0003066472
ENSG00000221978.12,-0.0056091296,0.03930357,0.050406348,0.054586373,0.059319563,0.08346203,0.07867093,0.05490183,0.0750728,0.054661475,-0.03441703,0.009730639,0.026916921,-0.039190866,-0.04023947,-0.00015690876,0.024245922,0.050359763,-0.019494709,0.014253219
ENSG00000224870.7,-0.1561719,0.05501657,-0.021221448,-0.013216562,-0.037495803,-0.05725648,0.18066494,-0.02398115,0.115198754,-0.009598138,-0.03416018,-0.007012683,-0.011404054,-0.062707566,-0.0155744,0.055754773,-0.023107018,-0.024520507,0.0023013728,-0.01802961
ENSG00000130762.15,0.010951373,0.03075499,-0.0008265192,0.07859281,0.030196192,-0.06330376,-0.014889687,-0.014938514,0.027998528,0.022457648,-0.105297975,0.08037669,0.044045135,0.006473704,-0.004918027,-0.017269067,-0.07112613,-0.04029044,0.05029928,0.13080683
ENSG00000162591.16,-0.004106627,0.0045120185,0.049096797,0.008467788,0.08735397,0.0065204427,0.0554395,-0.006950427,0.07004096,-0.01726878,0.01217894,-0.02757271,-0.07142151,-0.019019634,-0.02142245,-0.011581885,0.03649237,0.0030826817,-0.022212563,0.058451377
ENSG00000158109.15,-0.04988203,-0.047498092,0.048140462,-0.063759334,0.06390428,0.004205688,0.07413407,-0.06831514,0.025482247,0.078938596,-0.0017954434,-0.009688437,-0.011153635,-0.093821265,0.069010496,0.04320464,0.044782463,-0.10890917,-0.042452525,-0.05928362
ENSG00000116213.16,-0.065497495,-0.010367601,-0.044418518,-0.0153797455,0.06624173,0.09621629,0.06977438,0.047528654,0.075867705,-0.017447894,0.021117538,0.035671674,-0.07771181,0.007059458,-0.031146817,0.0021017168,-0.006630323,-0.07725747,-0.044806894,0.0011282408
ENSG00000130764.10,-0.025545891,-0.06229335,-0.05765634,0.040656287,0.028152699,-0.07623335,0.01075888,-0.058561146,-0.021918392,0.02908538,-0.11180003,0.08197328,-0.02470305,0.007614656,-0.02011572,0.039480496,-0.02847467,0.0014545749,0.00975839,0.0962169
ENSG00000116198.14,-0.0042967442,-0.057787664,-0.03575983,0.05488494,0.07952945,-0.0044556325,0.012856657,0.04069995,0.077291526,-0.014985348,-0.039145455,0.052539255,-0.02371315,0.02658544,-0.056147743,-0.040973723,-0.06539062,-0.033227,-0.008550784,0.021693656
ENSG00000169598.17,-0.056456283,-0.023150655,0.03344409,-0.03602739,0.0014908038,0.068916686,0.087265536,-0.026281882,0.011341282,0.009336634,0.027010616,0.016974973,-0.05191139,-0.07879015,0.030691452,0.035898715,-0.055745892,-0.07254784,-0.011107591,0.028344022
ENSG00000131697.18,-0.091223374,-0.11101837,-0.012799045,0.038710404,0.116392,-0.03653379,0.006782342,0.011938297,0.013350434,0.044588797,0.028424563,0.06342089,0.03181398,-0.023525206,0.02744804,0.017832974,-0.03537271,-0.013976576,-0.020665437,0.032017037
ENSG00000158286.13,-0.08897704,-0.09356624,0.0071368814,0.1010184,0.048122663,0.06553106,0.0604244,0.026503934,-0.010473545,-0.0075110053,-0.04956199,0.059841175,0.02053851,0.033240072,0.0475453,-0.05862875,-0.07077781,-0.032377414,-0.024596673,-0.028462077
ENSG00000158292.7,-0.045943532,-0.0450425,0.06016154,-0.03473625,0.007951865,-0.033075985,0.046653226,0.032216858,-0.02022711,-0.031215671,-0.09212605,0.036203973,-0.071393214,-0.08000854,-0.033140775,0.0030348958,-0.04444433,0.03866885,-0.0394824,0.063662454
ENSG00000069812.11,-0.0027523313,0.012284642,-0.0062027667,-0.027887372,0.08359177,0.0979575,0.0056325514,-0.12494743,-0.037028756,-0.02503966,-0.14159869,0.09597105,-0.073521376,-0.0036737728,0.0020523707,-0.023348898,0.020926146,0.025492573,-0.052954305,0.050410733
ENSG00000171680.23,-0.09742646,-0.007290898,0.07569886,0.06424692,-0.029511888,-0.041389447,0.08685935,0.007742567,0.018725444,0.055220913,0.03129421,-0.013103381,-0.050648823,-0.07920019,-0.010988983,-0.031232169,0.010794789,-0.026610443,-0.028319469,-0.01879759
ENSG00000162408.11,-0.046419825,-0.0067193364,0.038805466,0.023723414,0.101344995,-0.059088018,-0.02708626,0.009277862,0.031167941,0.08680296,-0.0367455,-0.046223555,0.005308247,0.02304664,-0.07284895,0.009939345,-0.039786756,-0.037382636,0.011381952,-0.03288025
ENSG00000204859.13,-0.07555329,0.019690137,-0.009446054,0.06926805,0.05665715,-0.034581404,0.06847831,-0.05106509,0.0074702273,-0.007660776,-0.07764071,0.033424083,-0.05126981,0.043521583,0.0031383918,-0.023940928,0.007304468,0.009587828,0.04262495,0.069449216
ENSG00000162413.16,-0.067514636,-0.053710677,0.021517333,-0.035405345,-0.025947876,0.027744565,0.08079802,-0.06180319,0.06708383,-0.01245196,0.00056858564,-0.0235678,0.006473379,-0.048998445,-0.031291563,-0.016404472,0.00125089,-0.03987911,0.028477458,0.071870714
ENSG00000041988.15,0.020234458,-0.053952027,0.06422481,-0.031999428,-0.035070352,0.07181047,0.0013695701,-0.029268216,0.07147971,0.005484033,-0.032243114,-0.040503122,0.01779283,9.4679104e-05,-0.07670689,0.02878325,-0.07445871,-0.0661072,-0.061023615,0.07492029
ENSG00000116285.13,0.16412725,-0.0008731756,0.04939333,0.11709964,0.09610278,0.16857749,0.10231583,-0.203928,-0.10910712,0.05526664,-0.02297478,-0.15600573,0.087802544,-0.19132723,0.0028721546,0.11649196,-0.01356639,-0.008599569,0.05888888,-0.17022927
ENSG00000074800.16,0.05671568,-0.056892805,-0.046389308,-0.04894252,-0.06977668,-0.07533196,-0.088286825,0.06167317,-0.005206131,0.05211334,0.03998385,0.0068200273,-0.0014640291,0.10476861,0.013350275,-0.05045704,-0.0036199277,0.035799775,0.04176837,0.01947165
ENSG00000198793.13,-0.032875407,-0.062198576,0.04576854,-0.027088767,0.0075965906,0.031200368,0.05329255,0.035478543,0.066183925,-0.0069039543,-0.06943186,-0.03073003,-0.0386491,-0.007878987,0.020945512,-0.001963144,-0.004910914,-0.03561553,-0.018868623,0.069318295
ENSG00000120942.14,0.020741163,0.006899252,0.03588253,0.0804158,-0.06508682,0.019414332,0.13622403,-0.00088660355,0.10837097,0.072587915,0.0418319,0.054062527,0.0768985,-0.114069216,0.023704737,-0.047398567,-0.08015124,0.04986265,-0.058979306,0.051605977
ENSG00000116661.11,-0.07404294,0.012417011,-0.025300527,0.08606531,0.0548587,0.031134214,0.023274826,-0.003679159,-0.032811124,0.06329612,0.0055532535,0.018765558,-0.059581354,0.019941594,-0.047408685,-0.053873103,0.021240119,-0.019164125,-0.005409989,0.0572729
ENSG00000132879.14,-0.09479955,-0.1043926,0.057147354,-0.04960689,-0.024243671,0.011808453,0.03243281,-0.06805921,0.04022803,-0.030991925,-0.12933081,0.061575487,0.055469587,-0.050876148,0.006743607,-0.059224382,-0.06309291,0.015884211,0.020412914,0.019622069
ENSG00000116663.11,0.019712573,-0.056211308,0.028964309,0.013628625,0.066074826,0.007836309,-0.009575965,0.03380367,0.0005811384,0.05276644,-0.026961284,0.03011494,-0.046032235,-0.017144438,-0.05159733,0.014094794,-0.02741743,-0.0020382933,-0.030721873,0.059084043
ENSG00000011021.23,0.03341912,-0.08742762,0.015655782,0.058587592,0.083411455,0.0336353,0.06517486,-0.07568139,0.0136964815,-0.014191293,0.04214161,0.036712795,0.025444062,-0.03076449,0.054278698,0.003383371,-0.07721808,-0.06924021,0.043568686,0.037995633
ENSG00000116685.16,-0.086536415,-0.09138408,0.07304668,0.00073905924,0.10533521,-0.04773637,0.099519655,0.0061442354,-0.018485181,0.0054848553,3.1902873e-05,-0.079439096,-0.0013225134,-0.01997538,0.031502604,0.017434696,-0.00041302637,0.0023499317,-0.020231387,-0.027639195
ENSG00000083444.17,-0.03553193,-0.003714366,0.012587626,0.078050576,0.027850255,-0.08728383,-0.029456759,0.02268281,-0.0072291233,0.00972777,-0.16876045,0.07983173,0.058024187,0.030105911,-0.111985154,-0.05147394,-0.06308964,-0.050081614,-0.013665379,0.0064735184
ENSG00000116688.18,-0.029150337,-0.04722089,0.033883583,0.06972534,0.053803988,0.06350083,-0.008708634,-0.05757934,0.062286172,-0.007998207,-0.053609986,-0.013166334,-0.07254278,-0.0077884113,-0.063548304,0.025728539,-0.014494523,0.02060611,-0.045516323,-0.0934654
ENSG00000028137.19,-0.013651415,-0.05331621,0.017219024,0.07075876,-0.023188302,0.027441524,0.06931095,-0.03307154,0.022303194,0.04118798,-0.06932171,0.04095248,0.009002434,-0.035538826,-0.0073350975,0.02667083,0.041740093,-0.006063046,-0.059763905,0.04685073
ENSG00000171729.14,0.034308504,-0.059179574,-0.05091021,0.06534946,-0.020779079,-0.04421095,0.08342415,-0.014278849,-0.021909703,0.06734486,-0.03954712,0.04411367,-0.02998171,-0.04054894,-0.034962773,-0.009323032,-0.081518605,-0.031659164,-0.006697448,0.0496867
ENSG00000116786.13,-0.056408003,-0.10144993,-0.016528187,0.021084258,0.041663714,0.07657255,0.08317171,0.01209039,-0.029482232,0.085515216,0.021483745,-0.04226377,-0.03816032,0.035673324,-0.064309284,0.039897148,0.037817765,0.041398108,0.017351802,0.07299346
ENSG00000162458.13,-0.0041793007,-0.058520705,0.03497651,0.10089209,0.027462024,-0.03282058,-0.027037391,-0.067174904,-0.022351136,0.08499638,-0.035173953,0.066442214,-0.014715193,0.028097793,-0.02447201,0.048324995,-0.070687875,0.033281937,0.0048037744,0.056230098
ENSG00000116809.12,-0.025378037,-0.055597153,-0.043792814,-0.012114626,0.09604064,0.041280102,0.025821282,-0.011856286,0.040876567,0.050050933,-0.03658986,0.028203655,-0.013342767,-0.050008014,0.04478731,0.03336282,-0.048206445,-0.074445695,-0.022239475,-0.008979899
ENSG00000142627.13,-0.03155053,-0.13475832,0.021091713,-0.0025134168,0.07023782,-0.004474389,0.12029057,-0.020507019,0.0140460525,-0.037362125,-0.10916493,-0.15076539,0.003843997,0.020286808,0.047467634,-0.093052424,0.03182556,-0.029687693,-0.039386604,-0.04224538
ENSG00000142632.17,-0.07865625,-0.026984986,-0.013527096,-0.017614229,0.05267265,-0.022948187,0.034279704,-0.033438552,0.089670055,-0.014302509,-0.0753819,0.00093837007,-0.035717145,0.025999844,-0.04849866,0.0015234449,-0.01909062,0.023547683,-0.031441182,0.03770981
ENSG00000159363.19,0.028164206,-0.0076337475,-0.0061117862,0.08168738,0.013249687,0.041742858,0.0663984,-0.06285184,0.022588244,0.03537545,-0.05053103,0.045341432,-0.07408562,0.0231955,-0.09572596,-0.03985012,-0.009185885,-0.0037671523,-0.02327682,-0.027148027
ENSG00000117115.13,-0.034634143,-0.12624566,0.09884965,0.046194486,0.06463183,-0.06729741,-0.014749058,0.043374117,-0.044995017,0.041317258,-0.04931081,-0.08098385,-0.07715104,0.001955475,0.003832774,-0.0581745,-0.016535653,-0.009931074,-0.07073302,-0.018168425
