Z_0,gene,abs_loading,factor,Z_1,Z_2,Z_3,Z_4,Z_5,Z_6,Z_7,Z_8,Z_9,Z_10,Z_11,Z_12,Z_13,Z_14,Z_15,Z_16,Z_17,Z_18,Z_19
0.37007627,ENSG00000173467.9,0.37007627,Z_0,,,,,,,,,,,,,,,,,,,
-0.30888703,ENSG00000172725.14,0.30888703,Z_0,,,,,,,,,,,,,,,,,,,
0.30242282,ENSG00000164822.5,0.30242282,Z_0,,,,,,,,,,,,,,,,,,,
-0.28064424,ENSG00000113282.14,0.28064424,Z_0,,,,,,,,,,,,,,,,,,,
-0.27347615,ENSG00000135919.14,0.27347615,Z_0,,,,,,,,,,,,,,,,,,,
0.2681553,ENSG00000234745.13,0.2681553,Z_0,,,,,,,,,,,,,,,,,,,
0.26079684,ENSG00000166143.10,0.26079684,Z_0,,,,,,,,,,,,,,,,,,,
-0.2544314,ENSG00000122711.9,0.2544314,Z_0,,,,,,,,,,,,,,,,,,,
-0.24892855,ENSG00000115386.6,0.24892855,Z_0,,,,,,,,,,,,,,,,,,,
-0.24843113,ENSG00000211896.7,0.24843113,Z_0,,,,,,,,,,,,,,,,,,,
0.23903851,ENSG00000113810.16,0.23903851,Z_0,,,,,,,,,,,,,,,,,,,
-0.2344253,ENSG00000197457.10,0.2344253,Z_0,,,,,,,,,,,,,,,,,,,
-0.23286386,ENSG00000179674.4,0.23286386,Z_0,,,,,,,,,,,,,,,,,,,
-0.22729376,ENSG00000204389.10,0.22729376,Z_0,,,,,,,,,,,,,,,,,,,
0.22386548,ENSG00000155850.8,0.22386548,Z_0,,,,,,,,,,,,,,,,,,,
-0.22334555,ENSG00000134193.15,0.22334555,Z_0,,,,,,,,,,,,,,,,,,,
-0.22146295,ENSG00000274213.1,0.22146295,Z_0,,,,,,,,,,,,,,,,,,,
0.22099933,ENSG00000085231.14,0.22099933,Z_0,,,,,,,,,,,,,,,,,,,
-0.2184219,ENSG00000183036.11,0.2184219,Z_0,,,,,,,,,,,,,,,,,,,
-0.21798597,ENSG00000057608.17,0.21798597,Z_0,,,,,,,,,,,,,,,,,,,
-0.21776548,ENSG00000115816.15,0.21776548,Z_0,,,,,,,,,,,,,,,,,,,
-0.21680363,ENSG00000145730.21,0.21680363,Z_0,,,,,,,,,,,,,,,,,,,
0.21664885,ENSG00000172831.14,0.21664885,Z_0,,,,,,,,,,,,,,,,,,,
0.2153508,ENSG00000112562.19,0.2153508,Z_0,,,,,,,,,,,,,,,,,,,
0.2140675,ENSG00000172016.16,0.2140675,Z_0,,,,,,,,,,,,,,,,,,,
0.21334283,ENSG00000007952.18,0.21334283,Z_0,,,,,,,,,,,,,,,,,,,
-0.21233998,ENSG00000134779.15,0.21233998,Z_0,,,,,,,,,,,,,,,,,,,
0.21203813,ENSG00000132780.17,0.21203813,Z_0,,,,,,,,,,,,,,,,,,,
0.21185665,ENSG00000173702.7,0.21185665,Z_0,,,,,,,,,,,,,,,,,,,
0.21013789,ENSG00000182600.9,0.21013789,Z_0,,,,,,,,,,,,,,,,,,,
0.20655942,ENSG00000163435.16,0.20655942,Z_0,,,,,,,,,,,,,,,,,,,
0.20635846,ENSG00000133119.13,0.20635846,Z_0,,,,,,,,,,,,,,,,,,,
-0.20291318,ENSG00000197273.4,0.20291318,Z_0,,,,,,,,,,,,,,,,,,,
0.2014851,ENSG00000117523.17,0.2014851,Z_0,,,,,,,,,,,,,,,,,,,
0.20061712,ENSG00000140391.15,0.20061712,Z_0,,,,,,,,,,,,,,,,,,,
-0.20007722,ENSG00000106066.15,0.20007722,Z_0,,,,,,,,,,,,,,,,,,,
-0.19960603,ENSG00000136783.10,0.19960603,Z_0,,,,,,,,,,,,,,,,,,,
-0.19803119,ENSG00000103355.14,0.19803119,Z_0,,,,,,,,,,,,,,,,,,,
-0.19683988,ENSG00000103534.17,0.19683988,Z_0,,,,,,,,,,,,,,,,,,,
-0.19540021,ENSG00000106258.15,0.19540021,Z_0,,,,,,,,,,,,,,,,,,,
0.19523641,ENSG00000066279.19,0.19523641,Z_0,,,,,,,,,,,,,,,,,,,
-0.19479544,ENSG00000158411.11,0.19479544,Z_0,,,,,,,,,,,,,,,,,,,
-0.19398241,ENSG00000137500.9,0.19398241,Z_0,,,,,,,,,,,,,,,,,,,
-0.1935705,ENSG00000160180.17,0.1935705,Z_0,,,,,,,,,,,,,,,,,,,
0.19293785,ENSG00000205277.10,0.19293785,Z_0,,,,,,,,,,,,,,,,,,,
-0.19117598,ENSG00000160182.3,0.19117598,Z_0,,,,,,,,,,,,,,,,,,,
0.18539058,ENSG00000127324.9,0.18539058,Z_0,,,,,,,,,,,,,,,,,,,
0.18387574,ENSG00000073067.14,0.18387574,Z_0,,,,,,,,,,,,,,,,,,,
-0.18173458,ENSG00000114115.10,0.18173458,Z_0,,,,,,,,,,,,,,,,,,,
-0.18130906,ENSG00000196950.14,0.18130906,Z_0,,,,,,,,,,,,,,,,,,,
,ENSG00000134057.15,0.424981,Z_1,-0.424981,,,,,,,,,,,,,,,,,,
,ENSG00000170312.16,0.3896747,Z_1,-0.3896747,,,,,,,,,,,,,,,,,,
,ENSG00000088325.16,0.36616927,Z_1,-0.36616927,,,,,,,,,,,,,,,,,,
,ENSG00000198786.2,0.35531676,Z_1,0.35531676,,,,,,,,,,,,,,,,,,
,ENSG00000198695.2,0.3236248,Z_1,0.3236248,,,,,,,,,,,,,,,,,,
,ENSG00000122711.9,0.32251397,Z_1,-0.32251397,,,,,,,,,,,,,,,,,,
,ENSG00000178999.13,0.31733808,Z_1,-0.31733808,,,,,,,,,,,,,,,,,,
,ENSG00000136108.15,0.30278283,Z_1,-0.30278283,,,,,,,,,,,,,,,,,,
,ENSG00000160932.11,0.29545462,Z_1,-0.29545462,,,,,,,,,,,,,,,,,,
,ENSG00000120509.11,0.2913149,Z_1,-0.2913149,,,,,,,,,,,,,,,,,,
,ENSG00000171202.7,0.28354746,Z_1,-0.28354746,,,,,,,,,,,,,,,,,,
,ENSG00000110911.17,0.27954426,Z_1,0.27954426,,,,,,,,,,,,,,,,,,
,ENSG00000174992.8,0.27660242,Z_1,0.27660242,,,,,,,,,,,,,,,,,,
,ENSG00000167325.15,0.27152696,Z_1,-0.27152696,,,,,,,,,,,,,,,,,,
,ENSG00000104320.14,0.27047116,Z_1,-0.27047116,,,,,,,,,,,,,,,,,,
,ENSG00000131724.11,0.26860055,Z_1,0.26860055,,,,,,,,,,,,,,,,,,
,ENSG00000156603.19,0.2647965,Z_1,-0.2647965,,,,,,,,,,,,,,,,,,
,ENSG00000029993.15,0.25991097,Z_1,-0.25991097,,,,,,,,,,,,,,,,,,
,ENSG00000019582.16,0.25940147,Z_1,-0.25940147,,,,,,,,,,,,,,,,,,
,ENSG00000211592.8,0.25852564,Z_1,-0.25852564,,,,,,,,,,,,,,,,,,
,ENSG00000111665.12,0.2545088,Z_1,-0.2545088,,,,,,,,,,,,,,,,,,
,ENSG00000164104.12,0.2522464,Z_1,-0.2522464,,,,,,,,,,,,,,,,,,
,ENSG00000144354.14,0.2506554,Z_1,-0.2506554,,,,,,,,,,,,,,,,,,
,ENSG00000000419.14,0.24554418,Z_1,-0.24554418,,,,,,,,,,,,,,,,,,
,ENSG00000167797.8,0.24122433,Z_1,-0.24122433,,,,,,,,,,,,,,,,,,
,ENSG00000097033.14,0.24043621,Z_1,-0.24043621,,,,,,,,,,,,,,,,,,
