,LDVAE_1,LDVAE_2,LDVAE_3,LDVAE_4,LDVAE_5,LDVAE_6,LDVAE_7,LDVAE_8,LDVAE_9,LDVAE_10,LDVAE_11,LDVAE_12,LDVAE_13,LDVAE_14,LDVAE_15,LDVAE_16,LDVAE_17,LDVAE_18,LDVAE_19,LDVAE_20
scTrioSeq2Rna_CRC11_LN1_361,-0.6979811,-1.0679142,-0.62049365,0.75749964,0.987601,0.7139317,0.92388606,0.11534122,3.3914776,0.8839988,0.192489,-0.21056294,1.7504702,-1.0248983,-0.8350217,-1.2626979,-0.9142999,-0.2644304,1.0264544,0.98605174
scTrioSeq2Rna_CRC11_PT4_716,-0.5761014,0.5482539,2.0839975,0.65400416,1.7733302,0.3679344,-0.32549483,-1.1230266,-0.47979167,0.077976525,-0.58217984,0.3694998,-2.3833206,-0.55217355,-0.22472501,0.4912229,-0.9470766,-0.19248664,-0.68667287,0.42237175
scTrioSeq2Rna_CRC04_LN2_494,-0.6879803,-0.77351445,-0.7719896,0.3648814,0.04319644,-0.7246408,0.60034084,0.4108825,1.5935999,0.7490577,-0.4022569,0.01137194,1.022375,-0.23404306,-0.92971486,0.4643919,1.3021778,0.48588386,-0.31640512,1.2507348
scTrioSeq2Rna_CRC03_PT2_160,-0.92236483,0.38490736,0.067130744,2.3048458,-0.6186525,0.38120198,0.5788187,-0.9568092,1.3665037,-1.188854,1.0893453,0.070935965,0.9044117,0.13367409,0.817509,-1.2472515,-0.59633595,-1.4117053,1.8061247,-1.4439056
scTrioSeq2Rna_CRC03_PT1_116,-3.9830403,-0.630544,4.09785,3.086965,4.7130265,2.9891973,0.6501254,-1.4751801,4.1293855,1.8580277,-1.7694497,-0.8432459,-0.89502114,-2.9259272,-3.0228884,-2.7552052,-2.4714425,-1.9459152,5.571389,1.8098538
scTrioSeq2Rna_CRC04_LN1_378,-0.82356596,-0.0835467,0.047282815,0.4020403,1.5915337,0.0007118881,0.4426906,-0.14680094,0.80907047,1.2801378,-1.539156,0.32535255,-0.41168648,-0.7904758,-1.3444996,0.3350028,0.6837622,-0.3579908,-0.121778384,2.0214415
scTrioSeq2Rna_CRC11_LN1_385,-0.29848552,-0.5824205,-1.3871691,1.1349142,1.0242896,-0.14908767,1.3234097,-0.25186878,1.5423225,0.54810435,-0.22011024,-0.46521145,1.010599,0.017715037,0.12603417,0.8406222,-0.7383371,-0.6348672,-0.04123053,0.18388242
scTrioSeq2Rna_CRC11_PT1_451,-2.2221293,-1.489877,2.2355835,2.2995229,3.5952327,0.99939024,2.4782658,-1.5879421,1.8087586,2.1207006,-2.9693978,-0.13202727,-2.236231,-1.4483929,-2.5195696,0.5791795,-1.9225416,-1.9408965,-0.552594,3.1935716
scTrioSeq2Rna_CRC11_PT4_704,-1.3574905,-0.15483403,2.1190739,1.4563017,2.5228112,0.68626976,1.4198166,-0.82256204,1.2231203,0.6117583,-1.1839991,0.13068235,-2.0255427,-0.4438036,-0.895044,0.6927043,-1.436785,-0.56894946,0.16994321,0.8728252
scTrioSeq2Rna_CRC09_PT4_530,0.010178864,1.8250334,1.5434823,-1.221163,2.2988646,-0.9942772,-0.5594766,-0.2792403,1.1757885,1.0239396,-0.085615575,-0.9308507,0.9115993,-1.231863,0.2157929,1.4547141,-0.3905244,1.5863051,0.6764716,0.01733613
scTrioSeq2Rna_CRC11_PT4_744,0.20366648,-0.5771994,-1.2977636,0.50629276,0.7380684,-0.0600695,0.99737537,-0.16677469,2.1089058,0.9988825,-0.086106,-0.13672565,1.279348,-0.1671853,-0.58172053,0.7352232,-0.41212976,-0.0756011,-0.70094144,0.5091302
scTrioSeq2Rna_CRC04_PT2_555,-1.1591892,-0.13702834,1.408361,0.5557248,1.5773416,0.05470538,0.24336755,-0.30104458,0.88067746,0.49149293,-0.66506857,-0.24018967,-0.7716765,-0.45506746,-0.7506617,0.050275832,-0.47241336,0.1310479,0.18264106,1.0227158
scTrioSeq2Rna_CRC11_PT3_776,-0.19348377,-1.5480096,-1.4506961,1.1914551,0.8124388,0.16921544,1.7946762,-0.00961113,2.3489804,1.0947385,-0.53593844,-0.030848607,1.50229,-0.05887437,-0.19437236,0.4125314,-0.54348546,-0.67870903,-0.8094842,0.69143146
scTrioSeq2Rna_CRC11_PT4_725,-0.7189956,0.77696633,3.073625,0.0028336048,2.7578163,0.2020154,0.24258453,-1.0208244,-0.09496501,1.0096929,-0.5825271,0.025982767,-2.6309173,-0.50816447,-0.5420813,0.4413249,-0.7560974,0.23357853,-0.5522254,1.4814448
scTrioSeq2Rna_CRC03_PT2_148,-1.1349987,0.6917283,2.0912845,1.7501986,-0.16258284,0.22190207,-0.53284997,-1.384382,-0.39650375,-1.7262907,0.6341033,-0.6073477,-0.9075957,0.7194531,1.2125582,-1.6673733,-1.0413213,-0.07147914,1.624457,-2.0661802
scTrioSeq2Rna_CRC09_PT4_550,-0.8908063,0.2018424,3.0061407,0.3698067,3.0497444,-0.77634656,0.87448335,-1.3092935,1.2224767,1.2454522,-1.3149748,-0.23027244,-0.84190184,-1.6809216,-0.32128644,1.9226639,-1.4774928,-0.2952186,-0.008829802,1.4176188
scTrioSeq2Rna_CRC06_PT4_303,-0.8487971,-0.21833485,1.3722346,1.0649269,1.6494782,-0.81117505,-0.053446233,0.34930098,2.0039186,1.5675437,0.45177442,-0.12845442,0.8270466,-0.44607323,0.95758283,1.6339065,0.3229159,0.42083845,-0.24901925,0.6447405
scTrioSeq2Rna_CRC10_LN1_046,-0.91130686,1.0376048,1.7811203,-0.99066687,2.8677454,-0.26540446,2.663517,-0.29599315,-2.074584,2.9340444,-0.2965353,0.10337588,-3.5700197,-0.90777594,-2.2824955,-1.6837498,0.9346834,-0.98720455,-1.1971668,2.8332596
scTrioSeq2Rna_CRC09_PT1_260,-0.78427243,-0.6109609,1.1428635,0.64920944,1.1055827,-0.5984278,1.3205162,-0.28140485,0.9684354,-0.19381636,0.13249674,-0.29210317,0.32029468,0.34967065,0.43332574,0.052323848,-1.2082949,-0.474787,-1.2107275,0.07245749
scTrioSeq2Rna_CRC11_PT1_428,0.06507605,-1.4628723,-1.2017121,1.0151088,2.044826,0.13623112,1.9368595,-0.33026898,1.8089639,1.3395402,-1.0836973,-0.5486314,0.55526704,-0.5914671,-0.31023222,1.3956443,-1.1805274,-0.58839357,-0.9422737,0.8640495
scTrioSeq2Rna_CRC10_LN1_006,-1.0981662,0.66004866,1.2522066,-0.61261564,2.320363,-0.6222925,2.7134886,-0.49024087,-1.5425828,2.7684147,-0.83010226,0.22914991,-3.514237,-0.36335284,-1.8569782,-1.3140465,0.78261566,-1.0403212,-1.4237546,2.6295466
scTrioSeq2Rna_CRC09_PT3_496,-1.783193,-0.80131215,2.8106334,1.2256148,2.5694258,-0.30380577,3.1115613,-1.0487661,1.4713396,1.7555013,-2.0731175,0.20694005,-2.2652369,-0.22830617,-1.134594,1.0505235,-1.7149141,-1.5888405,-1.76997,2.75546
scTrioSeq2Rna_CRC03_PT4_233,-2.083562,1.5264394,3.5125442,1.1753666,3.0630338,0.92538965,0.27452588,-0.7121162,1.7601482,0.907245,-0.46648115,-0.81548995,-0.99227124,-3.2150688,-0.84815246,-1.4646306,-2.6033103,0.8139757,3.3748932,-0.52232635
scTrioSeq2Rna_CRC03_PT1_144,-1.5617436,0.44993114,2.0160382,1.6953795,1.4482427,0.87338877,-0.4453236,-1.4945798,-0.5850407,-0.6849154,-0.44051784,-0.94339156,-0.5805536,-0.64881676,0.3386739,-1.5033607,-1.3808668,-0.86620986,1.9095539,-0.8148645
scTrioSeq2Rna_CRC06_PT4_333,0.047749996,0.07422131,-0.10788071,0.7355351,2.1313055,-0.41022962,0.8967134,-0.39097416,0.978052,0.761048,-0.776771,-0.015079483,-0.29745132,-1.2998052,-0.23475558,1.571711,-1.0951774,-0.5085895,-0.9430962,0.01060921
scTrioSeq2Rna_CRC11_LN1_334,-1.1510601,-1.597194,-0.3132402,1.8104122,1.4502463,0.35924518,2.5883608,-0.35690218,2.2938309,1.4690955,-1.5742452,0.10817528,-0.15693086,-0.06384981,-1.2213087,0.47904938,-0.7983301,-1.5947874,-0.62163365,2.0216703
scTrioSeq2Rna_CRC10_PT1_155,-0.18787116,0.7007039,1.1508622,-0.83619094,1.6757767,0.89661515,0.87719,-0.9414839,-0.7395423,2.4898157,0.08998573,-0.15855154,-1.5061328,-1.0148602,-1.9378443,-2.5698924,1.0196857,-0.86831844,0.50096834,1.6623185
scTrioSeq2Rna_CRC09_PT3_489,0.08506429,-0.08568072,1.0680404,-1.0653626,0.7462297,-0.550056,0.5265788,-0.107471526,0.8147751,0.13779706,0.5924961,-0.5372038,1.1065826,-1.2306871,0.39358237,-0.57784045,-0.65045244,0.6915135,0.28870678,0.8205711
scTrioSeq2Rna_CRC11_PT4_736,-0.4354378,-0.19486207,-0.7820325,0.6142705,1.2095637,-0.12039977,0.87943864,0.21794847,1.7844795,0.42005032,0.25306705,-0.42270947,0.51921153,-0.13468039,0.016732156,0.7666656,-0.4640972,-0.09370464,0.3558281,0.7797747
scTrioSeq2Rna_CRC06_PT4_294,-0.49235976,-1.0007465,1.0294411,0.7238985,2.2097714,-0.27845526,1.1203747,-0.45474833,1.9346062,1.795737,-0.7235212,0.13518125,-0.18205559,-1.0119104,-0.28349596,1.8386047,-0.47208756,-0.19147164,-1.5197115,1.1204193
scTrioSeq2Rna_CRC11_PT1_454,-0.12416965,-0.7501499,-0.36855543,0.8291084,1.2286477,0.35026705,1.12039,-0.6965907,0.88991225,0.5867955,-0.57887596,-0.0263893,0.16464731,-0.31021076,-0.08160263,0.47366476,-0.67810506,-0.88470125,-0.48366874,0.21017551
scTrioSeq2Rna_CRC06_LN1_039,-1.3289865,0.40503985,1.4653468,0.7287794,3.311821,0.25702918,2.1302223,-0.4287787,2.8903255,2.036922,-1.390168,-0.22657223,-1.3704419,-1.3048234,-1.2206252,1.2799121,-1.1018872,-0.32208693,0.22125001,1.9319899
scTrioSeq2Rna_CRC04_LN1_358,-0.32806647,0.49315906,-0.80176324,0.09879017,1.4372628,-0.91519904,0.9813491,-0.23949468,0.5746013,1.1419971,-0.70849174,0.39073235,-0.6782134,-0.3299216,-0.822009,0.5479586,0.39878476,0.43484175,-0.2734744,0.71225923
scTrioSeq2Rna_CRC03_PT3_252,-1.6741196,0.43569657,2.1403759,2.0288644,1.6807001,1.2410578,0.4107989,-1.219414,0.3535025,-0.0648762,-0.96380967,-0.92396206,-0.40828115,-1.4159241,0.021852821,-1.303386,-1.6305547,-1.2205224,2.1921363,-0.38239172
scTrioSeq2Rna_CRC03_PT3_277,-1.7192408,0.20395613,0.94045717,1.4879146,1.0920603,1.064762,-0.21778184,-1.2380021,0.8141141,-0.25315648,-1.1642928,-0.31165147,0.7779203,-1.589854,0.15577942,-1.2861515,-1.6741533,-1.5507452,1.3791616,-0.04318875
