,scVI_1,scVI_2,scVI_3,scVI_4,scVI_5,scVI_6,scVI_7,scVI_8,scVI_9,scVI_10,scVI_11,scVI_12,scVI_13,scVI_14,scVI_15,scVI_16,scVI_17,scVI_18,scVI_19,scVI_20
scTrioSeq2Rna_CRC11_LN1_361,0.2562508,-0.23064548,0.6135772,-0.42625135,-0.41470158,-0.7868488,-0.47435147,0.37877303,-0.10137725,0.0030218363,0.68241906,-0.20432968,0.40677914,-0.54697967,0.7696583,-0.7667036,0.1352883,-0.2685076,0.32236052,1.9734485
scTrioSeq2Rna_CRC11_PT4_716,-0.10230386,0.65237004,0.39424503,0.76269054,0.81660354,0.6018183,1.7903632,1.9188619,2.5274563,0.6560376,-3.2579613,0.570785,-0.10077596,-1.3140132,-1.2391297,-0.4877789,0.39085782,-3.7284274,-1.74965,-2.5083778
scTrioSeq2Rna_CRC04_LN2_494,0.67056584,-0.77391905,0.8589089,-0.09765488,0.15192449,-0.23611721,0.3462314,0.18056428,-0.61465704,0.6487906,0.3057188,-0.14870162,-0.2431485,-0.45250914,0.26530033,-0.42734015,0.22688037,1.0270082,0.32355472,0.46969026
scTrioSeq2Rna_CRC03_PT2_160,-0.27482194,-0.50938374,-0.87410367,-1.0258591,-0.085553646,0.7312872,0.2934705,1.4361508,-2.8645678,0.8707777,-1.0509944,-0.035304412,0.8635397,0.8986478,1.3238876,-0.64916193,0.22103488,-2.0585291,0.0036520362,1.8589312
scTrioSeq2Rna_CRC03_PT1_116,0.2844677,-0.6760716,1.2352258,0.34418896,0.24455321,0.57132703,-0.8191018,-0.8230013,1.3154445,0.57232493,0.010331035,-0.51448315,1.4916828,-0.034896076,-0.65454364,0.63657117,-1.4798242,0.12705201,-0.73539126,1.0723886
scTrioSeq2Rna_CRC04_LN1_378,0.24099189,-1.1317621,-0.56112826,1.240991,0.5895692,-0.36103654,0.17671962,-0.27155262,0.43409264,1.865653,-0.4608115,-0.17201908,-1.175014,0.115375906,-0.8904482,-0.16947225,0.995225,0.42352983,-0.3232368,-1.1995469
scTrioSeq2Rna_CRC11_LN1_385,-0.099595666,1.4185889,0.5277202,-0.9080141,3.5387058,-0.2982787,-0.060383067,1.066946,-1.4006298,-1.4125061,1.2015705,-3.3219192,-0.7270499,-0.9136956,-0.65135694,-1.8392594,0.30460578,0.82295847,-0.88912904,-0.27621588
scTrioSeq2Rna_CRC11_PT1_451,-1.3602288,2.60515,-0.34822404,1.1200849,-0.6174591,2.5171406,-0.36034584,0.020380378,0.39213562,0.22030887,-0.43789035,0.004265547,0.31225365,0.33862457,-1.351195,2.3970628,-0.97026205,0.7404472,-0.62687707,-0.59741306
scTrioSeq2Rna_CRC11_PT4_704,0.7559825,1.046562,0.88066065,2.6774278,-0.07812372,1.0023525,1.1027224,-0.9181963,-1.0694329,-0.2931581,-0.23800565,1.76743,-0.49655825,-1.1364893,0.9692198,0.2050038,0.91644865,-1.7179132,0.16199556,0.3809631
scTrioSeq2Rna_CRC09_PT4_530,0.8914251,-0.8489827,1.908612,0.011620231,0.89399314,-0.99306977,0.22543935,-0.029009104,0.50763035,-0.49247724,-0.59198326,-1.26004,-0.5446827,-0.37538537,-1.307126,0.17402503,-0.7714212,-0.40124428,0.027390748,-0.8354995
