Z_10,gene,abs_loading,factor
0.4106231,ENSG00000164266.11,0.4106231,Z_10
-0.37073216,ENSG00000211892.4,0.37073216,Z_10
-0.3564737,ENSG00000211677.2,0.3564737,Z_10
0.34181783,ENSG00000072571.20,0.34181783,Z_10
0.33252552,ENSG00000079385.23,0.33252552,Z_10
-0.30821484,ENSG00000159388.6,0.30821484,Z_10
-0.2995806,ENSG00000081041.9,0.2995806,Z_10
0.29347616,ENSG00000120509.11,0.29347616,Z_10
-0.29083216,ENSG00000112562.19,0.29083216,Z_10
0.2873251,ENSG00000140297.13,0.2873251,Z_10
-0.28156757,ENSG00000114315.4,0.28156757,Z_10
0.28138682,ENSG00000227258.6,0.28138682,Z_10
-0.27288386,ENSG00000059728.11,0.27288386,Z_10
0.26986927,ENSG00000164934.14,0.26986927,Z_10
0.26873177,ENSG00000160551.12,0.26873177,Z_10
0.2687096,ENSG00000140995.17,0.2687096,Z_10
-0.2681832,ENSG00000101443.18,0.2681832,Z_10
0.2649896,ENSG00000007952.18,0.2649896,Z_10
-0.26424003,ENSG00000187840.5,0.26424003,Z_10
0.25573754,ENSG00000126524.10,0.25573754,Z_10
-0.2542054,ENSG00000089063.15,0.2542054,Z_10
0.25211185,ENSG00000196260.5,0.25211185,Z_10
-0.25181684,ENSG00000158050.5,0.25181684,Z_10
-0.2512484,ENSG00000211897.9,0.2512484,Z_10
0.25121403,ENSG00000161395.14,0.25121403,Z_10
0.25115424,ENSG00000086548.9,0.25115424,Z_10
0.25016975,ENSG00000172340.15,0.25016975,Z_10
0.24872383,ENSG00000124098.10,0.24872383,Z_10
0.2486565,ENSG00000130985.17,0.2486565,Z_10
0.24698079,ENSG00000141429.14,0.24698079,Z_10
0.24669863,ENSG00000148346.12,0.24669863,Z_10
0.24568643,ENSG00000287831.1,0.24568643,Z_10
-0.23784007,ENSG00000132465.12,0.23784007,Z_10
0.23658113,ENSG00000204389.10,0.23658113,Z_10
0.23516832,ENSG00000118508.5,0.23516832,Z_10
0.23513854,ENSG00000074319.13,0.23513854,Z_10
0.23490193,ENSG00000118322.14,0.23490193,Z_10
-0.23462014,ENSG00000145833.16,0.23462014,Z_10
0.23288733,ENSG00000131773.14,0.23288733,Z_10
-0.23241061,ENSG00000117724.13,0.23241061,Z_10
0.23113169,ENSG00000138771.16,0.23113169,Z_10
-0.23087671,ENSG00000164171.11,0.23087671,Z_10
-0.23063621,ENSG00000116285.13,0.23063621,Z_10
0.23019144,ENSG00000078401.7,0.23019144,Z_10
0.22937544,ENSG00000110911.17,0.22937544,Z_10
0.228923,ENSG00000234745.13,0.228923,Z_10
-0.22783884,ENSG00000244509.4,0.22783884,Z_10
-0.22510277,ENSG00000211592.8,0.22510277,Z_10
-0.22282541,ENSG00000116750.14,0.22282541,Z_10
0.22105496,ENSG00000102471.14,0.22105496,Z_10
-0.22100346,ENSG00000134193.15,0.22100346,Z_10
0.21905844,ENSG00000157399.17,0.21905844,Z_10
0.2189518,ENSG00000161055.4,0.2189518,Z_10
0.2186254,ENSG00000215712.11,0.2186254,Z_10
0.21820392,ENSG00000149089.13,0.21820392,Z_10
0.2174456,ENSG00000166143.10,0.2174456,Z_10
0.21687543,ENSG00000100526.20,0.21687543,Z_10
-0.2166641,ENSG00000198176.13,0.2166641,Z_10
-0.21600217,ENSG00000247516.8,0.21600217,Z_10
-0.2156968,ENSG00000124253.11,0.2156968,Z_10
-0.21480677,ENSG00000117394.24,0.21480677,Z_10
0.21480162,ENSG00000145287.11,0.21480162,Z_10
0.21205501,ENSG00000162909.18,0.21205501,Z_10
0.21184398,ENSG00000188959.10,0.21184398,Z_10
-0.21136895,ENSG00000273338.1,0.21136895,Z_10
-0.21133322,ENSG00000115386.6,0.21133322,Z_10
0.21111101,ENSG00000172380.6,0.21111101,Z_10
-0.21104808,ENSG00000134709.12,0.21104808,Z_10
-0.20932962,ENSG00000285219.2,0.20932962,Z_10
0.20806855,ENSG00000204397.9,0.20806855,Z_10
-0.20660079,ENSG00000165092.13,0.20660079,Z_10
0.20537983,ENSG00000118971.9,0.20537983,Z_10
-0.20530748,ENSG00000106066.15,0.20530748,Z_10
0.20507379,ENSG00000090487.11,0.20507379,Z_10
-0.20434427,ENSG00000100097.12,0.20434427,Z_10
0.20286573,ENSG00000124198.10,0.20286573,Z_10
-0.20220868,ENSG00000104341.17,0.20220868,Z_10
-0.2018041,ENSG00000120885.22,0.2018041,Z_10
0.2013307,ENSG00000235162.9,0.2013307,Z_10
-0.20080744,ENSG00000177685.17,0.20080744,Z_10
0.20009972,ENSG00000126709.16,0.20009972,Z_10
-0.19950931,ENSG00000147872.10,0.19950931,Z_10
0.1993913,ENSG00000013588.9,0.1993913,Z_10
0.19916107,ENSG00000139292.13,0.19916107,Z_10
-0.19909011,ENSG00000101745.17,0.19909011,Z_10
-0.19781952,ENSG00000125740.14,0.19781952,Z_10
-0.19734624,ENSG00000198431.16,0.19734624,Z_10
0.1972592,ENSG00000204525.17,0.1972592,Z_10
0.19723669,ENSG00000119333.12,0.19723669,Z_10
0.1960119,ENSG00000070081.17,0.1960119,Z_10
0.19588089,ENSG00000106565.18,0.19588089,Z_10
0.19558538,ENSG00000140941.14,0.19558538,Z_10
0.19484356,ENSG00000117616.18,0.19484356,Z_10
0.1944736,ENSG00000175029.17,0.1944736,Z_10
0.19430317,ENSG00000118523.6,0.19430317,Z_10
0.19390625,ENSG00000092820.18,0.19390625,Z_10
0.19326094,ENSG00000176485.13,0.19326094,Z_10
0.19217376,ENSG00000152661.9,0.19217376,Z_10
0.1921211,ENSG00000132824.14,0.1921211,Z_10
0.19189791,ENSG00000163739.5,0.19189791,Z_10
