Z_11,gene,abs_loading,factor
0.4813341,ENSG00000131732.12,0.4813341,Z_11
0.44569,ENSG00000112562.19,0.44569,Z_11
0.3752224,ENSG00000183513.9,0.3752224,Z_11
0.3699792,ENSG00000101040.19,0.3699792,Z_11
0.36447984,ENSG00000111196.10,0.36447984,Z_11
0.3625814,ENSG00000140995.17,0.3625814,Z_11
0.35716212,ENSG00000143815.15,0.35716212,Z_11
0.35708123,ENSG00000103811.18,0.35708123,Z_11
0.35284287,ENSG00000057294.16,0.35284287,Z_11
0.32735923,ENSG00000089127.15,0.32735923,Z_11
0.32707095,ENSG00000125968.9,0.32707095,Z_11
0.3217531,ENSG00000211460.12,0.3217531,Z_11
0.3208833,ENSG00000120509.11,0.3208833,Z_11
0.31725582,ENSG00000182054.10,0.31725582,Z_11
0.316234,ENSG00000155959.12,0.316234,Z_11
0.312276,ENSG00000112305.15,0.312276,Z_11
0.30682254,ENSG00000052802.13,0.30682254,Z_11
0.3053622,ENSG00000105821.15,0.3053622,Z_11
0.30432534,ENSG00000124486.14,0.30432534,Z_11
0.30430645,ENSG00000088930.8,0.30430645,Z_11
0.30055776,ENSG00000096746.18,0.30055776,Z_11
0.2993707,ENSG00000163660.12,0.2993707,Z_11
0.2993596,ENSG00000204899.6,0.2993596,Z_11
0.2982445,ENSG00000179918.19,0.2982445,Z_11
0.29651448,ENSG00000133773.12,0.29651448,Z_11
0.29518193,ENSG00000171202.7,0.29518193,Z_11
0.29398826,ENSG00000134905.17,0.29398826,Z_11
0.2918304,ENSG00000175029.17,0.2918304,Z_11
0.28819916,ENSG00000155329.12,0.28819916,Z_11
0.2848314,ENSG00000053918.18,0.2848314,Z_11
0.28318822,ENSG00000135373.13,0.28318822,Z_11
0.27760753,ENSG00000145833.16,0.27760753,Z_11
0.27378005,ENSG00000115866.11,0.27378005,Z_11
0.27175516,ENSG00000211677.2,0.27175516,Z_11
0.27003157,ENSG00000106541.12,0.27003157,Z_11
0.2670955,ENSG00000085231.14,0.2670955,Z_11
0.26475173,ENSG00000156171.15,0.26475173,Z_11
0.2645396,ENSG00000136108.15,0.2645396,Z_11
0.25932458,ENSG00000115386.6,0.25932458,Z_11
0.25895876,ENSG00000166920.13,0.25895876,Z_11
0.25714892,ENSG00000134057.15,0.25714892,Z_11
0.2565177,ENSG00000135821.19,0.2565177,Z_11
0.25266725,ENSG00000166902.5,0.25266725,Z_11
0.2483825,ENSG00000198176.13,0.2483825,Z_11
0.24705522,ENSG00000139746.16,0.24705522,Z_11
0.24597733,ENSG00000147419.19,0.24597733,Z_11
0.24188808,ENSG00000140740.11,0.24188808,Z_11
0.24144515,ENSG00000106268.16,0.24144515,Z_11
0.24096438,ENSG00000172380.6,0.24096438,Z_11
0.2383129,ENSG00000116752.6,0.2383129,Z_11
