Z_9,gene,abs_loading,factor
-0.58356386,ENSG00000260239.2,0.58356386,Z_9
-0.40256056,ENSG00000160551.12,0.40256056,Z_9
-0.37545395,ENSG00000135245.10,0.37545395,Z_9
-0.31993446,ENSG00000170606.15,0.31993446,Z_9
-0.31543073,ENSG00000211677.2,0.31543073,Z_9
-0.31174716,ENSG00000091436.17,0.31174716,Z_9
-0.31108436,ENSG00000211892.4,0.31108436,Z_9
-0.29055858,ENSG00000182600.9,0.29055858,Z_9
-0.28058508,ENSG00000073067.14,0.28058508,Z_9
-0.27964452,ENSG00000132465.12,0.27964452,Z_9
-0.2761086,ENSG00000110492.16,0.2761086,Z_9
-0.27267882,ENSG00000134905.17,0.27267882,Z_9
-0.24262033,ENSG00000198786.2,0.24262033,Z_9
-0.24117689,ENSG00000173432.12,0.24117689,Z_9
-0.23353171,ENSG00000183036.11,0.23353171,Z_9
-0.23177932,ENSG00000103534.17,0.23177932,Z_9
-0.22859187,ENSG00000163993.7,0.22859187,Z_9
-0.22744232,ENSG00000211897.9,0.22744232,Z_9
-0.2241844,ENSG00000174231.17,0.2241844,Z_9
-0.22397897,ENSG00000124253.11,0.22397897,Z_9
-0.21757343,ENSG00000103811.18,0.21757343,Z_9
-0.21575351,ENSG00000234745.13,0.21575351,Z_9
-0.21551612,ENSG00000205277.10,0.21551612,Z_9
-0.21300852,ENSG00000198938.2,0.21300852,Z_9
-0.21009016,ENSG00000106541.12,0.21009016,Z_9
-0.20782135,ENSG00000065154.12,0.20782135,Z_9
-0.20751135,ENSG00000157014.11,0.20751135,Z_9
-0.2073034,ENSG00000245532.9,0.2073034,Z_9
-0.20531641,ENSG00000143416.21,0.20531641,Z_9
-0.20525889,ENSG00000145833.16,0.20525889,Z_9
-0.20521113,ENSG00000164822.5,0.20521113,Z_9
-0.20488967,ENSG00000161249.21,0.20488967,Z_9
-0.20450129,ENSG00000102445.20,0.20450129,Z_9
-0.20369688,ENSG00000101444.13,0.20369688,Z_9
-0.20361848,ENSG00000148600.15,0.20361848,Z_9
-0.20279184,ENSG00000251562.8,0.20279184,Z_9
-0.20070963,ENSG00000056736.10,0.20070963,Z_9
-0.19648428,ENSG00000154473.18,0.19648428,Z_9
-0.1943213,ENSG00000159069.14,0.1943213,Z_9
-0.19364397,ENSG00000166920.13,0.19364397,Z_9
-0.19306667,ENSG00000165795.24,0.19306667,Z_9
-0.19036563,ENSG00000178878.13,0.19036563,Z_9
-0.18970697,ENSG00000106268.16,0.18970697,Z_9
-0.18942764,ENSG00000116750.14,0.18942764,Z_9
-0.18573184,ENSG00000139620.13,0.18573184,Z_9
-0.18364318,ENSG00000029153.14,0.18364318,Z_9
-0.18282156,ENSG00000140740.11,0.18282156,Z_9
-0.18281767,ENSG00000151490.15,0.18281767,Z_9
-0.18259403,ENSG00000166165.13,0.18259403,Z_9
-0.1824258,ENSG00000148773.14,0.1824258,Z_9
