,LDVAE_1,LDVAE_2,LDVAE_3,LDVAE_4,LDVAE_5,LDVAE_6,LDVAE_7,LDVAE_8,LDVAE_9,LDVAE_10,LDVAE_11,LDVAE_12,LDVAE_13,LDVAE_14,LDVAE_15,LDVAE_16,LDVAE_17,LDVAE_18,LDVAE_19,LDVAE_20,region_long,patient,batch
scTrioSeq2Rna_CRC11_LN1_361,0.39431655,-0.95997125,-0.683229,-0.006555021,0.0737437,2.0855963,0.31716764,2.446139,-0.41740078,-1.6894515,-0.7323892,0.4636141,1.6320691,-1.5523572,-0.95927525,-0.10874665,0.87824273,0.7593774,-0.8675187,-1.283343,Metastasis Nodo Linfático,CRC11,SmartSeq2
scTrioSeq2Rna_CRC11_PT4_716,-2.1680706,0.12516814,0.28628623,-1.1612136,-0.16783112,-2.2564194,-0.7712413,-0.89222056,0.02952969,0.30957973,0.9015025,0.19910505,0.73793864,1.0837862,0.65835154,0.9872552,-1.5648048,0.046007216,1.8763162,0.9416726,Tumor Primario,CRC11,SmartSeq2
scTrioSeq2Rna_CRC04_LN2_494,-0.3594886,-1.099314,-0.28442985,1.4397542,0.06695491,1.0866884,-1.297431,0.19023716,-1.2052765,-0.5139347,0.090117395,-0.04751426,-0.10889548,-0.66180515,-0.36905575,-0.73603696,0.31957367,2.7636771,-1.4668324,-1.7061812,Metastasis Nodo Linfático,CRC04,SmartSeq2
scTrioSeq2Rna_CRC03_PT2_160,1.2251829,1.0458071,-1.6330264,-1.5456812,0.8050139,-0.26698875,-0.54439294,1.3892472,0.47261783,-0.38046986,-1.3582299,0.84332937,2.728851,-1.8040663,0.3204916,1.0345477,0.13893789,-0.1921593,-0.33815956,0.44132307,Tumor Primario,CRC03,SmartSeq2
scTrioSeq2Rna_CRC03_PT1_116,-2.0672066,-1.4418256,-3.8203576,-2.938471,-3.667001,-3.304296,-3.4520788,3.602038,0.37152913,-2.0755506,-3.086922,-1.3779399,1.8857154,-0.022203803,-0.8361877,-2.7332473,0.239474,1.3536377,-2.407373,2.072815,Tumor Primario,CRC03,SmartSeq2
scTrioSeq2Rna_CRC04_LN1_378,-1.1009518,-0.7967382,0.777521,1.8505542,-0.20146179,-0.1297729,-1.1334293,-1.0225444,-1.2269568,0.5462761,1.1815338,-0.7771041,-1.5094805,1.1407087,-0.04078597,-1.1094191,-0.86485,2.8058007,-2.11423,-1.4444255,Metastasis Nodo Linfático,CRC04,SmartSeq2
scTrioSeq2Rna_CRC11_LN1_385,0.8390997,0.48860687,-0.4375432,-0.13722217,0.412239,2.1702085,-0.5048491,0.8493205,-0.28598183,0.2877766,-0.14743894,0.28104383,-0.14567596,-0.594224,-0.34980774,0.45412,-0.48360294,0.21557814,-1.2789264,-0.9697368,Metastasis Nodo Linfático,CRC11,SmartSeq2
scTrioSeq2Rna_CRC11_PT1_451,-2.1786346,-0.5685472,-1.0875607,-1.7384524,-1.0784061,-0.9450267,-2.135187,0.4903043,-1.2496791,-0.343396,0.9846977,-0.6327949,0.11133185,0.86410373,0.24072716,-0.6266838,-2.1349654,1.514209,0.30712697,0.1822123,Tumor Primario,CRC11,SmartSeq2
scTrioSeq2Rna_CRC11_PT4_704,-2.0993376,-0.2523002,-0.4400198,-1.1329575,-1.3655765,-1.0146322,-1.5117736,0.3109178,0.13204348,-0.8594977,0.41587508,-0.23812443,0.25303668,0.5781489,0.02541244,0.060605466,-1.2611597,0.30565637,0.89255476,0.24024975,Tumor Primario,CRC11,SmartSeq2
scTrioSeq2Rna_CRC09_PT4_530,0.5396244,0.8315487,0.23123288,1.0321558,-1.5842583,1.8902018,1.068044,0.5464664,1.4329815,-1.2811689,-0.27557668,0.15458101,-0.16097164,0.25956365,-0.55582404,0.7101239,1.0453058,-1.9331744,0.13721645,1.3378766,Tumor Primario,CRC09,SmartSeq2
