,scVI_1,scVI_2,scVI_3,scVI_4,scVI_5,scVI_6,scVI_7,scVI_8,scVI_9,scVI_10,scVI_11,scVI_12,scVI_13,scVI_14,scVI_15,scVI_16,scVI_17,scVI_18,scVI_19,scVI_20
scTrioSeq2Rna_CRC11_LN1_361,0.31778413,-0.11323878,0.8530203,-0.40735704,0.028044283,0.3367868,0.56378126,0.7833452,-0.99405324,-0.96802807,-0.9853982,0.79245186,-0.57119566,0.10215372,1.1515001,0.60934484,0.37508115,0.5422107,-0.3783661,-0.6831851
scTrioSeq2Rna_CRC11_PT4_716,-0.29450512,1.6567652,-1.3792906,1.9532908,-1.1720171,-1.796595,-1.4106393,-1.3125072,1.4767251,0.5844516,2.05338,-0.5582482,1.9173567,-0.4922037,-0.20057589,-1.6513667,-1.976884,0.928159,-1.2816744,2.962773
scTrioSeq2Rna_CRC04_LN2_494,0.9471318,0.109057695,0.5652416,-0.02931422,0.61892617,0.11982907,-0.52872276,0.46242237,-0.33944336,-0.5997259,-0.3165741,0.02063325,-0.39102662,-0.59614927,0.7150496,-0.028076679,0.32159266,-0.20943922,0.7682942,0.41206294
scTrioSeq2Rna_CRC03_PT2_160,1.0658255,1.1124082,0.41893297,1.6898597,1.2854073,-1.4010066,-0.3640771,1.7947023,-0.83894205,1.2289973,-0.41233957,-0.66902643,1.4560249,1.6894131,1.2094835,1.0072765,-2.6705809,-0.13831216,-0.8931992,-0.32809535
scTrioSeq2Rna_CRC03_PT1_116,-0.3557248,0.7145009,-1.079368,-1.5869043,-1.5433568,1.0027039,-1.5523031,-0.030746251,-0.37002173,0.71728265,-0.27804792,0.44540673,0.38582212,-0.21721613,-0.3742482,-0.30870733,2.3831224,1.1099265,-0.97839427,-0.16107568
scTrioSeq2Rna_CRC04_LN1_378,0.6026393,-0.3258226,-0.8189143,-0.8247974,0.21274525,-0.91736317,-1.0710262,0.1668225,0.20761602,-0.8164576,-0.3845173,0.92543375,-0.14411765,-0.39895433,-0.6067535,-1.8071233,0.47809106,-0.24792737,-0.81124806,0.8588072
scTrioSeq2Rna_CRC11_LN1_385,0.36622578,0.20056573,0.45695022,0.7035811,0.3369528,1.675282,1.4035332,0.58831686,0.9632721,-0.9169886,1.0039068,1.2188295,0.6618953,-1.3808851,1.4853535,2.5098107,0.6278112,-2.807551,-1.2452991,0.8010569
scTrioSeq2Rna_CRC11_PT1_451,-3.1003003,0.51190436,-0.22805318,0.80022585,-0.25441572,0.7867253,1.7615098,1.2433695,-0.9396348,1.5885884,2.369575,0.38460407,0.9323555,-0.05802983,-1.433831,1.4943044,0.89300126,1.2671299,-0.1126883,1.1939068
scTrioSeq2Rna_CRC11_PT4_704,0.3486746,-0.53514946,-0.5346204,0.49085462,1.7205524,1.3654822,0.24289846,-1.9095374,-1.1398388,0.6011592,1.1159596,-0.99096143,1.0682787,0.9057312,0.5702194,2.34426,-0.70993173,-0.0003785491,0.5462124,0.8667545
scTrioSeq2Rna_CRC09_PT4_530,-0.5098952,1.14862,0.84760237,-0.8293093,0.113848835,0.4208655,0.68392384,-1.0031042,0.73436975,0.15200685,-1.0749493,1.0481963,0.104445316,-0.40426198,-0.5255924,1.213915,1.3835714,-0.49289566,0.61389124,-0.033657253
scTrioSeq2Rna_CRC11_PT4_744,-1.2119304,-0.9770087,0.657045,-0.46411014,1.1002935,0.64735013,-0.6901828,-0.5860945,1.3471832,-0.69979644,-0.8508693,0.12526079,-0.8200108,-1.1457099,1.3397936,-0.6144897,0.8561326,-0.9716957,-0.0223912,-1.3393058
scTrioSeq2Rna_CRC04_PT2_555,0.440013,-0.044573724,0.31109056,0.15671825,0.13456163,0.75114584,0.17102727,-0.70632684,0.044718295,0.8411911,-0.05475244,0.470202,-0.45451695,-0.87173474,-0.020903945,0.7347269,-0.21344906,1.2849274,0.8223671,0.18083602
scTrioSeq2Rna_CRC11_PT3_776,0.5564648,0.5135958,0.50957865,0.102694035,1.1287639,-0.8549597,-0.079681695,0.23234385,-0.1673159,-0.9861089,-0.32263607,0.7144617,-0.9430916,-0.3831189,0.18720716,0.91271126,-0.51306355,0.6418595,0.69003314,-0.89525056
scTrioSeq2Rna_CRC11_PT4_725,-0.26238418,0.19610515,-1.6986495,-0.92047536,-1.6993694,-0.5043284,0.98265177,-0.43251538,1.3559511,0.019548818,0.03687018,-0.7701098,0.86744595,-1.3437748,-2.1799896,-1.7406167,1.2833642,0.16245341,-0.5187099,1.8701397
scTrioSeq2Rna_CRC03_PT2_148,0.3300299,-0.5865309,0.19326311,0.70096767,-0.60851943,1.2685521,-1.6397524,1.2816638,-0.5475712,0.096776925,-0.21593753,0.6840755,0.4449868,-0.24696827,1.4307678,0.14902574,-1.0829816,0.6498785,0.122124076,1.4517012
scTrioSeq2Rna_CRC09_PT4_550,-2.3178945,2.4299417,-2.1690643,1.9107071,-1.0268004,1.0308217,2.072279,-1.3894994,-0.67244196,0.7052223,-0.3669848,-1.8056777,-0.52988243,2.9345884,-1.4694684,-0.67294943,1.3390441,-1.4687681,-0.96437216,-0.6182816
scTrioSeq2Rna_CRC06_PT4_303,0.63166934,1.1642182,0.9421426,1.2321552,-2.3359802,1.5097713,0.5060852,0.9619905,0.18123409,0.3767805,-1.5007435,-2.2991314,-0.57655483,-0.23672432,0.14508349,-0.02633512,-0.035551667,-0.1830222,-0.24012089,0.16247648
scTrioSeq2Rna_CRC10_LN1_046,0.009029269,-1.6359532,0.7245881,-0.85774183,0.11791575,-0.73647666,0.9412326,-0.42261267,-0.2491096,-0.2680202,-0.9705309,0.340941,0.7703397,0.43836838,0.45325682,-0.34156927,0.13706908,0.38188785,0.119368136,-0.36765888
scTrioSeq2Rna_CRC09_PT1_260,0.5439382,0.21551362,0.92203295,1.2918831,-0.005267322,1.3831319,-0.0052279234,0.30087036,0.27302548,-0.66274834,-0.5367386,-0.22304142,0.6135151,-0.5957973,1.8265235,-0.15455982,0.24433675,-0.14699215,-0.09707415,-0.27636465
scTrioSeq2Rna_CRC11_PT1_428,1.5042672,0.10024056,-0.036084145,0.101035476,1.238137,-0.38069516,0.736714,-0.40375882,-0.06942825,-0.39248806,-0.5839323,-0.015575767,-0.5199064,-0.3930409,0.05303669,0.7877382,0.30193785,-0.6767872,0.19064999,-0.7948208
scTrioSeq2Rna_CRC10_LN1_006,0.9193991,0.22137544,-0.48152986,-1.0767308,1.1060736,-0.38906676,0.65816385,-0.95903933,-1.0227822,-0.11165129,0.927528,-0.0031541884,-0.14193925,-2.077139,-0.3206374,-0.548743,-0.76250774,-0.83949715,-0.37378228,0.46738064
scTrioSeq2Rna_CRC09_PT3_496,-0.68905735,0.87347484,0.9304285,-1.566487,0.7767638,1.4209512,0.5792734,3.0132937,0.07048431,-1.1420785,1.0070332,-0.21579832,0.4928032,0.92606735,0.20357072,0.84620595,-0.31503215,-0.16244048,-0.09222865,0.6739668
scTrioSeq2Rna_CRC03_PT4_233,-1.187467,1.2529825,-0.699733,0.12430692,-0.8596066,1.3843704,0.8795981,-0.6902341,0.44203836,2.5429213,-1.7389226,0.2805434,0.10816052,1.3498808,1.8259928,0.3292594,-0.8941395,-0.3931306,0.2396285,0.15775919
scTrioSeq2Rna_CRC03_PT1_144,0.8353297,-0.9919456,-3.156232,1.5262278,1.6712071,2.3254495,-1.3293267,-0.5982479,-1.7464933,-0.61366576,0.31841683,-1.6518025,0.066328555,1.1598607,0.089057446,0.13038516,0.004724808,-1.5461853,0.7262999,0.046453804
scTrioSeq2Rna_CRC06_PT4_333,-1.045236,1.309536,-1.3037183,2.060357,2.3867714,-0.27281773,-0.27253306,0.76626956,-0.09793332,-1.8569983,-0.98322785,0.109794304,0.83355904,2.456026,-1.0755689,1.4954622,1.1706682,-0.06569022,-0.16020024,-0.33346227
scTrioSeq2Rna_CRC11_LN1_334,1.6033756,-0.3046438,0.20641133,-1.0564699,0.009008288,0.21564525,0.060403407,-0.38121596,-0.53583014,-0.15641706,-0.043281257,0.7423651,-0.20742318,-0.90974295,0.46759003,0.344917,0.8319807,0.6506733,0.089497566,-0.7444774
scTrioSeq2Rna_CRC10_PT1_155,-0.06449938,0.8504969,-0.33415553,0.14289188,-0.12573496,-0.21632995,1.8679489,-1.723972,2.4278023,-0.9392344,0.6943537,-1.4500862,-2.5967095,-1.1707942,-0.8090835,0.029556349,0.42078602,-0.7261761,0.75110316,0.7149129
scTrioSeq2Rna_CRC09_PT3_489,-1.1950406,-0.40935516,0.5018769,2.2216883,1.184262,0.80117166,0.21856192,2.1387887,1.0715004,-0.56975406,-0.13886473,-1.3069806,-0.95009226,0.86160314,-0.8482029,-0.9788742,0.50320524,0.31421673,0.16240275,-3.2594361
scTrioSeq2Rna_CRC11_PT4_736,0.40207475,-0.022181123,-1.4089997,-0.9291682,0.046477854,-0.8347611,-0.5992136,0.4096883,-0.015129127,-0.15801664,-0.98490155,0.62514716,0.6494547,-0.34187514,1.8920546,-0.36823693,0.23527992,-0.38815528,0.5633754,-0.6894628
scTrioSeq2Rna_CRC06_PT4_294,0.38220453,0.43790868,0.682231,0.6543808,-0.016407996,0.32898054,-0.05251956,0.1532023,1.3208883,-0.04300922,-0.80386275,-0.26542246,-0.072239436,-0.46568877,0.47831517,0.3643112,0.1552934,0.5011859,0.9454684,0.1698198
scTrioSeq2Rna_CRC11_PT1_454,0.99824154,-0.43492877,-0.50145566,0.41120988,0.6964669,0.35407957,0.11247581,0.7163081,-0.5532627,-0.58109117,0.24624461,0.5081788,0.76978093,0.073863864,0.49290136,-0.5613922,-0.43102726,0.3506503,0.803375,-0.02318278
scTrioSeq2Rna_CRC06_LN1_039,-1.8474885,0.025246412,0.89635503,-1.8034332,1.943278,-0.88740265,1.2911923,-1.2394935,0.12125395,1.747221,0.5874641,-1.0556542,0.39758608,1.3253129,-0.21616274,1.7870885,-1.557795,-1.0223756,0.12065452,-1.057218
scTrioSeq2Rna_CRC04_LN1_358,0.5084887,0.5003339,0.06980401,0.94098973,0.23445077,-0.3245812,1.0809524,-0.21882093,-0.727895,-0.82168436,0.11749184,0.92293394,-1.243734,-1.8905557,-1.236651,-0.6628182,0.13833281,-0.574416,0.69502467,1.0456623
scTrioSeq2Rna_CRC03_PT3_252,-0.52480435,-1.5806191,-2.0356379,-0.5393303,-0.6324729,-0.6923166,-0.20557058,-2.0867605,0.57748693,1.234183,1.4425677,-1.0125374,-0.60165775,0.675305,0.20816666,1.0858984,1.3225964,-1.8900597,-0.5566019,-2.6373613
scTrioSeq2Rna_CRC03_PT3_277,-1.6923734,0.45931843,-0.29440525,-0.3253142,1.5323483,0.74853283,-0.26139045,-1.3561239,-2.6920352,0.2769821,-1.4884925,-2.3870418,-0.83946675,0.25728214,0.31181574,-0.51499426,0.833456,0.88391703,-0.12896442,0.4802713
scTrioSeq2Rna_CRC10_LN1_039,0.42347157,-1.481973,-1.2247192,-0.19602317,0.78321576,0.141976,0.83321154,-0.5928645,-0.060735524,0.05209507,0.28564185,-0.31970364,0.25189066,-0.44590324,-0.93303853,-1.3966687,0.20518881,-0.008261204,1.1271247,-0.5114629
