"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"HALLMARK_APICAL_SURFACE","HALLMARK_APICAL_SURFACE","HALLMARK_APICAL_SURFACE",40,-0.481665264413468,-1.35791549427497,0.0671256454388985,1,1,5030,"tags=40%, list=22%, signal=31%","FLOT2/ADAM10/CD160/PCSK9/BRCA1/NTNG1/SHROOM2/SULF2/PKHD1/RHCG/AFAP1L2/SRPX/MDGA1/AKAP7/GAS1/SLC34A3"
"HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE",97,0.386473281093258,1.3005713593641,0.0575544775332847,1,1,7618,"tags=58%, list=33%, signal=39%","RSAD2/IFI30/CMTR1/IFIT3/OGFR/GBP2/IFIH1/OASL/MX1/CSF1/ISG20/TRIM26/CMPK2/EPSTI1/RTP4/LPAR6/ISG15/SAMD9/IFI27/CXCL11/IRF9/UBE2L6/TXNIP/DHX58/SP110/STAT2/CASP8/HERC6/IFI35/NMI/IFITM3/EIF2AK2/PSME2/IFI44L/PSME1/IFIT2/HLA-C/OAS1/TRIM21/SLC25A28/SELL/IFI44/PSMB8/BATF2/TRIM25/CASP1/B2M/TRIM14/TRAFD1/TDRD7/PSMA3/NUB1/IRF2/ADAR/IRF1/PSMB9"
"HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_INFLAMMATORY_RESPONSE",179,0.342451911073326,1.25695048430553,0.0421956458548993,1,1,4162,"tags=26%, list=18%, signal=22%","SELE/CD48/NDP/RNF144B/CD69/IL1A/OLR1/AQP9/IL1R1/IL10/EBI3/MARCO/CYBB/HAS2/ABCA1/HRH1/BEST1/CMKLR1/ITGB8/GPR132/IL7R/IRAK2/TLR1/SLC31A2/APLNR/CSF3R/GPR183/IL10RA/MXD1/ADORA2B/PCDH7/STAB1/C3AR1/TPBG/CSF1/SLAMF1/MEFV/RTP4/EREG/PTAFR/SLC1A2/ITGA5/TNFSF15/CXCL11/PVR/AHR/KIF1B"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB",192,0.303249069401483,1.12939019506018,0.165311653116531,1,1,6281,"tags=31%, list=27%, signal=23%","SLC16A6/CD69/DUSP4/IL1A/OLR1/SNN/DUSP5/ABCA1/SIK1/TRAF1/IL7R/TNFAIP8/SLC2A6/SLC2A3/PTGS2/DENND5A/GPR183/MXD1/NFIL3/IFIH1/CSF1/LAMB3/KYNU/SGK1/SERPINB8/CCN1/ACKR3/EHD1/PHLDA1/KLF2/BIRC2/FOSL1/CXCL11/GADD45A/GADD45B/AREG/NFE2L2/REL/IRS2/B4GALT5/SQSTM1/JAG1/TANK/TUBB2A/PER1/PLAU/TSC22D1/EFNA1/ZBTB10/FUT4/PDLIM5/PANX1/RHOB/CCND1/CEBPB/IFIT2/SDC4/TRIB1/NFAT5/MAFF"
"HALLMARK_BILE_ACID_METABOLISM","HALLMARK_BILE_ACID_METABOLISM","HALLMARK_BILE_ACID_METABOLISM",91,0.338365916530509,1.12003208579218,0.211081794195251,1,1,2654,"tags=13%, list=12%, signal=12%","AGXT/GC/PEX6/KLF1/AQP9/DIO2/CYP46A1/NR0B2/APOA1/ABCA1/AMACR/RBP1"
"HALLMARK_KRAS_SIGNALING_UP","HALLMARK_KRAS_SIGNALING_UP","HALLMARK_KRAS_SIGNALING_UP",179,0.298068950723725,1.09404532389485,0.201634877384196,1,1,3121,"tags=23%, list=14%, signal=20%","TMEM100/MYCN/SNAP91/RETN/IGFBP3/TRIB2/ETS1/IKZF1/GPNMB/NR0B2/IGF2/PCP4/FCER1G/ADAMDEC1/CD37/PLAT/CBX8/PECAM1/TRAF1/PRRX1/PTBP2/LAPTM5/MAFB/TFPI/DOCK2/CMKLR1/ABCB1/SATB1/MMP9/PCSK1N/IL7R/IL33/PTGS2/IL10RA/ATG10/SPP1/LCP1/PTCD2/ITGB2/C3AR1/ALDH1A3"
"HALLMARK_MYOGENESIS","HALLMARK_MYOGENESIS","HALLMARK_MYOGENESIS",160,-0.3166664869844,-1.08899730008045,0.267405063291139,1,1,3275,"tags=19%, list=14%, signal=16%","TPM2/ENO3/VIPR1/COX7A1/ACTN3/MYH1/MYH11/DTNA/SGCD/CKB/SPHK1/PSEN2/AK1/IGFBP7/SPDEF/PPFIA4/CHRNA1/SOD3/COL3A1/COL15A1/CKM/FGF2/CTF1/MYOM1/SLN/HRC/CDH13/TNNT2/MYOM2/ITGA7"
"HALLMARK_KRAS_SIGNALING_DN","HALLMARK_KRAS_SIGNALING_DN","HALLMARK_KRAS_SIGNALING_DN",141,-0.319978756540217,-1.08634420249006,0.27741935483871,1,1,4091,"tags=30%, list=18%, signal=25%","TCF7L1/SLC38A3/PAX3/CPB1/ABCB11/GAMT/OXT/CLDN16/NOS1/KRT4/TFF2/TGFB2/MSH5/STAG3/IGFBP2/PRODH/YPEL1/PDE6B/C5/CAMK1D/CCDC106/COPZ2/ARPP21/RGS11/SLC5A5/ZNF112/SIDT1/AKR1B10/CPEB3/GPR19/CKM/LGALS7/KCND1/CD40LG/CPA2/DLK2/CAPN9/KCNN1/COL2A1/AMBN/SNCB/SCGB1A1"
"HALLMARK_COAGULATION","HALLMARK_COAGULATION","HALLMARK_COAGULATION",117,-0.319540186538908,-1.0682716560186,0.300157977883096,1,1,4382,"tags=21%, list=19%, signal=17%","TF/HPN/DCT/F8/DUSP14/C1S/MMP1/CRIP2/HTRA1/P2RY1/C1R/TFPI2/COMP/PF4/TMPRSS6/C8G/MASP2/HRG/CFH/HMGCS2/CPN1/C9/GP9/FGA/FGG"
"HALLMARK_PANCREAS_BETA_CELLS","HALLMARK_PANCREAS_BETA_CELLS","HALLMARK_PANCREAS_BETA_CELLS",30,0.391266331492024,1.05607060208592,0.371428571428571,1,1,2166,"tags=17%, list=9%, signal=15%","PAX4/GCG/ISL1/PCSK1/MAFB"
